rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
13,7314561188886332462,mia96183zxk,https://cn--xtb.noxinfluencer.com/tiktok/channel/7314561188886332462,10,badcase,偏 entertainment 与身材展示，美妆产品促销不匹配
21,7094893419957650438,raffray01,https://cn--xtb.noxinfluencer.com/tiktok/channel/7094893419957650438,10,badcase,ASMR 形式明显，虽有护肤词但促销适配差
30,7512501067737809963,Lyra,https://cn--xtb.noxinfluencer.com/tiktok/channel/7512501067737809963,0,badcase,无标签无内容，证据不足
37,6762231302126896134,DiazDaysi3232,https://cn--xtb.noxinfluencer.com/tiktok/channel/6762231302126896134,0,badcase,纯娱乐挑战号，和美妆无关
41,7280590210412971054,cosmeticart.bymehik,https://cn--xtb.noxinfluencer.com/tiktok/channel/7280590210412971054,0,badcase,标签为空，证据不足
59,7274403949319537710,OY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7274403949319537710,0,badcase,无标签无内容信号，相关性不足
73,7528401445629543454,Zinnia,https://cn--xtb.noxinfluencer.com/tiktok/channel/7528401445629543454,0,badcase,无标签无内容信号，无法判断
74,6676402604614419462,Aida wally 🇸🇳🇱🇷🇮🇪🇨🇳,https://cn--xtb.noxinfluencer.com/tiktok/channel/6676402604614419462,0,badcase,与美妆无关，偏黄金/奢侈品内容
76,106219370342682624,tatianakaer,https://cn--xtb.noxinfluencer.com/tiktok/channel/106219370342682624,-10,badcase,纯娱乐号，无beauty相关
104,7210973292512560170,Healthy ☘️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7210973292512560170,-15,badcase,宠物狗类内容，与人用美妆推广目标互斥
108,7080669632596706350,Jayla,https://cn--xtb.noxinfluencer.com/tiktok/channel/7080669632596706350,0,badcase,跑步健身号，与美妆推广不相关
136,6769147995939668997,Bella Hadid,https://cn--xtb.noxinfluencer.com/tiktok/channel/6769147995939668997,0,badcase,仅娱乐标签，无美妆召回依据
143,7419002093955253254,𝒜✩,https://cn--xtb.noxinfluencer.com/tiktok/channel/7419002093955253254,0,badcase,无标签无内容，缺少召回依据
155,6772347709954851846,Hailey Bieber,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772347709954851846,0,badcase,音乐态标签，缺少 beauty 相关信号
161,6631925447758413829,AYAN BEAUTY USA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6631925447758413829,-15,badcase,反毒/警务标签，与 beauty 促销冲突
171,6816374122432529413,Arzoo Usman official,https://cn--xtb.noxinfluencer.com/tiktok/channel/6816374122432529413,0,badcase,健身/运动向，和 beauty 促销相关性弱
173,7524693705971500062,Lily,https://cn--xtb.noxinfluencer.com/tiktok/channel/7524693705971500062,0,badcase,无标签，无法判断与 beauty 的相关性
180,245504615646052352,katieangeltv,https://cn--xtb.noxinfluencer.com/tiktok/channel/245504615646052352,0,badcase,无美妆相关标签，偏娱乐内容
193,7163124711743145003,"Hi, I’m ting ting",https://cn--xtb.noxinfluencer.com/tiktok/channel/7163124711743145003,0,badcase,无标签无美妆信号，无法判断相关性
203,6785823001336415238,Kika Kim,https://cn--xtb.noxinfluencer.com/tiktok/channel/6785823001336415238,0,badcase,偏乐园/精灵主题，和beauty投放几乎无关
206,6721905908093289477,quenblackwell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6721905908093289477,-10,badcase,纯绿幕内容，缺少美妆语义且格式不匹配
210,6730777423992652806,charisma,https://cn--xtb.noxinfluencer.com/tiktok/channel/6730777423992652806,0,badcase,主体是校园/宗教/旅行，美容关联很弱
229,7154388303788213290,beautyview,https://cn--xtb.noxinfluencer.com/tiktok/channel/7154388303788213290,5,badcase,以故事/宠物为主，beauty词命中不足以支撑推广
233,6755194032060400646,gia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6755194032060400646,0,badcase,无美妆或消费品相关标签
238,7029019141173609474,🅞🅛🅖🅐,https://cn--xtb.noxinfluencer.com/tiktok/channel/7029019141173609474,0,badcase,无标签，无相关受众信号
244,6708451825311728645,Chanté💕,https://cn--xtb.noxinfluencer.com/tiktok/channel/6708451825311728645,0,badcase,纯娱乐向账号，无美妆推广信号
