rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,7554124832943277069,Mamba Clpz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7554124832943277069,0,badcase,无标签无内容，缺少任何生活方式相关信号
13,7370056598380626986,"princesa,  chinita",https://cn--xtb.noxinfluencer.com/tiktok/channel/7370056598380626986,0,badcase,仅有recuerdos标签，缺少生活方式相关信号
20,7574806321318577155,AsiSeHace,https://cn--xtb.noxinfluencer.com/tiktok/channel/7574806321318577155,0,badcase,无标签无内容，无法判断为生活方式相关
32,6608661827043033094,Mario Guzmán,https://cn--xtb.noxinfluencer.com/tiktok/channel/6608661827043033094,0,badcase,无 lifestyle 相关信号，标签偏玩具/糖果/儿童娱乐
33,6616378030355333125,ace,https://cn--xtb.noxinfluencer.com/tiktok/channel/6616378030355333125,0,badcase,无标签无内容信号，无法判断为 lifestyle 相关
41,6761126481194583046,Bushy B,https://cn--xtb.noxinfluencer.com/tiktok/channel/6761126481194583046,0,badcase,无标签无内容信号，缺少 lifestyle 相关依据
43,6978298970779288581,Nene,https://cn--xtb.noxinfluencer.com/tiktok/channel/6978298970779288581,0,badcase,无标签无内容信号，缺少 lifestyle 相关依据
50,7151506586689881134,FastLifeNick,https://cn--xtb.noxinfluencer.com/tiktok/channel/7151506586689881134,0,badcase,标签偏汽车/搞笑，与 lifestyle 召回不匹配
51,6750504816638690309,Prince BTA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6750504816638690309,0,badcase,标签空白，缺少 lifestyle 相关内容
55,7565720432139174926,Marybella Eckel,https://cn--xtb.noxinfluencer.com/tiktok/channel/7565720432139174926,0,badcase,标签空白，缺少 lifestyle 相关内容
56,6851538480813999110,️Minty,https://cn--xtb.noxinfluencer.com/tiktok/channel/6851538480813999110,0,badcase,仅有 viral/FYP 泛流量标签，缺少生活方式指向
57,7355459335747257386,Fort Manny,https://cn--xtb.noxinfluencer.com/tiktok/channel/7355459335747257386,0,badcase,标签空白，缺少 lifestyle 相关内容
59,7573375819545117710,VHM,https://cn--xtb.noxinfluencer.com/tiktok/channel/7573375819545117710,0,badcase,标签空白，缺少 lifestyle 相关内容
60,99820658318000128,elizabeth.hyz,https://cn--xtb.noxinfluencer.com/tiktok/channel/99820658318000128,0,badcase,以摄影/幽默为主，和 lifestyle 关联弱
70,7392123379682575393,kathleeAva,https://cn--xtb.noxinfluencer.com/tiktok/channel/7392123379682575393,0,badcase,标签空白，缺少 lifestyle 相关内容
73,6930269389473186821,melaneyragoo,https://cn--xtb.noxinfluencer.com/tiktok/channel/6930269389473186821,0,badcase,标签空白，缺少 lifestyle 相关内容
74,6830275847476904965,Wisdom Kaye,https://cn--xtb.noxinfluencer.com/tiktok/channel/6830275847476904965,0,badcase,标签偏剪辑/特效，缺少 lifestyle 相关内容
75,6796776974322091013,⭐️𝐋𝐔𝐂𝐘•𝐆𝐎𝐆𝐎⭐️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6796776974322091013,0,badcase,以地区/情侣泛内容为主，缺少 lifestyle 指向
78,125332674285576192,ЛИАНА🐸,https://cn--xtb.noxinfluencer.com/tiktok/channel/125332674285576192,0,badcase,仅有缝纫标签，与 lifestyle 目标无关
81,7372336419916743723,Yarik World 🌐,https://cn--xtb.noxinfluencer.com/tiktok/channel/7372336419916743723,0,badcase,无标签和内容信号，无法判断为 lifestyle 相关
83,6824901808122659846,emmarosekenney,https://cn--xtb.noxinfluencer.com/tiktok/channel/6824901808122659846,-10,badcase,宠物狗向，和人类 lifestyle 受众不匹配
84,6763346039024223238,isaiah,https://cn--xtb.noxinfluencer.com/tiktok/channel/6763346039024223238,0,badcase,娱乐向为主，缺少 lifestyle 相关信号
88,7297267237660148778,Little bee,https://cn--xtb.noxinfluencer.com/tiktok/channel/7297267237660148778,0,badcase,无标签与内容信号
90,6877306497178780674,gatinha linda unteligente,https://cn--xtb.noxinfluencer.com/tiktok/channel/6877306497178780674,0,badcase,特效动画向，和 lifestyle 无关
92,6782206013674128390,melissa_rebaza,https://cn--xtb.noxinfluencer.com/tiktok/channel/6782206013674128390,0,badcase,娱乐喜剧向，和 lifestyle 目标不一致
102,7022030757683037189,xharwant,https://cn--xtb.noxinfluencer.com/tiktok/channel/7022030757683037189,0,badcase,无生活方式相关信号，内容偏知识向
103,6574182432181469189,sophia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6574182432181469189,0,badcase,仅有greenscreen标签，与生活方式无关
104,7150937538248492037,apriilsdiaries,https://cn--xtb.noxinfluencer.com/tiktok/channel/7150937538248492037,0,badcase,无标签无内容，相关性不足
105,6821354707510084614,Kobe,https://cn--xtb.noxinfluencer.com/tiktok/channel/6821354707510084614,0,badcase,偏挑战和泛流量标签，缺少生活方式信号
106,6774476185462522885,Melissa Robles,https://cn--xtb.noxinfluencer.com/tiktok/channel/6774476185462522885,0,badcase,单一challenge标签，和lifestyle无关
109,6707823629201523718,hay🖤,https://cn--xtb.noxinfluencer.com/tiktok/channel/6707823629201523718,0,badcase,无有效标签，无法判断为相关频道
110,6584599005446111238,Vysta,https://cn--xtb.noxinfluencer.com/tiktok/channel/6584599005446111238,0,badcase,泛趋势号，缺少生活方式内容证据
112,6876329489283253253,Hi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6876329489283253253,0,badcase,greenscreen格式为主，与lifestyle弱相关
