rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,7068088929706492934,Pepa Zhang,https://cn--xtb.noxinfluencer.com/tiktok/channel/7068088929706492934,0,badcase,生活vlog且无科技标签，相关性弱
30,7059093595190985775,tashatalksai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7059093595190985775,0,badcase,缺少标签与视频信号，科技相关性无法确认
33,6591600111029567494,Spencer,https://cn--xtb.noxinfluencer.com/tiktok/channel/6591600111029567494,0,badcase,时尚内容为主，和科技产品推广不匹配
35,7502060893326361630,LoveOrLie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7502060893326361630,0,badcase,无可用标签或视频信号，无法支持科技推广
47,7404324813374653482,john shaqi Truck,https://cn--xtb.noxinfluencer.com/tiktok/channel/7404324813374653482,0,badcase,流量和店铺标签为主，缺少科技定位
51,7037119671693296687,Austin Armstrong | Syllaby.io,https://cn--xtb.noxinfluencer.com/tiktok/channel/7037119671693296687,0,badcase,无tech相关标签，偏设计工具内容
57,6839011172614194182,Braydon Carter,https://cn--xtb.noxinfluencer.com/tiktok/channel/6839011172614194182,0,badcase,无标签，无法判断相关性
58,7293540309391885355,andrewships,https://cn--xtb.noxinfluencer.com/tiktok/channel/7293540309391885355,0,badcase,无标签，缺少任何科技证据
59,6761211465384248326,Discount Soldier Boy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6761211465384248326,0,badcase,喜剧/梗内容，与tech无关
63,6952971951804040197,GT,https://cn--xtb.noxinfluencer.com/tiktok/channel/6952971951804040197,0,badcase,户外运动内容，与tech无关
65,6722216650961748998,Nicholas Thompson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6722216650961748998,0,badcase,无标签，缺少相关性证据
67,6916940321302856710,Jonathan Acuña - Doctor AI,https://cn--xtb.noxinfluencer.com/tiktok/channel/6916940321302856710,0,badcase,无标签，证据不足
72,6619727687664975878,Cheddar,https://cn--xtb.noxinfluencer.com/tiktok/channel/6619727687664975878,0,badcase,新闻财经为主，tech证据不足
74,7355655347414369323,Kam | Cybersecurity,https://cn--xtb.noxinfluencer.com/tiktok/channel/7355655347414369323,0,badcase,无标签，只有名称暗示网安
78,7544422601025864759,Ai Robot__,https://cn--xtb.noxinfluencer.com/tiktok/channel/7544422601025864759,0,badcase,缺少标签和内容证据
81,6746156279813473286,thatguybusy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6746156279813473286,0,badcase,无标签/内容证据
82,7257639467988304938,Daily Ai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7257639467988304938,0,badcase,偏问答娱乐，和科技推广相关性弱
84,6893007919505802246,AyymrowNation,https://cn--xtb.noxinfluencer.com/tiktok/channel/6893007919505802246,0,badcase,无标签/内容证据
85,7014906040273781765,Mike,https://cn--xtb.noxinfluencer.com/tiktok/channel/7014906040273781765,0,badcase,无标签/内容证据
88,7180336335672099845,Prada,https://cn--xtb.noxinfluencer.com/tiktok/channel/7180336335672099845,0,badcase,无标签/内容证据
90,6883180192371229702,Michele Lea Biaso,https://cn--xtb.noxinfluencer.com/tiktok/channel/6883180192371229702,0,badcase,健康情感向，和科技推广不匹配
92,7443849243918074922,Seggy Said,https://cn--xtb.noxinfluencer.com/tiktok/channel/7443849243918074922,0,badcase,无标签/内容证据
93,7049051523850355717,rmn.zip,https://cn--xtb.noxinfluencer.com/tiktok/channel/7049051523850355717,0,badcase,creator economy/美食向，缺少科技证据
94,6772567797455209478,Kurt and Dylan,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772567797455209478,-15,badcase,娱乐型频道，和科技推广场景不符
96,7505910459833713706,Thaddeus Demeke | AI Workflows,https://cn--xtb.noxinfluencer.com/tiktok/channel/7505910459833713706,0,badcase,无标签/内容证据
97,6935447334876759042,นายอาร์ม,https://cn--xtb.noxinfluencer.com/tiktok/channel/6935447334876759042,0,badcase,无标签/内容证据
99,6947325489926112261,Bueller - Movies & Heists,https://cn--xtb.noxinfluencer.com/tiktok/channel/6947325489926112261,-15,badcase,电影娱乐向，科技推广不匹配
101,7573589148839019533,Azxcsd778,https://cn--xtb.noxinfluencer.com/tiktok/channel/7573589148839019533,0,badcase,无标签，无科技内容证据
102,7233522862529840171,GPTEddie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7233522862529840171,0,badcase,无标签，无科技内容证据
103,6782766025521136646,AI with Tiff,https://cn--xtb.noxinfluencer.com/tiktok/channel/6782766025521136646,0,badcase,仅名义像AI，标签为空，证据不足
104,6984545829328569349,Brenda | Social + AI Coach,https://cn--xtb.noxinfluencer.com/tiktok/channel/6984545829328569349,0,badcase,社媒/AI教练偏泛，缺少科技标签
109,7440554946074936375,ACTUALITÉS SUR L'IA🌎✪,https://cn--xtb.noxinfluencer.com/tiktok/channel/7440554946074936375,0,badcase,无标签且无科技内容证据
113,6697389667228959749,Aman Bansil,https://cn--xtb.noxinfluencer.com/tiktok/channel/6697389667228959749,0,badcase,金融投资向，和tech推广关联弱
114,6577864324952915973,proofofjoey,https://cn--xtb.noxinfluencer.com/tiktok/channel/6577864324952915973,0,badcase,金融+娱乐包装，科技相关性不足
115,7415846896763143211,Packet7hrower - AI / LLM Nerd,https://cn--xtb.noxinfluencer.com/tiktok/channel/7415846896763143211,0,badcase,无标签，无法确认科技受众
118,7055758810267190273,איילון גרופר • Eilon Grouper,https://cn--xtb.noxinfluencer.com/tiktok/channel/7055758810267190273,0,badcase,无标签，无科技证据
119,7483053558317827114,aethir_ai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7483053558317827114,0,badcase,仅名称像AI，无标签支撑
120,7283315136709428266,grettmxq1aq,https://cn--xtb.noxinfluencer.com/tiktok/channel/7283315136709428266,0,badcase,无标签，无科技内容证据
121,6957480279657743366,ChrisCraft85,https://cn--xtb.noxinfluencer.com/tiktok/channel/6957480279657743366,0,badcase,无科技标签，内容不相关
123,6806408674833531910,inchados,https://cn--xtb.noxinfluencer.com/tiktok/channel/6806408674833531910,0,badcase,无科技标签，内容不相关
124,7023022040765678598,JeremyGreene,https://cn--xtb.noxinfluencer.com/tiktok/channel/7023022040765678598,0,badcase,无标签，无科技证据
126,6636869904224223238,sweeeezyit,https://cn--xtb.noxinfluencer.com/tiktok/channel/6636869904224223238,0,badcase,缺少科技标签与内容线索，相关性不足
127,7063489773454246959,N,https://cn--xtb.noxinfluencer.com/tiktok/channel/7063489773454246959,0,badcase,缺少科技标签与内容线索，相关性不足
