rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,UCNxvAP55wvRhzjqfj8nQwWA,ailee ౨ৎ,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNxvAP55wvRhzjqfj8nQwWA,8,badcase,以显化/潜意识内容为主，不是美妆推广频道
8,UCliXNVegfYJNdYSWCilgOcA,TeenBeat,https://cn--xtb.noxinfluencer.com/youtube/channel/UCliXNVegfYJNdYSWCilgOcA,8,badcase,娱乐恶搞为主，不适合美妆推广
15,UCglv4Q0vn_F5qJIse-m29vA,La La Life Planet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCglv4Q0vn_F5qJIse-m29vA,8,badcase,娱乐恶搞为主，不适合美妆推广
24,UCTJ7miJnZWuyWGl9VIXyueg,Aura Vibe,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTJ7miJnZWuyWGl9VIXyueg,8,badcase,ASMR+娱乐为主，不适合美妆推广
50,UCuMMpYgT0JxPl5Ff00G_TNg,JadeyWadey 180,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuMMpYgT0JxPl5Ff00G_TNg,12,badcase,以ASMR/放松为主，不适合美妆推广
60,UC_L7WReog3fB1DOe5tI--7w,RAINY VIBES,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_L7WReog3fB1DOe5tI--7w,0,badcase,与美妆无关，偏subliminal/健康/食谱
83,UCL3B3F9f_M3-dSboCuJ9RbQ,VOGUE POP,https://cn--xtb.noxinfluencer.com/youtube/channel/UCL3B3F9f_M3-dSboCuJ9RbQ,5,badcase,偏明星剪辑娱乐向，不适合美妆推广
94,UCOJoMz60WJE_28uzsUVFJ6w,Jessi Lee Davis,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOJoMz60WJE_28uzsUVFJ6w,5,badcase,storytime/恐怖叙事占主，推广场景不合适
107,UCfqNUoJTci-tE6gfXVwwwXg,Madison Ryann Ward,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfqNUoJTci-tE6gfXVwwwXg,0,badcase,纯音乐频道，与美妆推广无关
117,UCCwlsfMdb1lUhaw2dm7FV6A,Beauty 뷰티 ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCwlsfMdb1lUhaw2dm7FV6A,10,badcase,ASMR+歌曲混搭，与美妆推广错位
128,UCCoTT1SMKGhjJ95_CHzIcVA,REXSY Romantic Piano Symphonics Ecstasy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCoTT1SMKGhjJ95_CHzIcVA,5,badcase,音乐娱乐为主，beauty仅附带词，投放场景不匹配
136,UCMlTYNkiug7KYJgZkaIOh-Q,Witty Bitty,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMlTYNkiug7KYJgZkaIOh-Q,10,badcase,娱乐挑战为主，美妆仅弱相关，转化场景弱
140,UCHcVHa8W40Hzgq16hsPtSWg,Julia Tiffany,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHcVHa8W40Hzgq16hsPtSWg,5,badcase,ASMR格式为主，beauty仅弱提及，推广错配
144,UCP8eP2r5jTvgDOR3LK6mLhw,INSTAGRAM YULDUZLARI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCP8eP2r5jTvgDOR3LK6mLhw,5,badcase,美食烹饪为主，beauty仅弱相关
155,UCVwLS4Q44le_Z4Q--DDfIzA,MuniSanchez,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVwLS4Q44le_Z4Q--DDfIzA,0,badcase,无美妆相关标签，偏旅行日常 vlog
166,UCHSGJDpZW8bjTjvCoZQZF_w,La La Life Emoji,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHSGJDpZW8bjTjvCoZQZF_w,10,badcase,娱乐挑战占主导，美妆标签不足以支撑推广
181,UC2cFvIqq9J10Vwx6kw3Mfvg,ʚ loveybuns ɞ,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2cFvIqq9J10Vwx6kw3Mfvg,0,badcase,无标签，无法建立与beauty的相关证据
184,UCibaAj9J4CHHpofHur51PlQ,R-Teens,https://cn--xtb.noxinfluencer.com/youtube/channel/UCibaAj9J4CHHpofHur51PlQ,-15,badcase,宠物和娱乐为主，与beauty推广明显冲突
195,UCFVV32LVCLGqQA_TgEqfi1w,IslaASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFVV32LVCLGqQA_TgEqfi1w,5,badcase,ASMR为主，属于强格式错配
218,UCylDAGpDQDphisExImO6uRA,Maddyreviews ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCylDAGpDQDphisExImO6uRA,8,badcase,命中 beauty，但频道以ASMR为主，推广形态不匹配
233,UCVqOooZ_vIuHGFOQTKLZJKA,million dollar woman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVqOooZ_vIuHGFOQTKLZJKA,0,badcase,偏音乐/灵性内容，与美妆无关
236,UCJJjBdTbd_ws3J3nLA8I_Sg,radmiru,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJJjBdTbd_ws3J3nLA8I_Sg,-15,badcase,ASMR吃播，与商品推广格式强冲突
250,UC6Dp126sP0hGdFBG_YRvXUQ,Demi💋,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6Dp126sP0hGdFBG_YRvXUQ,0,badcase,无美妆主题，偏手工生活内容
