rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
12,UCMGRqpXjTYTqlnnGTjMmigw,DarkPlayzz,https://cn.noxinfluencer.com/youtube/channel/UCMGRqpXjTYTqlnnGTjMmigw,5,badcase,宗教内容为主，科技标签只是弱混入
16,UCUvIsQMxWWJ_1ajxu5plOFw,Spigen,https://cn.noxinfluencer.com/youtube/channel/UCUvIsQMxWWJ_1ajxu5plOFw,8,badcase,ASMR导向明显，偏氛围内容，不适合科技推广
41,UCFUsBdbrNe2a8tnVsxBwoZw,Plainrock124,https://cn.noxinfluencer.com/youtube/channel/UCFUsBdbrNe2a8tnVsxBwoZw,5,badcase,虽有 tech，但以 smash/break 娱乐为主，不适合产品推广
59,UCnU9l4RGNhRmH1Uig4JMckA,Eslam saeed اسلام سعيد,https://cn.noxinfluencer.com/youtube/channel/UCnU9l4RGNhRmH1Uig4JMckA,5,badcase,娱乐/魔术为主，科技仅弱标签
90,UC4xU1pYKI2mXcGP8qdxLL6g,ABEiiiKU,https://cn.noxinfluencer.com/youtube/channel/UC4xU1pYKI2mXcGP8qdxLL6g,11,badcase,ASMR占比高，开箱不足以抵消格式不匹配
113,UCS65Cob8tlnYCjStAM8sdxg,MOIN BLAZE,https://cn.noxinfluencer.com/youtube/channel/UCS65Cob8tlnYCjStAM8sdxg,6,badcase,宗教内容为主，科技标签不足以支撑推广
133,UCvgXnd8p_An2WKbaKtPtSFA,Moneyprincipals,https://cn.noxinfluencer.com/youtube/channel/UCvgXnd8p_An2WKbaKtPtSFA,12,badcase,商业短视频为主，科技标签弱
150,UCu9U7Qwvbz-tJdjlrUmV6AA,TECHTOK DOC,https://cn.noxinfluencer.com/youtube/channel/UCu9U7Qwvbz-tJdjlrUmV6AA,8,badcase,宠物/钓鱼为主，tech只是弱标签
198,UCofpEiZ6_-dWgALBX9wR9_A,Legendofamelia,https://cn.noxinfluencer.com/youtube/channel/UCofpEiZ6_-dWgALBX9wR9_A,8,badcase,ASMR键盘声内容，强格式不匹配
199,UCZ7znURDSO1B6Zk8dCntqew,Rad,https://cn.noxinfluencer.com/youtube/channel/UCZ7znURDSO1B6Zk8dCntqew,8,badcase,ASMR/舒缓氛围型，不适合商品推广
218,UCWnXgKA2DvgVcL6Itd76Waw,Digital Express,https://cn.noxinfluencer.com/youtube/channel/UCWnXgKA2DvgVcL6Itd76Waw,8,badcase,ASMR+游戏为主，娱乐属性强，明显不匹配
226,UCozwejESfvl88CBBL0KgEhw,Hamster Kombat,https://cn.noxinfluencer.com/youtube/channel/UCozwejESfvl88CBBL0KgEhw,0,badcase,加密货币内容，和科技推广无明显关联
