rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
27,UCZ50rYSkYQG31YDEJm9Di_g,Coursera,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZ50rYSkYQG31YDEJm9Di_g,0,badcase,教育职业向，缺少科技产品受众信号
33,UCK1u-11YuPE2wB4jR53kSkw,Knowledge Power,https://cn--xtb.noxinfluencer.com/youtube/channel/UCK1u-11YuPE2wB4jR53kSkw,0,badcase,无有效标签，技术相关性不足
56,UC3HjOoPpCa08dyKnfw-hXaA,KevinGrabLife ASMR Music Studio Relaxation Sounds,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3HjOoPpCa08dyKnfw-hXaA,-5,badcase,ASMR放松音频格式，与科技推广强冲突
61,UCwAnu01qlnVg1Ai2AbtTMaA,Jeff Su,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwAnu01qlnVg1Ai2AbtTMaA,0,badcase,偏职场效率，缺少科技受众信号
73,UCRoblJZjCyyTnSoLSoZLFtg,"Next IT | Business IT, AI & Cybersecurity Services",https://cn--xtb.noxinfluencer.com/youtube/channel/UCRoblJZjCyyTnSoLSoZLFtg,0,badcase,无标签内容证据，像企业服务号
90,UCaMrTIEMBLTZm6Wk7dDz7OA,Dr. Rajan Thapaliya,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaMrTIEMBLTZm6Wk7dDz7OA,0,badcase,无标签无内容证据，无法判断与tech相关
96,UC6HSkhtwgURZUUzGlrgRqLQ,AuraPets,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6HSkhtwgURZUUzGlrgRqLQ,-15,badcase,娱乐影视向，与tech推广目标明显不符
126,UCpwOwri-jcVCf5R9IvppTaA,InterLink Labs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpwOwri-jcVCf5R9IvppTaA,-10,badcase,音乐娱乐向，和科技推广目标不符
140,UCBerG8MHeW0HKWOvioOOU-A,CRYPTO VANGUARD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBerG8MHeW0HKWOvioOOU-A,-15,badcase,娱乐音乐向，与科技推广目标不符
150,UC_OhoHv3-Jj5fnNZ01Zhzgw,Kahani Markaz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_OhoHv3-Jj5fnNZ01Zhzgw,-15,badcase,故事叙事号，与科技推广无关
160,UCAymIqvhxQzhBD5esDLRGUg,Shiv Mehta,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAymIqvhxQzhBD5esDLRGUg,0,badcase,缺少标签与内容证据，无法判断科技相关性
180,UCbWOWtgtazAHmYkJndpnTrA,AI Group 360,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbWOWtgtazAHmYkJndpnTrA,0,badcase,缺少明确科技标签，偏生活与变现
194,UC_ltYlLo43aImVKYpjrj1mw,Boardroom Club,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_ltYlLo43aImVKYpjrj1mw,0,badcase,没有可用标签，无法判断科技相关性
201,UCfnWz18KwG5E5bRB7HVhIuA,Ken Harris,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfnWz18KwG5E5bRB7HVhIuA,0,badcase,无任何标签或视频证据，难以判断技术相关性
221,UCokF-ynztWfM8W8Dv1Rkt2Q,All About Security,https://cn--xtb.noxinfluencer.com/youtube/channel/UCokF-ynztWfM8W8Dv1Rkt2Q,0,badcase,无标签无视频证据，缺少相关性
224,UCEIsPzKAtnPrS7LNERkBqVA,Elias Khnaser,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEIsPzKAtnPrS7LNERkBqVA,0,badcase,无标签无视频证据，缺少相关性
226,UC7g0l2Ex8HWDy7Xocg4Q6qA,CryptoGangsta,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7g0l2Ex8HWDy7Xocg4Q6qA,0,badcase,仅社会话题，无科技相关信号。
242,UCDmLHomSDolCSBjF7GDwzcQ,CoinFluence,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDmLHomSDolCSBjF7GDwzcQ,0,badcase,ASMR格式与科技推广不匹配。
243,UCIWnQePSlaOuEPooD5-wkvw,Xecurity Pulse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIWnQePSlaOuEPooD5-wkvw,0,badcase,无标签信息，无法判断科技相关。
