rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,61709795106,Products_Usa_Albania,https://cn--xtb.noxinfluencer.com/instagram/channel/61709795106,0,badcase,无相关标签与内容信号
3,1388580814,Lizeth Loya,https://cn--xtb.noxinfluencer.com/instagram/channel/1388580814,0,badcase,无标签、无相关视频，缺少婴儿营养产品推广信号
4,40226992235,Rosa.Raudales,https://cn--xtb.noxinfluencer.com/instagram/channel/40226992235,0,badcase,家居方向，与婴儿补充剂无关
5,1589623198,Nataliia,https://cn--xtb.noxinfluencer.com/instagram/channel/1589623198,0,badcase,生活方式泛化，缺少母婴/营养信号
8,48736585590,"Cetaphil, Jumiso, Cerave",https://cn--xtb.noxinfluencer.com/instagram/channel/48736585590,0,badcase,美妆品牌向，与婴儿补充剂无关
10,3209422340,Mari Jimm ♡,https://cn--xtb.noxinfluencer.com/instagram/channel/3209422340,0,badcase,时尚娱乐向，和婴儿补充剂不匹配
11,255208395,z a r e t h,https://cn--xtb.noxinfluencer.com/instagram/channel/255208395,0,badcase,无相关标签与内容信号
16,23947064140,FLEXUP,https://cn--xtb.noxinfluencer.com/instagram/channel/23947064140,0,badcase,泛家庭号，缺少补剂相关信号
19,1600619111,Катерина  🇺🇦Ужгород,https://cn--xtb.noxinfluencer.com/instagram/channel/1600619111,0,badcase,无相关标签与内容信号
23,6234486643,𝓨𝓮𝓵𝓪𝓷𝓲𝓼 🤍,https://cn--xtb.noxinfluencer.com/instagram/channel/6234486643,0,badcase,无相关标签与内容信号
24,27284678527,"Danielle Zold, RD, LDN, CLC, CGN",https://cn--xtb.noxinfluencer.com/instagram/channel/27284678527,0,badcase,无相关标签与内容信号
27,9440502,LITA,https://cn--xtb.noxinfluencer.com/instagram/channel/9440502,0,badcase,旅行励志号，与婴儿补剂投放无关
30,8714776090,🌸MELITA TORRES🌸,https://cn--xtb.noxinfluencer.com/instagram/channel/8714776090,0,badcase,内容信息不足，无法支持补剂投放
33,4115884677,raybae 🫶🏼,https://cn--xtb.noxinfluencer.com/instagram/channel/4115884677,0,badcase,纯泛流量号，无相关补剂语境
34,1364439144,Good Day Chocolate,https://cn--xtb.noxinfluencer.com/instagram/channel/1364439144,0,badcase,品牌名有消费品感，但无婴儿补剂证据
35,32399057,Stefani,https://cn--xtb.noxinfluencer.com/instagram/channel/32399057,0,badcase,美食旅游生活号，缺少母婴/补剂语境
36,5641486857,Not Too Pretty,https://cn--xtb.noxinfluencer.com/instagram/channel/5641486857,0,badcase,内容信息不足，无法支持补剂投放
37,37568492620,💞DESIREE TEJADA💎|NETWORKER👩🏻‍💻|PIERDE PESO| SALUD|VITALHEALT 🌿,https://cn--xtb.noxinfluencer.com/instagram/channel/37568492620,-10,badcase,成人健身/补剂营销号，和婴儿补剂明显错位
39,1596258140,The Kirklands,https://cn--xtb.noxinfluencer.com/instagram/channel/1596258140,0,badcase,植物基美食号，与婴儿补剂不相关
40,13888078,ALEX AUST HOLMAN,https://cn--xtb.noxinfluencer.com/instagram/channel/13888078,0,badcase,运动娱乐号，缺少母婴/健康补剂语境
41,317834760,Faith Ray 🤍,https://cn--xtb.noxinfluencer.com/instagram/channel/317834760,0,badcase,泛病毒流量号，无相关产品语境
43,253291580,Natasha Rattazzi,https://cn--xtb.noxinfluencer.com/instagram/channel/253291580,0,badcase,内容信息不足，无法判断相关性
46,503953004,Sarah Schermerhorn Murphy,https://cn--xtb.noxinfluencer.com/instagram/channel/503953004,0,badcase,体育旅游号，与婴儿补剂不相关
48,1754435857,Lesly Trejo ♡,https://cn--xtb.noxinfluencer.com/instagram/channel/1754435857,0,badcase,娱乐/模特号，和婴儿补剂不相关
51,10868992,"Jessica Cahoy, RN | Fitness & Weightloss Coach",https://cn--xtb.noxinfluencer.com/instagram/channel/10868992,0,badcase,健身减脂号，缺少母婴/婴儿补剂受众与购买语境
61,1446209614,"Ashly Locklin | Weight Loss, Beauty, & Business",https://cn--xtb.noxinfluencer.com/instagram/channel/1446209614,1,badcase,偏商业创作者，和母婴补剂几乎无关
64,1527736923,KASSANDRA BROOKS | Postpartum Bestie,https://cn--xtb.noxinfluencer.com/instagram/channel/1527736923,0,badcase,仅有生活标签，缺少可用于补剂推广的信息
