rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,6202219679,Gulden Yigit,https://cn.noxinfluencer.com/instagram/channel/6202219679,0,badcase,无有效相关标签，无法判断为咖啡机相关。
6,10687052594,Curated,https://cn.noxinfluencer.com/instagram/channel/10687052594,0,badcase,户外旅行运动号，与咖啡机推广无关。
9,67555723323,Cafe by Chris | Coffee Content,https://cn.noxinfluencer.com/instagram/channel/67555723323,0,badcase,名称偏咖啡内容，但缺少标签和视频证据。
10,76670460582,Özlem Balkan,https://cn.noxinfluencer.com/instagram/channel/76670460582,0,badcase,无相关标签或内容信号。
15,3533603455,Christina Nicci | Mobility • Strength • Nutrition,https://cn.noxinfluencer.com/instagram/channel/3533603455,0,badcase,健身营养与宠物混合，和咖啡机无关。
17,2300503723,The Trillionaire Life™,https://cn.noxinfluencer.com/instagram/channel/2300503723,0,badcase,豪车生活方式号，与咖啡机推广不匹配。
20,373151390,Downtown Phoenix Living | Roosevelt Row Apartments,https://cn.noxinfluencer.com/instagram/channel/373151390,0,badcase,公寓生活号，与咖啡机推广无关。
21,45158275097,Tyler Butterworth,https://cn.noxinfluencer.com/instagram/channel/45158275097,0,badcase,军事/校园语境与咖啡机无关。
22,1513415557,andrew maddock,https://cn.noxinfluencer.com/instagram/channel/1513415557,0,badcase,无标签无内容信号，无法判断相关。
24,7877861187,Sana Sherwani  |Home Interiors & Lifestyle Blogger,https://cn.noxinfluencer.com/instagram/channel/7877861187,0,badcase,家居审美号，缺少咖啡机或家电内容。
25,183549820,Ethan Rode,https://cn.noxinfluencer.com/instagram/channel/183549820,-15,badcase,ASMR放松向与咖啡机导购场景强冲突。
28,16115963501,My Miniature Life,https://cn.noxinfluencer.com/instagram/channel/16115963501,2,badcase,微缩手作为主，和咖啡机推广关联弱
29,8484443839,RASHAD LITTLE,https://cn.noxinfluencer.com/instagram/channel/8484443839,-15,badcase,时尚服饰为主，与咖啡机明显错位
33,3142426334,Ben’s Automotive Decor,https://cn.noxinfluencer.com/instagram/channel/3142426334,5,badcase,汽车装饰为主，虽有同词标签但领域不适合
34,1491790761,Jen Jones | Plant-Based Queen,https://cn.noxinfluencer.com/instagram/channel/1491790761,3,badcase,植物基饮食内容，和咖啡机关系弱
36,243901134,jewelswithjules • julia hackman chafé,https://cn.noxinfluencer.com/instagram/channel/243901134,0,badcase,孕妇社交内容，与咖啡机相关性弱
39,6583405,Mi Le,https://cn.noxinfluencer.com/instagram/channel/6583405,-25,badcase,ASMR微缩内容，属于强格式错位
41,188164996,Elaina Michelle,https://cn.noxinfluencer.com/instagram/channel/188164996,-15,badcase,ASMR日常向内容，和咖啡机推广错位
42,8000574298,Warren Phillips,https://cn.noxinfluencer.com/instagram/channel/8000574298,0,badcase,健康泛内容，缺少咖啡机场景
44,37575360507,Hello French,https://cn.noxinfluencer.com/instagram/channel/37575360507,0,badcase,法语教育内容，与咖啡机无关
47,49298884268,Jared - Holistic Health,https://cn.noxinfluencer.com/instagram/channel/49298884268,0,badcase,健康营养内容，与咖啡机不匹配
52,9956435095,Hope Watson,https://cn.noxinfluencer.com/instagram/channel/9956435095,0,badcase,生活方式内容，几乎没有咖啡机相关信号
54,1235603932,ToolsToday,https://cn.noxinfluencer.com/instagram/channel/1235603932,0,badcase,工具/木工机械类，不是咖啡机受众
57,58163542896,Summer Willis,https://cn.noxinfluencer.com/instagram/channel/58163542896,0,badcase,纯家居装饰向，和咖啡机关联弱
66,1131183377,Dee Alan,https://cn.noxinfluencer.com/instagram/channel/1131183377,0,badcase,美妆旅行向，基本不相关
