rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6202219679,Gulden Yigit,https://cn--xtb.noxinfluencer.com/instagram/channel/6202219679,0,badcase,无标签无内容证据，难判断相关性
6,229176937,sarah archuleta,https://cn--xtb.noxinfluencer.com/instagram/channel/229176937,0,badcase,无标签无内容证据，相关性不足
12,7440299066,Bayou City Coffee,https://cn--xtb.noxinfluencer.com/instagram/channel/7440299066,-10,badcase,标签偏服饰时尚，与咖啡机推广明显错位
13,59536897530,Leiser Laura,https://cn--xtb.noxinfluencer.com/instagram/channel/59536897530,0,badcase,无标签无内容证据，相关性不足
15,181491450,Breanna Matthews,https://cn--xtb.noxinfluencer.com/instagram/channel/181491450,0,badcase,美妆生活向，与咖啡机推广关联弱
18,197139,小林 秀人,https://cn--xtb.noxinfluencer.com/instagram/channel/197139,0,badcase,无标签无内容证据，相关性不足
20,76670460582,Özlem Balkan,https://cn--xtb.noxinfluencer.com/instagram/channel/76670460582,0,badcase,无标签无内容证据，相关性不足
21,10687052594,Curated,https://cn--xtb.noxinfluencer.com/instagram/channel/10687052594,0,badcase,户外运动垂类，和咖啡机推广场景不匹配
25,373151390,Downtown Phoenix Living | Roosevelt Row Apartments,https://cn--xtb.noxinfluencer.com/instagram/channel/373151390,0,badcase,无标签无内容证据，相关性不足
26,1000914004,Retha Nichole,https://cn--xtb.noxinfluencer.com/instagram/channel/1000914004,0,badcase,无咖啡机相关信号，纯生活号
34,10434643561,Georgia Thompson Perkins,https://cn--xtb.noxinfluencer.com/instagram/channel/10434643561,-5,badcase,娱乐向内容，和产品推广场景不匹配
35,10461860942,ACTIVE,https://cn--xtb.noxinfluencer.com/instagram/channel/10461860942,0,badcase,无有效标签，缺少相关证据
36,10475018401,LuvNStitches By Colene LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/10475018401,0,badcase,无有效标签，缺少相关证据
37,10587907299,caitlyn,https://cn--xtb.noxinfluencer.com/instagram/channel/10587907299,0,badcase,跑步训练为主，与咖啡机关联弱
38,10674783,Richard Negri,https://cn--xtb.noxinfluencer.com/instagram/channel/10674783,0,badcase,艺术向内容，与咖啡机推广不匹配
46,1092416817,Independent Motorsports | Premier Powersports Dealer,https://cn--xtb.noxinfluencer.com/instagram/channel/1092416817,0,badcase,摩托运动向，与咖啡机无关
47,10955557242,BobWellsNursery,https://cn--xtb.noxinfluencer.com/instagram/channel/10955557242,0,badcase,园艺育苗向，与咖啡机无关
54,11229244561,EGRO USA,https://cn--xtb.noxinfluencer.com/instagram/channel/11229244561,0,badcase,无咖啡机或家电相关信号
55,11283500667,Khadija G.,https://cn--xtb.noxinfluencer.com/instagram/channel/11283500667,0,badcase,时尚地域向，和咖啡机推广不相关
