rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,13768085013,Jane Knight,https://cn.noxinfluencer.com/instagram/channel/13768085013,0,badcase,无标签无内容证据，无法判断相关性
4,69994623145,Josh Quiñonez,https://cn.noxinfluencer.com/instagram/channel/69994623145,0,badcase,无标签无内容证据
7,11830955,Taylor Swift,https://cn.noxinfluencer.com/instagram/channel/11830955,-15,badcase,音乐娱乐型，与实体产品推广明显不匹配
9,12281817,Kylie,https://cn.noxinfluencer.com/instagram/channel/12281817,0,badcase,仅有 glowpartner，关联信息不足
10,25025320,Instagram,https://cn.noxinfluencer.com/instagram/channel/25025320,0,badcase,泛平台标签，缺少可用主题信号
11,13460080,Nike,https://cn.noxinfluencer.com/instagram/channel/13460080,0,badcase,运动品牌账号，与 Dreame 相关性弱
12,18428658,Kim Kardashian,https://cn.noxinfluencer.com/instagram/channel/18428658,0,badcase,娱乐向为主，缺少 Dreame 或家电相关证据
13,325734299,Miley Cyrus,https://cn.noxinfluencer.com/instagram/channel/325734299,0,badcase,音乐娱乐型，不适合家电/产品推广
14,232192182,Dwayne Johnson,https://cn.noxinfluencer.com/instagram/channel/232192182,0,badcase,娱乐为主，且无 Dreame 相关线索
15,29394004,BROWN,https://cn.noxinfluencer.com/instagram/channel/29394004,0,badcase,旅行/巡演向，与 Dreame 推广关联弱
16,8713286,Sabrina Carpenter,https://cn.noxinfluencer.com/instagram/channel/8713286,0,badcase,娱乐音乐型，非家电产品推广场景
19,528817151,NASA,https://cn.noxinfluencer.com/instagram/channel/528817151,0,badcase,空间科普账号，与 Dreame 产品无关
21,19596899,⋆𐙚₊˚⊹♡ camila,https://cn.noxinfluencer.com/instagram/channel/19596899,0,badcase,音乐娱乐型，与 Dreame 推广不匹配
23,23678829,Nike Football,https://cn.noxinfluencer.com/instagram/channel/23678829,0,badcase,足球账号，与 Dreame 无直接相关性
24,1287006597,Vin Diesel,https://cn.noxinfluencer.com/instagram/channel/1287006597,0,badcase,娱乐电影向，缺少家电推广匹配度
25,186904952,David Beckham,https://cn.noxinfluencer.com/instagram/channel/186904952,0,badcase,足球娱乐型，不适合 Dreame 这类产品推广
27,208560325,Khloé Kardashian,https://cn.noxinfluencer.com/instagram/channel/208560325,-5,badcase,娱乐八卦型账号，缺少家电推广语境
28,640806256,adidas Football,https://cn.noxinfluencer.com/instagram/channel/640806256,-5,badcase,体育内容为主，与Dreame家电推广场景不匹配
30,19649762,madisonbeer,https://cn.noxinfluencer.com/instagram/channel/19649762,-5,badcase,娱乐/音乐型账号，和Dreame推广目标偏离
31,240747649,Ashton Hall,https://cn.noxinfluencer.com/instagram/channel/240747649,0,badcase,健身教练型内容，缺少家电测评或使用场景
32,421468021,Conor McGregor Official,https://cn.noxinfluencer.com/instagram/channel/421468021,0,badcase,MMA娱乐账号，产品推广语境不足
