rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,50748207,Alex Jaras,https://cn--xtb.noxinfluencer.com/instagram/channel/50748207,0,badcase,无标签与内容证据，和 Dreame 促销目标无关
2,8175077602,Bay Area Lash Trainer | Nancy Lee,https://cn--xtb.noxinfluencer.com/instagram/channel/8175077602,0,badcase,睫毛培训细分垂类，与 Dreame 品类不匹配
3,1396012266,Heather Krebs,https://cn--xtb.noxinfluencer.com/instagram/channel/1396012266,0,badcase,以饮料和装饰为主，缺少 Dreame 相关受众
4,1684649739,Dom Qwek,https://cn--xtb.noxinfluencer.com/instagram/channel/1684649739,0,badcase,艺术创作向，和 Dreame 促销受众不重合
5,50129201169,Reneze | Fashion + Home + Lifestyle Creator,https://cn--xtb.noxinfluencer.com/instagram/channel/50129201169,0,badcase,偏时尚生活，缺少家电或个护购买意图
6,247481384,Ashleigh Surratt,https://cn--xtb.noxinfluencer.com/instagram/channel/247481384,0,badcase,无标签与视频证据，无法判断相关性
7,51085073987,Saymi salcedo,https://cn--xtb.noxinfluencer.com/instagram/channel/51085073987,0,badcase,无标签与视频证据，无法支撑 Dreame 投放
8,11051443281,Sneakers Addicted Fans,https://cn--xtb.noxinfluencer.com/instagram/channel/11051443281,0,badcase,娱乐音乐向，和产品推广场景不匹配
9,4226968660,greg’s art,https://cn--xtb.noxinfluencer.com/instagram/channel/4226968660,0,badcase,纯艺术内容，与 Dreame 促销受众无关
10,210557276,j e n n   a n d r e i n i,https://cn--xtb.noxinfluencer.com/instagram/channel/210557276,0,badcase,摄影旅行向，缺少家电/个护购买信号
11,6987426493,HachiTheHusky | FUN DOG VIDEOS,https://cn--xtb.noxinfluencer.com/instagram/channel/6987426493,-15,badcase,宠物狗内容，与人用 Dreame 促销目标互斥
13,69994623145,Josh Quiñonez,https://cn--xtb.noxinfluencer.com/instagram/channel/69994623145,0,badcase,无标签与视频证据，无法判断与 Dreame 相关
14,13768085013,Jane Knight,https://cn--xtb.noxinfluencer.com/instagram/channel/13768085013,0,badcase,无标签与视频证据，无法判断相关性
15,52917214938,Cheavon Woods,https://cn--xtb.noxinfluencer.com/instagram/channel/52917214938,0,badcase,无标签与视频证据，无法支撑投放判断
17,10000409960,Elite Home Gamerooms,https://cn--xtb.noxinfluencer.com/instagram/channel/10000409960,0,badcase,游戏房内容，和 Dreame 促销场景关联弱
18,10000863504,Oregon Wedding Photographer & Videographer | Alesia Hardy,https://cn--xtb.noxinfluencer.com/instagram/channel/10000863504,0,badcase,婚礼摄影向，与产品推广受众不匹配
19,10001384,Lenise De Carvalho,https://cn--xtb.noxinfluencer.com/instagram/channel/10001384,0,badcase,无标签与视频证据，无法判断相关性
23,10002874699,Sinke Floral,https://cn--xtb.noxinfluencer.com/instagram/channel/10002874699,0,badcase,花艺内容，与 Dreame 促销目标无关
