rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,68103890180,Nathan Kwon,https://cn--xtb.noxinfluencer.com/instagram/channel/68103890180,0,badcase,无时尚标签或内容线索，相关性不足
8,70640879576,Jasiah Le,https://cn--xtb.noxinfluencer.com/instagram/channel/70640879576,0,badcase,无相关标签或内容
18,6323534897,Emmanuel H Lemite,https://cn--xtb.noxinfluencer.com/instagram/channel/6323534897,0,badcase,无相关标签或内容
19,206022012,Nina Dobrev,https://cn--xtb.noxinfluencer.com/instagram/channel/206022012,0,badcase,仅娱乐标签，缺少时尚推广线索
20,8510568897,PrettiiGirl,https://cn--xtb.noxinfluencer.com/instagram/channel/8510568897,0,badcase,无相关标签或内容
23,61239310432,Urban Contrive Collective,https://cn--xtb.noxinfluencer.com/instagram/channel/61239310432,0,badcase,家居装饰号，与时尚无关
24,9777455,Zendaya,https://cn--xtb.noxinfluencer.com/instagram/channel/9777455,0,badcase,仅娱乐标签，缺少时尚相关信号
27,2996553472,Mereyazmin xoxo,https://cn--xtb.noxinfluencer.com/instagram/channel/2996553472,0,badcase,无时尚标签，相关性不足
34,8003446737,Drip season,https://cn--xtb.noxinfluencer.com/instagram/channel/8003446737,0,badcase,缺少标签，无法判断时尚投放适配
38,12281817,Kylie,https://cn--xtb.noxinfluencer.com/instagram/channel/12281817,0,badcase,只有泛合作标签，无时尚证据
45,186904952,David Beckham,https://cn--xtb.noxinfluencer.com/instagram/channel/186904952,0,badcase,体育娱乐为主，时尚证据缺失
46,181949187,SIMONE BILES,https://cn--xtb.noxinfluencer.com/instagram/channel/181949187,0,badcase,以体育为主，时尚证据缺失
50,8048412,Sofia Richie Grainge,https://cn--xtb.noxinfluencer.com/instagram/channel/8048412,0,badcase,无可用时尚标签，证据不足
52,42905922336,Stay at Home wear,https://cn--xtb.noxinfluencer.com/instagram/channel/42905922336,0,badcase,标签缺少时尚线索，内容域不匹配
63,28809853515,Alexis G,https://cn--xtb.noxinfluencer.com/instagram/channel/28809853515,0,badcase,摄影标签本身不足以支撑时尚推广
70,332936971,Gisele Bündchen,https://cn--xtb.noxinfluencer.com/instagram/channel/332936971,0,badcase,自然生活向，缺少时尚相关信号
71,32728491,Taylor Hill,https://cn--xtb.noxinfluencer.com/instagram/channel/32728491,0,badcase,娱乐母婴向标签，时尚相关不足
72,424427677,Alex Consani,https://cn--xtb.noxinfluencer.com/instagram/channel/424427677,0,badcase,无标签，无可用时尚判断依据
74,104977797,Dallas The Stylist,https://cn--xtb.noxinfluencer.com/instagram/channel/104977797,0,badcase,无标签，无法证明与时尚相关
78,2079402634,ROCK,https://cn--xtb.noxinfluencer.com/instagram/channel/2079402634,0,badcase,娱乐向，缺少时尚相关证据
83,11211605,Tracee Ellis Ross,https://cn--xtb.noxinfluencer.com/instagram/channel/11211605,0,badcase,娱乐/旅行向，缺少时尚相关证据
84,179626091,ALEXANDRA MVP,https://cn--xtb.noxinfluencer.com/instagram/channel/179626091,0,badcase,缺少可用标签，时尚证据不足
92,295930574,Jenna Ortega,https://cn--xtb.noxinfluencer.com/instagram/channel/295930574,0,badcase,娱乐向为主，缺少时尚相关证据
93,26200865102,OBED©️,https://cn--xtb.noxinfluencer.com/instagram/channel/26200865102,0,badcase,缺少可用标签，时尚证据不足
97,15061974818,BRANSON,https://cn--xtb.noxinfluencer.com/instagram/channel/15061974818,0,badcase,缺少可用标签，时尚证据不足
100,2016291324,ariana greenblatt,https://cn--xtb.noxinfluencer.com/instagram/channel/2016291324,0,badcase,娱乐影视为主，缺少时尚相关证据
102,10685362,A$AP ROCKY,https://cn--xtb.noxinfluencer.com/instagram/channel/10685362,0,badcase,无标签与视频证据，无法判断时尚相关性
105,12246775,Britney Spears,https://cn--xtb.noxinfluencer.com/instagram/channel/12246775,0,badcase,娱乐/生活向，缺少 fashion 相关信号
111,24931858,Sunny Leone,https://cn--xtb.noxinfluencer.com/instagram/channel/24931858,0,badcase,娱乐生活向，缺少 fashion 或美妆信号
113,2269156268,刘美贤,https://cn--xtb.noxinfluencer.com/instagram/channel/2269156268,0,badcase,无标签与内容证据，无法判断时尚相关性
114,28656806,Alexis Ren,https://cn--xtb.noxinfluencer.com/instagram/channel/28656806,0,badcase,仅娱乐/广告标签，时尚相关性不足
121,897252962,madeline,https://cn--xtb.noxinfluencer.com/instagram/channel/897252962,0,badcase,无标签与视频证据，无法判断时尚相关性
122,1911380561,Comedy & culture,https://cn--xtb.noxinfluencer.com/instagram/channel/1911380561,0,badcase,娱乐/梗图向，缺少 fashion 相关信号
130,7196193908,Celpil,https://cn--xtb.noxinfluencer.com/instagram/channel/7196193908,0,badcase,空标签，无法判断时尚相关性
134,1068308287,Memes,https://cn--xtb.noxinfluencer.com/instagram/channel/1068308287,0,badcase,仅泛生活标签，无时尚证据
135,4816027731,･ﾟ: *✧ Chappell Roan ✧*:･ﾟ,https://cn--xtb.noxinfluencer.com/instagram/channel/4816027731,0,badcase,娱乐音乐为主，和时尚推广不匹配
146,666588648,Mahira Khan,https://cn--xtb.noxinfluencer.com/instagram/channel/666588648,0,badcase,电影娱乐为主，缺少时尚定位
151,48002901958,Deja Clark,https://cn--xtb.noxinfluencer.com/instagram/channel/48002901958,0,badcase,缺少时尚相关标签，偏滑板运动内容
157,1557932964,Ilona Maher,https://cn--xtb.noxinfluencer.com/instagram/channel/1557932964,0,badcase,偏体育内容，缺少时尚相关信号
158,585123204,Ed Westwick,https://cn--xtb.noxinfluencer.com/instagram/channel/585123204,0,badcase,娱乐音乐向，缺少时尚推广信号
161,1488692425,Maria Sharapova,https://cn--xtb.noxinfluencer.com/instagram/channel/1488692425,0,badcase,偏运动娱乐，缺少时尚标签
163,21888553,Aubrey O'Day,https://cn--xtb.noxinfluencer.com/instagram/channel/21888553,0,badcase,娱乐情感向，缺少时尚相关信号
168,3053227909,MEGAN MEI-YOK SKIENDIEL,https://cn--xtb.noxinfluencer.com/instagram/channel/3053227909,0,badcase,舞蹈娱乐向，缺少时尚推广信号
170,1406354788,Brent Faiyaz,https://cn--xtb.noxinfluencer.com/instagram/channel/1406354788,0,badcase,无时尚相关标签，相关性很弱
174,220987151,JD,https://cn--xtb.noxinfluencer.com/instagram/channel/220987151,0,badcase,缺少时尚相关标签，偏娱乐生活
177,307597874,Nicole Sahebi,https://cn--xtb.noxinfluencer.com/instagram/channel/307597874,0,badcase,仅有泛化product标签，与fashion缺乏关联
180,30054369,Katya Elise Henry ♡,https://cn--xtb.noxinfluencer.com/instagram/channel/30054369,0,badcase,以孕产/育儿/挑战为主，缺少时尚相关信号
181,6999970796,Miketoks,https://cn--xtb.noxinfluencer.com/instagram/channel/6999970796,0,badcase,能量饮料频道，与fashion无关
183,800141675,Brianne Howey,https://cn--xtb.noxinfluencer.com/instagram/channel/800141675,0,badcase,纯娱乐剧集向，与fashion不相关
186,500880072,julianna,https://cn--xtb.noxinfluencer.com/instagram/channel/500880072,0,badcase,仅娱乐标签，缺少时尚相关内容
187,490819194,Meredith Mickelson,https://cn--xtb.noxinfluencer.com/instagram/channel/490819194,0,badcase,生活娱乐向，与fashion相关度低
188,2360432992,Ailyn ortiz,https://cn--xtb.noxinfluencer.com/instagram/channel/2360432992,0,badcase,无有效标签，无法判断时尚相关性
189,43320974,DENNIS RODMAN,https://cn--xtb.noxinfluencer.com/instagram/channel/43320974,0,badcase,真人秀/生活向，与fashion无关
192,432834539,Kash Doll 🦈,https://cn--xtb.noxinfluencer.com/instagram/channel/432834539,0,badcase,娱乐育儿向，缺少时尚主体信号
195,44729074,Giovannie,https://cn--xtb.noxinfluencer.com/instagram/channel/44729074,0,badcase,仅love/family，和fashion无关
199,208660417,Tessa Brooks,https://cn--xtb.noxinfluencer.com/instagram/channel/208660417,0,badcase,仅ad标签，无法支撑fashion推广
200,289357489,yesly,https://cn--xtb.noxinfluencer.com/instagram/channel/289357489,0,badcase,娱乐/爱情向，与fashion无关
203,50739418093,Jin of BTS,https://cn--xtb.noxinfluencer.com/instagram/channel/50739418093,0,badcase,仅food标签，与fashion无关
204,6487336,KP,https://cn--xtb.noxinfluencer.com/instagram/channel/6487336,0,badcase,无时尚相关标签，主题不匹配
206,38748086,Quenlin Blackwell,https://cn--xtb.noxinfluencer.com/instagram/channel/38748086,0,badcase,仅娱乐/音乐标签，缺少时尚信号
210,378950537,Eva Longoria Baston,https://cn--xtb.noxinfluencer.com/instagram/channel/378950537,0,badcase,以电影/美食为主，无fashion信号
213,1646339935,Memes 🔞,https://cn--xtb.noxinfluencer.com/instagram/channel/1646339935,0,badcase,仅表情包/短内容标签，与fashion无关
217,269551418,ANGEL REESE,https://cn--xtb.noxinfluencer.com/instagram/channel/269551418,0,badcase,体育/玩具主题为主，不匹配fashion
