rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,56178786256,Kami Larae,https://cn.noxinfluencer.com/instagram/channel/56178786256,5,badcase,ASMR声音向内容，虽有厨房标签但不适合做厨房产品推广。
21,38953066225,Vanesa Amaro,https://cn.noxinfluencer.com/instagram/channel/38953066225,10,badcase,清洁向为主但混入ASMR和娱乐标签，厨房推广格式不稳。
44,36293584,Noah Klein,https://cn.noxinfluencer.com/instagram/channel/36293584,10,badcase,ASMR内容为主，厨房产品推广格式不合
56,9298513022,Chloe Olson,https://cn.noxinfluencer.com/instagram/channel/9298513022,0,badcase,缺少标签和内容证据
61,19576315948,Sham Glam,https://cn.noxinfluencer.com/instagram/channel/19576315948,-10,badcase,美妆生活号，与厨房品明显不符
70,57740942029,Peaceful Tiny Kitchen,https://cn.noxinfluencer.com/instagram/channel/57740942029,8,badcase,微缩迷你厨房，真实厨房品不适合
86,34668723704,Hanalei Souza | kitchen humor,https://cn.noxinfluencer.com/instagram/channel/34668723704,10,badcase,厨房笑料内容，产品投放场景弱，偏娱乐不偏转化
109,66693729158,Anna Grace,https://cn.noxinfluencer.com/instagram/channel/66693729158,0,badcase,无标签、无相关视频，缺少厨房类推广信号
125,65073615726,Uzair Finds,https://cn.noxinfluencer.com/instagram/channel/65073615726,0,badcase,内容为励志名言类，与厨房品类推广无关
136,4261644325,Vijeta Gupta,https://cn.noxinfluencer.com/instagram/channel/4261644325,5,badcase,时尚号为主，厨房标签疑似泛投，相关性弱
138,47170047482,Bar Rescue,https://cn.noxinfluencer.com/instagram/channel/47170047482,-14,badcase,餐饮娱乐综艺号，不适合厨房产品推广
147,64303484150,Davor sanitary,https://cn.noxinfluencer.com/instagram/channel/64303484150,0,badcase,无有效标签，缺少相关性
154,2258622238,Homemaking Tips,https://cn.noxinfluencer.com/instagram/channel/2258622238,0,badcase,缺少明确厨房或家居内容线索，相关性弱
169,7079102904,METHODICAL MUSES ®,https://cn.noxinfluencer.com/instagram/channel/7079102904,10,badcase,ASMR导向，偏氛围内容，不是常规厨房推广号
177,26352160916,Datblackwoman,https://cn.noxinfluencer.com/instagram/channel/26352160916,0,badcase,缺少厨房相关内容与受众信号
186,67633942061,Krystsina Yashchuk,https://cn.noxinfluencer.com/instagram/channel/67633942061,0,badcase,无标签，无法判断厨房相关性
199,26184414749,Ranya Samara,https://cn.noxinfluencer.com/instagram/channel/26184414749,5,badcase,ASMR格式与厨房产品推广明显不匹配
200,52993031184,friends & neighbors,https://cn.noxinfluencer.com/instagram/channel/52993031184,0,badcase,无标签与内容信号，无法匹配
207,424617799,𝔼𝕒𝕤𝕥 𝕎𝕖𝕤𝕥,https://cn.noxinfluencer.com/instagram/channel/424617799,0,badcase,无有效标签，相关性不足
220,47784273704,Dr. Tim Tiutan | Internal Medicine,https://cn.noxinfluencer.com/instagram/channel/47784273704,0,badcase,医疗健康号，和厨房无关
221,19130570916,Kardelen Sert,https://cn.noxinfluencer.com/instagram/channel/19130570916,0,badcase,仅地域标签，相关性极弱
224,184577245,Quay Samuel,https://cn.noxinfluencer.com/instagram/channel/184577245,5,badcase,ASMR放松号，产品推广格式强冲突
227,4726044070,Cleaver & Blade,https://cn.noxinfluencer.com/instagram/channel/4726044070,0,badcase,缺少标签和内容证据
228,42917569281,pink,https://cn.noxinfluencer.com/instagram/channel/42917569281,20,badcase,玩具/芭比语境，厨房更像道具，不是投放场景
242,14105697,Sophia Esperanza,https://cn.noxinfluencer.com/instagram/channel/14105697,0,badcase,娱乐和动物向内容，不适合厨房产品投放
