rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,9298513022,Chloe Olson,https://cn--xtb.noxinfluencer.com/instagram/channel/9298513022,0,badcase,无标签无内容信号，无法判断相关性
5,19576315948,Sham Glam,https://cn--xtb.noxinfluencer.com/instagram/channel/19576315948,0,badcase,美妆向，与厨房推广不相关
12,66693729158,Anna Grace,https://cn--xtb.noxinfluencer.com/instagram/channel/66693729158,0,badcase,无标签无内容信号，无法判断相关性
16,65073615726,Uzair Finds,https://cn--xtb.noxinfluencer.com/instagram/channel/65073615726,0,badcase,励志向，与厨房推广不相关
24,10586358192,Organize Ways,https://cn--xtb.noxinfluencer.com/instagram/channel/10586358192,5,badcase,ASMR/满足感格式，和产品推广形式冲突
26,64303484150,Davor sanitary,https://cn--xtb.noxinfluencer.com/instagram/channel/64303484150,0,badcase,无厨房相关标签或内容
34,47170047482,Bar Rescue,https://cn--xtb.noxinfluencer.com/instagram/channel/47170047482,0,badcase,酒吧救援偏餐饮娱乐，非厨房推广
41,56178786256,Kami Larae,https://cn--xtb.noxinfluencer.com/instagram/channel/56178786256,5,badcase,ASMR/声音向，和产品推广不匹配
42,38953066225,Vanesa Amaro,https://cn--xtb.noxinfluencer.com/instagram/channel/38953066225,10,badcase,清洁实用但ASMR占比高，推广效率差
43,2258622238,Homemaking Tips,https://cn--xtb.noxinfluencer.com/instagram/channel/2258622238,0,badcase,标签异常，无法判断厨房相关性
45,36293584,Noah Klein,https://cn--xtb.noxinfluencer.com/instagram/channel/36293584,5,badcase,ASMR干扰明显，非稳定推广位
49,26352160916,Datblackwoman,https://cn--xtb.noxinfluencer.com/instagram/channel/26352160916,0,badcase,亲子生活号，和厨房不相关
52,424617799,𝔼𝕒𝕤𝕥 𝕎𝕖𝕤𝕥,https://cn--xtb.noxinfluencer.com/instagram/channel/424617799,0,badcase,标签为空，缺少厨房相关信号
60,52993031184,friends & neighbors,https://cn--xtb.noxinfluencer.com/instagram/channel/52993031184,0,badcase,标签为空，缺少厨房相关信号
64,19130570916,Kardelen Sert,https://cn--xtb.noxinfluencer.com/instagram/channel/19130570916,0,badcase,仅地名标签，几乎无相关性
74,67633942061,Krystsina Yashchuk,https://cn--xtb.noxinfluencer.com/instagram/channel/67633942061,0,badcase,标签为空，缺少厨房相关信号
82,5327687051,Sarah,https://cn--xtb.noxinfluencer.com/instagram/channel/5327687051,0,badcase,仅有泛美食信号，缺少厨房投放语境
83,5459108811,THE HUNGRY FORK,https://cn--xtb.noxinfluencer.com/instagram/channel/5459108811,0,badcase,无标签无内容线索，无法判断相关性
93,2126278760,Jamie Keefe Interiors,https://cn--xtb.noxinfluencer.com/instagram/channel/2126278760,0,badcase,无标签无内容线索，无法判断相关性
94,596030628,Content Creator || Ibrahim,https://cn--xtb.noxinfluencer.com/instagram/channel/596030628,-10,badcase,ASMR/满足感格式与产品推广明显错位
96,4018754951,Sara Amaral Pulley,https://cn--xtb.noxinfluencer.com/instagram/channel/4018754951,0,badcase,无标签无内容线索，无法判断相关性
109,77720567111,Pelin Arıkoler,https://cn--xtb.noxinfluencer.com/instagram/channel/77720567111,0,badcase,无标签无内容，缺少相关证据
110,356080752,The random side quest queen.,https://cn--xtb.noxinfluencer.com/instagram/channel/356080752,-15,badcase,时尚发型号，与厨房品类明显不匹配
117,4664790920,SMESHTIK | Notion Systems & Productivity,https://cn--xtb.noxinfluencer.com/instagram/channel/4664790920,0,badcase,婴儿产品号，无厨房相关证据
122,2303369247,Von/Estrelluh,https://cn--xtb.noxinfluencer.com/instagram/channel/2303369247,-15,badcase,喜剧娱乐号，和厨房产品推广场景不匹配
123,1703819598,C H I ➖S A D I T Y,https://cn--xtb.noxinfluencer.com/instagram/channel/1703819598,0,badcase,无标签无内容，相关性缺失
125,35626334,Ninobrownntheplug,https://cn--xtb.noxinfluencer.com/instagram/channel/35626334,-15,badcase,纯娱乐账号，无厨房相关证据
130,9407293608,Old Goats Hard Goods,https://cn--xtb.noxinfluencer.com/instagram/channel/9407293608,0,badcase,缺少标签和内容证据，无法判断与厨房相关。
137,44436696944,Natalie Blair,https://cn--xtb.noxinfluencer.com/instagram/channel/44436696944,0,badcase,美妆穿搭号，与厨房产品推广无关。
139,70479505102,ElfJo,https://cn--xtb.noxinfluencer.com/instagram/channel/70479505102,0,badcase,缺少可用标签与内容信号，相关性无法成立。
143,6942853186,happy finds,https://cn--xtb.noxinfluencer.com/instagram/channel/6942853186,0,badcase,健身账号，与厨房推广场景无关。
150,14105697,Sophia Esperanza,https://cn--xtb.noxinfluencer.com/instagram/channel/14105697,0,badcase,娱乐与动物主题为主，厨房推广相关性不足。
158,5462486641,Morgan Barbieri,https://cn--xtb.noxinfluencer.com/instagram/channel/5462486641,0,badcase,无标签无视频，几乎没有可用相关性证据
163,47787145171,Jane,https://cn--xtb.noxinfluencer.com/instagram/channel/47787145171,0,badcase,无标签无视频，缺少相关性证据
175,195432370,Lubna 🦋,https://cn--xtb.noxinfluencer.com/instagram/channel/195432370,0,badcase,无标签无视频，缺少相关性证据
181,20740812,✨Michelle Stanger,https://cn--xtb.noxinfluencer.com/instagram/channel/20740812,0,badcase,以运动/娱乐为主，缺少厨房相关证据
197,76425305544,ElifVolkanOkay,https://cn--xtb.noxinfluencer.com/instagram/channel/76425305544,0,badcase,缺少任何厨房或家居相关证据
203,299659012,Mathew Reeves,https://cn--xtb.noxinfluencer.com/instagram/channel/299659012,0,badcase,缺少与厨房相关的标签或内容证据
205,347487626,Ayesha Nurdjaja,https://cn--xtb.noxinfluencer.com/instagram/channel/347487626,0,badcase,与厨房无关，缺少可推广厨房产品的受众
208,264122558,AVERY WOODS,https://cn--xtb.noxinfluencer.com/instagram/channel/264122558,0,badcase,护理账号，和厨房产品无关
209,5346782746,Beyza Selim,https://cn--xtb.noxinfluencer.com/instagram/channel/5346782746,0,badcase,地域个人号，和厨房无关
211,394006881,dopestmix.a_,https://cn--xtb.noxinfluencer.com/instagram/channel/394006881,0,badcase,与厨房无关，缺少相关受众
219,1584096616,Kayla Amme Miller,https://cn--xtb.noxinfluencer.com/instagram/channel/1584096616,0,badcase,珠宝手作号，与厨房无关
222,7821293918,GS woodworking,https://cn--xtb.noxinfluencer.com/instagram/channel/7821293918,0,badcase,木作号，缺少厨房相关证据
229,184577245,Quay Samuel,https://cn--xtb.noxinfluencer.com/instagram/channel/184577245,8,badcase,ASMR/氛围型内容，虽有 kitchen 但推广格式不匹配
241,7193999294,BARDA,https://cn--xtb.noxinfluencer.com/instagram/channel/7193999294,0,badcase,无标签，无法判断相关性
242,211043193,CHELS,https://cn--xtb.noxinfluencer.com/instagram/channel/211043193,0,badcase,旅行/airbnb 垂类，与 kitchen 不相关
243,4261644325,Vijeta Gupta,https://cn--xtb.noxinfluencer.com/instagram/channel/4261644325,5,badcase,时尚穿搭账号，kitchen 仅为弱插入标签，主域不匹配
245,50048460290,💎👑🥷🏾SENSEI GEECHI🥷🏾👑💎,https://cn--xtb.noxinfluencer.com/instagram/channel/50048460290,0,badcase,标签过少且无厨房相关证据
246,45503892358,Osmo,https://cn--xtb.noxinfluencer.com/instagram/channel/45503892358,3,badcase,发布/咖啡/饮品向内容，和 kitchen 关联偏弱
