rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,6505467917,SEVILAY CELIK,https://cn.noxinfluencer.com/instagram/channel/6505467917,0,badcase,美容泛类号，与割草机推广无关
22,220149,Matt Therrien🤘🤘🤘,https://cn.noxinfluencer.com/instagram/channel/220149,0,badcase,无相关标签与内容，无法支撑投放
26,59189159734,L0wb0dy Media,https://cn.noxinfluencer.com/instagram/channel/59189159734,20,badcase,汽车改装号，虽有 lawn mower 标签但主域不匹配
35,23937100,VP Racing,https://cn.noxinfluencer.com/instagram/channel/23937100,20,badcase,赛车油品号，割草机只算边缘附带
40,55269329825,Kickball Dad,https://cn.noxinfluencer.com/instagram/channel/55269329825,-15,badcase,亲子运动号，与割草机推广几乎无关
45,39963126,🌻 Francesca 🇵🇷,https://cn.noxinfluencer.com/instagram/channel/39963126,20,badcase,健身号与割草机不匹配，标签像偶发混入
51,53252783317,DaveyStruggle,https://cn.noxinfluencer.com/instagram/channel/53252783317,0,badcase,家居DIY偏家具改造，和割草机推广无关
52,50776670852,Tyler Graham,https://cn.noxinfluencer.com/instagram/channel/50776670852,0,badcase,无标签无内容证据
53,40928932319,Dad Advice From Bo,https://cn.noxinfluencer.com/instagram/channel/40928932319,0,badcase,泛生活/汽车建议，缺少园艺或设备相关性
55,46037300900,the_barn_brothers,https://cn.noxinfluencer.com/instagram/channel/46037300900,0,badcase,卡丁车/赛车方向，和割草机受众不匹配
63,71695882578,Casey&Rashad,https://cn.noxinfluencer.com/instagram/channel/71695882578,0,badcase,无可用标签，无法判断相关性
64,58019365333,Inspiring Designs,https://cn.noxinfluencer.com/instagram/channel/58019365333,0,badcase,室内设计与买买买话题，和割草机不匹配
71,4233275888,MANSCAPED®,https://cn.noxinfluencer.com/instagram/channel/4233275888,0,badcase,男士护理品牌，和割草机品类无关
74,1530430756,John Inzerillo,https://cn.noxinfluencer.com/instagram/channel/1530430756,0,badcase,自行车和汽车内容为主，和割草机不匹配
79,652165091,Michael Wittig,https://cn.noxinfluencer.com/instagram/channel/652165091,0,badcase,健身频道，与 lawn mower 推广无关
89,39387770276,CONSTRUCTION MEMES / VIDS ! 😄,https://cn.noxinfluencer.com/instagram/channel/39387770276,-10,badcase,娱乐型 memes 频道，格式与 lawn mower 推广明显不匹配
92,1035091873,Rodney Smith Jr,https://cn.noxinfluencer.com/instagram/channel/1035091873,0,badcase,社区/家庭泛内容，与 lawn mower 关联很弱
97,18564897066,Gearhead HQ,https://cn.noxinfluencer.com/instagram/channel/18564897066,0,badcase,汽车/车友频道，与 lawn mower 无关
105,66389112256,ANTHBOT,https://cn.noxinfluencer.com/instagram/channel/66389112256,0,badcase,无标签、无视频，缺少任何相关信号
108,37295184205,Funda  Lyon Yuksek🤍,https://cn.noxinfluencer.com/instagram/channel/37295184205,0,badcase,艺术内容与割草机推广无关
110,257787548,Camryn Bryant,https://cn.noxinfluencer.com/instagram/channel/257787548,0,badcase,艺术内容与割草机推广无关
114,62574903848,Noah Ziegler,https://cn.noxinfluencer.com/instagram/channel/62574903848,0,badcase,无相关标签，无法支持投放
116,3136142139,NickDaPlumber,https://cn.noxinfluencer.com/instagram/channel/3136142139,0,badcase,建筑水管工内容，与割草机无关
120,77160307823,MOVA USA,https://cn.noxinfluencer.com/instagram/channel/77160307823,0,badcase,品牌内容缺少割草机相关标签
124,1547254426,Randy Lee Shear,https://cn.noxinfluencer.com/instagram/channel/1547254426,0,badcase,汽车内容与割草机无关
133,3160385569,Travis Collins,https://cn.noxinfluencer.com/instagram/channel/3160385569,0,badcase,工具/车辆泛主题，缺少割草机相关信号
137,18365643,BLAISE FFRENCH,https://cn.noxinfluencer.com/instagram/channel/18365643,0,badcase,生活娱乐向内容，与割草机无关
142,18127620,Branded Customs,https://cn.noxinfluencer.com/instagram/channel/18127620,0,badcase,汽车定制向内容，与割草机投放不匹配
149,235550889,Ayse Izol,https://cn.noxinfluencer.com/instagram/channel/235550889,0,badcase,泛互动地域词标签，和割草机无关
150,17206155799,Taylor Daniska,https://cn.noxinfluencer.com/instagram/channel/17206155799,0,badcase,缺少标签和内容信号，无法判断为相关
151,177639940,John Seaman,https://cn.noxinfluencer.com/instagram/channel/177639940,0,badcase,商业/摩托生活内容，和割草机推广无关
152,302899546,Vince Vitrano,https://cn.noxinfluencer.com/instagram/channel/302899546,0,badcase,啦啦操/旅行/娱乐向，和割草机无关
155,49362781793,Ionic Batteries,https://cn.noxinfluencer.com/instagram/channel/49362781793,0,badcase,电池品牌，缺少草坪/园艺相关证据
157,8670651448,The Ramp Rack,https://cn.noxinfluencer.com/instagram/channel/8670651448,0,badcase,无标签且无内容证据，相关性不足
158,228880235,AMSOIL INC.,https://cn.noxinfluencer.com/instagram/channel/228880235,0,badcase,越野车辆向，和割草机推广场景不匹配
163,17806742791,BMW Garage | Clean Builds Only,https://cn.noxinfluencer.com/instagram/channel/17806742791,0,badcase,汽车改装/美容向，和割草机无关
167,3223854953,Justin Floyd,https://cn.noxinfluencer.com/instagram/channel/3223854953,0,badcase,宠物/户外为主，和割草机推广无关
177,46563967136,Half Off Wholesale,https://cn.noxinfluencer.com/instagram/channel/46563967136,1,badcase,只有泛化工具和批发信号，草坪设备关联弱
181,44841392262,Wilson Services of Central IL,https://cn.noxinfluencer.com/instagram/channel/44841392262,0,badcase,缺少可判断的草坪或工具相关信号
183,67484052537,Habitat for Humanity of Greater Sacramento ReStore,https://cn.noxinfluencer.com/instagram/channel/67484052537,0,badcase,二手商店属性，和割草机推广关联不足
188,404526095,PJ Pitcher,https://cn.noxinfluencer.com/instagram/channel/404526095,0,badcase,汽车改装赛道，和割草机受众不符
189,3061017394,"Precision Work, Inc.",https://cn.noxinfluencer.com/instagram/channel/3061017394,0,badcase,名称过泛，缺少草坪设备相关信号
191,49606058457,Bridgette Moore Wildomar,https://cn.noxinfluencer.com/instagram/channel/49606058457,0,badcase,个人主页，无草坪设备信号
195,47582229776,Cowboy Headquarters,https://cn.noxinfluencer.com/instagram/channel/47582229776,0,badcase,完全无相关领域信号
197,1131183377,Dee Alan,https://cn.noxinfluencer.com/instagram/channel/1131183377,0,badcase,美妆旅行类，和割草机受众不符
202,60160587753,Christopher Chang,https://cn.noxinfluencer.com/instagram/channel/60160587753,0,badcase,无相关行业或产品信号
203,1708487924,Brave Little Ones • Bamboo Pjs,https://cn.noxinfluencer.com/instagram/channel/1708487924,0,badcase,童装母婴服饰，和割草机推广不相关
211,49255020886,SB Mowing,https://cn.noxinfluencer.com/instagram/channel/49255020886,-12,badcase,ASMR/满意型割草内容，格式不适合产品推广
217,268343804,Eda Akcan Bektaşoğlu,https://cn.noxinfluencer.com/instagram/channel/268343804,0,badcase,母婴时尚生活号，和割草机推广无关
219,33434411317,Nick Eagle,https://cn.noxinfluencer.com/instagram/channel/33434411317,0,badcase,无可用相关信号
222,3016196787,Michael Galloway,https://cn.noxinfluencer.com/instagram/channel/3016196787,0,badcase,滑雪/水上娱乐内容，品类不相关
226,61523189085,Kilo Motors,https://cn.noxinfluencer.com/instagram/channel/61523189085,0,badcase,赛车摩托内容，和割草机推广不匹配
228,3309474403,Smith and Sons,https://cn.noxinfluencer.com/instagram/channel/3309474403,0,badcase,无标签无视频信号，相关性不足
229,317218478,TWP MOTORSPORTS,https://cn.noxinfluencer.com/instagram/channel/317218478,0,badcase,赛车频道，和割草机主题不符
230,6897575524,"Superior Products Distributors, Inc.",https://cn.noxinfluencer.com/instagram/channel/6897575524,0,badcase,无可见 lawn 相关信号，缺少依据
231,218145307,Ryan Anderson,https://cn.noxinfluencer.com/instagram/channel/218145307,0,badcase,怪兽卡车内容，和园林机械不相关
234,224426513,Batteries Plus,https://cn.noxinfluencer.com/instagram/channel/224426513,0,badcase,电池更换偏手机数码，不适合割草机
248,15013881494,Monterey Bay Air Resources Dis,https://cn.noxinfluencer.com/instagram/channel/15013881494,0,badcase,无相关信号，和割草机推广不匹配
