rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,6505467917,SEVILAY CELIK,https://cn--xtb.noxinfluencer.com/instagram/channel/6505467917,0,badcase,美妆/护肤内容，与割草机无关
7,33291118660,Windwood Property Services,https://cn--xtb.noxinfluencer.com/instagram/channel/33291118660,0,badcase,重型施工/挖掘方向，和 lawn mower 不符
20,57553783742,jayy&jess,https://cn--xtb.noxinfluencer.com/instagram/channel/57553783742,0,badcase,无明显 lawn mower 相关信号
24,78902244095,Chris Laflamme,https://cn--xtb.noxinfluencer.com/instagram/channel/78902244095,0,badcase,无相关标签或内容信号
25,2144642588,jonathan_buckingham,https://cn--xtb.noxinfluencer.com/instagram/channel/2144642588,0,badcase,无相关标签或内容信号
26,1288237983,Motorsports International,https://cn--xtb.noxinfluencer.com/instagram/channel/1288237983,0,badcase,机车/自行车频道，与割草机推广无关
30,220149,Matt Therrien🤘🤘🤘,https://cn--xtb.noxinfluencer.com/instagram/channel/220149,0,badcase,无可用标签或视频证据
31,15438625194,NOT2TWINZ,https://cn--xtb.noxinfluencer.com/instagram/channel/15438625194,0,badcase,无可用标签或视频证据
44,1035091873,Rodney Smith Jr,https://cn--xtb.noxinfluencer.com/instagram/channel/1035091873,0,badcase,社区挑战类频道，与割草机无关
65,14562313075,Nokomis Surplus,https://cn--xtb.noxinfluencer.com/instagram/channel/14562313075,0,badcase,二手/杂货型账号，和割草机推广不相关
68,15013881494,Monterey Bay Air Resources Dis,https://cn--xtb.noxinfluencer.com/instagram/channel/15013881494,0,badcase,空气资源监管账号，与割草机推广不匹配
69,1530430756,John Inzerillo,https://cn--xtb.noxinfluencer.com/instagram/channel/1530430756,0,badcase,个人运动/车辆混合号，缺少割草机相关信号
76,16708514521,Pattay’s Performance,https://cn--xtb.noxinfluencer.com/instagram/channel/16708514521,0,badcase,无草坪设备线索，相关性不足
77,16720687731,Snowplow Sales LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/16720687731,0,badcase,偏雪铲销售，与割草机不匹配
78,17206155799,Taylor Daniska,https://cn--xtb.noxinfluencer.com/instagram/channel/17206155799,0,badcase,无行业标签，相关性不足
79,177639940,John Seaman,https://cn--xtb.noxinfluencer.com/instagram/channel/177639940,0,badcase,生活创业向，非园艺设备受众
80,17872367959,A Cut Above Orlando,https://cn--xtb.noxinfluencer.com/instagram/channel/17872367959,0,badcase,名称像修剪/理发类，缺少设备证据
81,1805786489,Team Smith Sells 225,https://cn--xtb.noxinfluencer.com/instagram/channel/1805786489,0,badcase,房产销售账号，目标不一致
