rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,243406465,sofia,https://cn--xtb.noxinfluencer.com/instagram/channel/243406465,0,badcase,标签为空，缺少相关性证据
3,42877855646,Silvia Magana Andrade,https://cn--xtb.noxinfluencer.com/instagram/channel/42877855646,0,badcase,标签为空，缺少相关性证据
4,2988177633,Gabe Fraser,https://cn--xtb.noxinfluencer.com/instagram/channel/2988177633,0,badcase,标签为空，缺少相关性证据
7,4934196,AGNEZ MO,https://cn--xtb.noxinfluencer.com/instagram/channel/4934196,0,badcase,音乐娱乐向，缺少 lifestyle 相关证据
9,229732185,christian miller,https://cn--xtb.noxinfluencer.com/instagram/channel/229732185,0,badcase,标签为空，缺少相关性证据
10,9540672,Paige Audrey-Marie Hurd🦒,https://cn--xtb.noxinfluencer.com/instagram/channel/9540672,0,badcase,偏影视娱乐，缺少 lifestyle 相关证据
11,6940842913,jryako,https://cn--xtb.noxinfluencer.com/instagram/channel/6940842913,0,badcase,标签为空，缺少相关性证据
14,25271159663,LJ,https://cn--xtb.noxinfluencer.com/instagram/channel/25271159663,0,badcase,标签为空，缺少相关性证据
16,4534598063,madina_.amir,https://cn--xtb.noxinfluencer.com/instagram/channel/4534598063,0,badcase,标签为空，缺少相关性证据
19,51851968,OMGRONNY,https://cn--xtb.noxinfluencer.com/instagram/channel/51851968,0,badcase,标签为空，缺少相关性证据
25,11890073458,hannah fields,https://cn--xtb.noxinfluencer.com/instagram/channel/11890073458,0,badcase,标签为空，缺少相关性证据
26,181108383,Balardin,https://cn--xtb.noxinfluencer.com/instagram/channel/181108383,0,badcase,无标签，缺少 lifestyle 相关证据
27,210429330,El OZO,https://cn--xtb.noxinfluencer.com/instagram/channel/210429330,0,badcase,音乐/单曲向，与 lifestyle 召回弱
32,1259072737,Ann Ngo,https://cn--xtb.noxinfluencer.com/instagram/channel/1259072737,0,badcase,无标签无内容，无法判断 lifestyle 相关性
33,3129423332,billy stanley joseph,https://cn--xtb.noxinfluencer.com/instagram/channel/3129423332,0,badcase,无标签无内容，无法判断 lifestyle 相关性
34,1142896186,Keshinro Ololade,https://cn--xtb.noxinfluencer.com/instagram/channel/1142896186,0,badcase,娱乐/歌曲向，与 lifestyle 召回弱
37,609336301,Shayne Topp,https://cn--xtb.noxinfluencer.com/instagram/channel/609336301,0,badcase,无标签，缺少 lifestyle 信号
41,57381193191,Landen Levine,https://cn--xtb.noxinfluencer.com/instagram/channel/57381193191,0,badcase,无标签，无法建立 lifestyle 关联
43,713877848,Sha’Tavia Levy,https://cn--xtb.noxinfluencer.com/instagram/channel/713877848,0,badcase,无标签，缺少 lifestyle 相关证据
46,15061974818,BRANSON,https://cn--xtb.noxinfluencer.com/instagram/channel/15061974818,0,badcase,无标签，缺少 lifestyle 信号
48,324580800,ONDREAZ,https://cn--xtb.noxinfluencer.com/instagram/channel/324580800,0,badcase,无标签，缺少 lifestyle 相关证据
49,193317442,Lilian Melchert,https://cn--xtb.noxinfluencer.com/instagram/channel/193317442,0,badcase,仅有广告标签，缺少 lifestyle 语义
51,54769998389,FLEXOOO WORLD,https://cn--xtb.noxinfluencer.com/instagram/channel/54769998389,0,badcase,无标签，缺少 lifestyle 相关证据
52,28080204453,🍬bаby solа🍬,https://cn--xtb.noxinfluencer.com/instagram/channel/28080204453,0,badcase,无标签，缺少 lifestyle 相关证据
56,409624011,Daniel Ocampo,https://cn--xtb.noxinfluencer.com/instagram/channel/409624011,0,badcase,无标签，缺少 lifestyle 相关证据
60,29367378,Jarrett Campbell,https://cn--xtb.noxinfluencer.com/instagram/channel/29367378,-15,badcase,喜剧/吐槽/游戏为主，与 lifestyle 不匹配
63,2366270568,Ollie Muhl,https://cn--xtb.noxinfluencer.com/instagram/channel/2366270568,0,badcase,无标签，缺少 lifestyle 相关证据
