rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
57,523903362,The Marathon Clothing,https://cn.noxinfluencer.com/instagram/channel/523903362,-10,badcase,无跑步相关标签，偏娱乐/服饰，不适合推广
66,9446524,Claire Holt,https://cn.noxinfluencer.com/instagram/channel/9446524,-10,badcase,美妆娱乐型账号，与 marathon 推广无关
77,40798759,Roger Scott,https://cn.noxinfluencer.com/instagram/channel/40798759,-5,badcase,情侣喜剧内容为主，缺少跑步/马拉松场景
88,23381692,AMEYA OKAMOTO,https://cn.noxinfluencer.com/instagram/channel/23381692,0,badcase,美甲/艺术/娱乐向，和 marathon 无关
94,1817896430,Truett Hanes,https://cn.noxinfluencer.com/instagram/channel/1817896430,-4,badcase,仅有泛 fitness，且娱乐/家庭属性强
100,10804583271,Océane Andréa,https://cn.noxinfluencer.com/instagram/channel/10804583271,0,badcase,播客标签过泛，无跑步相关证据
114,7196095377,Katerina Finck,https://cn.noxinfluencer.com/instagram/channel/7196095377,-15,badcase,宠物狗受众，与人类马拉松推广不相容
116,339712806,Noah Rolette,https://cn.noxinfluencer.com/instagram/channel/339712806,0,badcase,仅泛挑战标签，和马拉松推广无关
138,7080916,Connor Franta,https://cn.noxinfluencer.com/instagram/channel/7080916,0,badcase,商业杂项号，和马拉松主题几乎无关
150,5859413,Noreaga Nore,https://cn.noxinfluencer.com/instagram/channel/5859413,0,badcase,娱乐音乐向内容，和马拉松主题不匹配
155,26444480505,Linda Sun,https://cn.noxinfluencer.com/instagram/channel/26444480505,0,badcase,美食账号，无跑步马拉松语境
159,16271478987,Genny Mack | Wellness Educator,https://cn.noxinfluencer.com/instagram/channel/16271478987,2,badcase,健康教育向，但缺少跑步相关内容
160,742961471,Zac Clark,https://cn.noxinfluencer.com/instagram/channel/742961471,2,badcase,偏健康/娱乐，缺少跑马语境
163,270254224,Jireh | Motivate & Inspire,https://cn.noxinfluencer.com/instagram/channel/270254224,2,badcase,励志娱乐向，马拉松受众不明确
169,3694097,Sophia Chang,https://cn.noxinfluencer.com/instagram/channel/3694097,1,badcase,旅行美发账号，缺少跑步相关内容
177,239351182,Isaac Christopher Rochell,https://cn.noxinfluencer.com/instagram/channel/239351182,0,badcase,与马拉松无关的NFL/时尚内容
193,208253853,Alex Martin,https://cn.noxinfluencer.com/instagram/channel/208253853,-14,badcase,摩托赛车内容，与马拉松人群不符
205,51435137599,Ding Tang,https://cn.noxinfluencer.com/instagram/channel/51435137599,0,badcase,无可用标签或马拉松相关信号
212,490647941,Tanya Sam,https://cn.noxinfluencer.com/instagram/channel/490647941,0,badcase,业务方向为创业商业，和马拉松无关
222,609583902,Isaiah,https://cn.noxinfluencer.com/instagram/channel/609583902,0,badcase,汽车/故事类账号，与马拉松无关
228,268485353,tommy_rivs 🏴‍☠️,https://cn.noxinfluencer.com/instagram/channel/268485353,0,badcase,仅有生活情绪类标签，缺少跑步或赛事信号
232,237885438,Victoria Bennie,https://cn.noxinfluencer.com/instagram/channel/237885438,0,badcase,以娱乐和生活为主，缺少跑马相关信号
233,48011221,Samantha MacIntyre,https://cn.noxinfluencer.com/instagram/channel/48011221,0,badcase,无标签，无法判断相关性
237,23728365,Maya + Hunter,https://cn.noxinfluencer.com/instagram/channel/23728365,0,badcase,情侣生活向内容，与 marathon 无关
239,29924047,Taryn Lamb,https://cn.noxinfluencer.com/instagram/channel/29924047,0,badcase,美妆旅行向内容，与 marathon 无关
