rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
28,28160352864,Mama Shawna,https://cn.noxinfluencer.com/instagram/channel/28160352864,0,badcase,无有效标签与内容信号
34,9303247705,Tate and Kenna and Fizz,https://cn.noxinfluencer.com/instagram/channel/9303247705,0,badcase,仅有 food，缺少宠物与品类信号
36,309654407,Taylor,https://cn.noxinfluencer.com/instagram/channel/309654407,0,badcase,广告/电子类账号，和宠物粮无关
46,4646212464,Acabonac Farms,https://cn.noxinfluencer.com/instagram/channel/4646212464,0,badcase,农场/牛肉内容，和宠物粮推广不匹配
49,1811044330,Trooper & Vortec,https://cn.noxinfluencer.com/instagram/channel/1811044330,0,badcase,无标签无内容信号，难判断为宠物粮相关
51,2986132496,Animal Savvy LLC,https://cn.noxinfluencer.com/instagram/channel/2986132496,0,badcase,无标签和内容证据，难判定为宠物食品受众
54,45771897,Ren • campfires | adventures,https://cn.noxinfluencer.com/instagram/channel/45771897,0,badcase,家庭户外内容，与宠物食品推广关联弱
56,65733883394,"Toby, Blü & Sara",https://cn.noxinfluencer.com/instagram/channel/65733883394,0,badcase,无标签和内容证据
61,69549171106,Peanut,https://cn.noxinfluencer.com/instagram/channel/69549171106,0,badcase,无标签和内容证据
72,4056975347,Katey,https://cn.noxinfluencer.com/instagram/channel/4056975347,0,badcase,无标签和内容证据
82,57280971108,Bennett 🐾🐱,https://cn.noxinfluencer.com/instagram/channel/57280971108,8,badcase,ASMR格式不适合宠物食品投放
83,472922490,Notorious,https://cn.noxinfluencer.com/instagram/channel/472922490,0,badcase,无标签无内容证据，相关性不足
115,549170313,Christopher Gillette,https://cn.noxinfluencer.com/instagram/channel/549170313,-10,badcase,野生爬宠科普，和宠粮推广受众不符
117,49923311684,Gubba Homestead,https://cn.noxinfluencer.com/instagram/channel/49923311684,0,badcase,家庭囤货号，无明显宠物受众与宠粮场景
126,7815350186,Cary Colón aka Cleantok Cary,https://cn.noxinfluencer.com/instagram/channel/7815350186,0,badcase,清洁内容，与宠物食品投放无关
134,211428898,Sonny Otieno,https://cn.noxinfluencer.com/instagram/channel/211428898,0,badcase,缺少标签和宠物食品相关语境
148,25425340,"San Antonio, Texas | Amanda",https://cn.noxinfluencer.com/instagram/channel/25425340,0,badcase,仅是人类美食账号，与宠物食品无关
150,6660694966,Nick Kokenos & Erica Battle | Adventure Travel,https://cn.noxinfluencer.com/instagram/channel/6660694966,0,badcase,旅行户外内容，与宠物食品投放不匹配
151,10600505541,ℝ𝕚𝕤𝕖𝕤𝕒𝕓𝕠𝕧𝕖𝕚𝕥𝕒𝕝𝕝- Functional + Holistic Medicine,https://cn.noxinfluencer.com/instagram/channel/10600505541,0,badcase,母婴健康/排毒账号，和宠粮投放目标无关
153,46115607917,Danica,https://cn.noxinfluencer.com/instagram/channel/46115607917,0,badcase,清洁/排毒/健康内容，缺少宠物消费相关性
155,44198560066,memes by bepis,https://cn.noxinfluencer.com/instagram/channel/44198560066,0,badcase,纯表情包账号，缺少任何宠物或商品线索
157,33072223055,Noah Young,https://cn.noxinfluencer.com/instagram/channel/33072223055,0,badcase,农场/园艺向，宠粮受众证据很弱
159,1667588065,Jessica,https://cn.noxinfluencer.com/instagram/channel/1667588065,1,badcase,爬宠账号偏窄，和通用宠粮仅弱相关
161,48347443117,CultivateElevate,https://cn.noxinfluencer.com/instagram/channel/48347443117,0,badcase,自然/冥想/补充剂向，和宠粮无关
170,53522321207,𝗞𝗔𝗬𝗟𝗘𝗘 𝗠𝗔𝗥𝗜𝗘Ｉ𝑹𝒐𝒐𝒕 𝑪𝒂𝒖𝒔𝒆 𝑷𝒓𝒂𝒄𝒕𝒊𝒕𝒊𝒐𝒏𝒆𝒓,https://cn.noxinfluencer.com/instagram/channel/53522321207,0,badcase,健康排毒与儿童生活向，和宠粮无关
175,294387886,Lee Mitchell,https://cn.noxinfluencer.com/instagram/channel/294387886,-8,badcase,爬宠+ASMR 偏娱乐，和通用宠粮投放不匹配
179,1825120733,DALLASITES101,https://cn.noxinfluencer.com/instagram/channel/1825120733,0,badcase,食物/娱乐/音乐向，缺少宠物食品投放场景
181,65175390766,"Ivy, Opie, Koi & Dottie",https://cn.noxinfluencer.com/instagram/channel/65175390766,-10,badcase,猫内容夹 ASMR，属于物理商品投放错位
186,883789727,Chunky Aka Monkey,https://cn.noxinfluencer.com/instagram/channel/883789727,-5,badcase,娱乐叙事为主，和宠物食品不匹配
196,47596344261,Angel Freitas,https://cn.noxinfluencer.com/instagram/channel/47596344261,0,badcase,家居DIY号，与宠物食品投放关联弱
197,26065037619,Melissa Mal | Modern health Naturopath,https://cn.noxinfluencer.com/instagram/channel/26065037619,0,badcase,人类健康内容，和宠物食品不匹配
198,29123268124,"Maddy | Travel, Confidence & Freedom",https://cn.noxinfluencer.com/instagram/channel/29123268124,0,badcase,旅行户外号，没有宠物食品受众信号
199,44615866076,MortyTheMisfit feat. the mother Danielle Ruffino,https://cn.noxinfluencer.com/instagram/channel/44615866076,-5,badcase,drama 叙事向，和宠物食品推广不适配
200,45666144583,Leah Seeling| East Coast Adventures,https://cn.noxinfluencer.com/instagram/channel/45666144583,0,badcase,旅行户外号，没有宠物食品受众信号
201,49936429176,Cultivate Elevate,https://cn.noxinfluencer.com/instagram/channel/49936429176,0,badcase,人类生活方式号，无宠物受众或宠物喂养信号
203,490499849,Casey Cromwell | Gluten Free Celiac Foodie,https://cn.noxinfluencer.com/instagram/channel/490499849,0,badcase,人类无麸质美食号，与宠物食品无关
204,15825976,Hope • Chattanooga Hiking Tour Guide,https://cn.noxinfluencer.com/instagram/channel/15825976,0,badcase,户外导览账号，缺少宠物受众与喂养场景
