rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
23,9303247705,Tate and Kenna and Fizz,https://cn--xtb.noxinfluencer.com/instagram/channel/9303247705,0,badcase,仅泛食品内容，缺少宠物受众
26,320144887,Happypawsbykro,https://cn--xtb.noxinfluencer.com/instagram/channel/320144887,0,badcase,无标签无内容，缺少宠粮相关证据
32,2219256893,Cody Wright,https://cn--xtb.noxinfluencer.com/instagram/channel/2219256893,0,badcase,无标签无内容，无法判断相关性
38,19049043083,Orion 🌎,https://cn--xtb.noxinfluencer.com/instagram/channel/19049043083,0,badcase,无标签无内容，缺少宠粮相关证据
39,360966670,I M A (ee-mah),https://cn--xtb.noxinfluencer.com/instagram/channel/360966670,0,badcase,无标签无内容，缺少宠粮相关证据
46,70401074214,Peach🍑,https://cn--xtb.noxinfluencer.com/instagram/channel/70401074214,0,badcase,无标签无内容，缺少宠粮相关证据
47,17450512,Steph Wilson,https://cn--xtb.noxinfluencer.com/instagram/channel/17450512,0,badcase,旅行生活账号，与宠粮无关
49,28160352864,Mama Shawna,https://cn--xtb.noxinfluencer.com/instagram/channel/28160352864,0,badcase,无标签无内容，缺少宠粮相关证据
50,309654407,Taylor,https://cn--xtb.noxinfluencer.com/instagram/channel/309654407,0,badcase,消费电子/吸尘器账号，与宠粮无关
52,1164098477,ThatWolfMother 🐺🖤🐺,https://cn--xtb.noxinfluencer.com/instagram/channel/1164098477,0,badcase,无标签无内容信号，无法判断与宠物食品相关
55,63393130933,Enzo,https://cn--xtb.noxinfluencer.com/instagram/channel/63393130933,0,badcase,无标签无视频证据，相关性不足
58,259167624,Hawley Awad,https://cn--xtb.noxinfluencer.com/instagram/channel/259167624,0,badcase,horse 方向偏离宠物食品受众
60,46429737,Selen,https://cn--xtb.noxinfluencer.com/instagram/channel/46429737,0,badcase,home decor 为主，yorkie 仅弱关联
64,21744834734,Marty 🐾,https://cn--xtb.noxinfluencer.com/instagram/channel/21744834734,0,badcase,无可用标签或内容，相关性不足
68,37358529267,Goldie 🐾🐾,https://cn--xtb.noxinfluencer.com/instagram/channel/37358529267,0,badcase,无标签无内容信号，无法支撑宠物食品投放
69,44885113256,Canine TV - By All American Canine,https://cn--xtb.noxinfluencer.com/instagram/channel/44885113256,0,badcase,标签仅 fashion，缺少宠物/食品信号
70,6201108505,Pebbles & Bam-Bam,https://cn--xtb.noxinfluencer.com/instagram/channel/6201108505,0,badcase,coffee 主题，和宠物食品场景不匹配
73,69503550956,momo 🥟 & mochi 🍡,https://cn--xtb.noxinfluencer.com/instagram/channel/69503550956,0,badcase,无标签无内容，无法判断为宠物食品相关
78,2272954972,Medi-Crunch,https://cn--xtb.noxinfluencer.com/instagram/channel/2272954972,0,badcase,无有效标签或内容证据
86,12638617831,Falco,https://cn--xtb.noxinfluencer.com/instagram/channel/12638617831,0,badcase,无有效标签或内容证据
89,2946256585,Ruby,https://cn--xtb.noxinfluencer.com/instagram/channel/2946256585,0,badcase,无有效标签或内容证据
93,65720318657,Ponyo and Luna 🤍,https://cn--xtb.noxinfluencer.com/instagram/channel/65720318657,0,badcase,无有效标签或内容证据
95,67033194635,Icy • Stormi • Darcie ⋆˚🐾˖°,https://cn--xtb.noxinfluencer.com/instagram/channel/67033194635,0,badcase,无有效标签或内容证据
104,2211580265,Claire,https://cn--xtb.noxinfluencer.com/instagram/channel/2211580265,0,badcase,无标签、无内容证据，无法判断为宠物食品相关
105,5214868,sam grey,https://cn--xtb.noxinfluencer.com/instagram/channel/5214868,0,badcase,生活方式/美妆号，缺少宠物受众与购买场景
113,3064410517,BOBIK,https://cn--xtb.noxinfluencer.com/instagram/channel/3064410517,0,badcase,无任何宠物或商品相关证据
114,14006171240,KYBER & NIERA,https://cn--xtb.noxinfluencer.com/instagram/channel/14006171240,0,badcase,无标签无内容，无法支撑投放判断
117,10423477370,Jesús Moreno,https://cn--xtb.noxinfluencer.com/instagram/channel/10423477370,0,badcase,内容标签与宠物食品无关，受众不匹配
121,55239582153,pharaoh & cleo,https://cn--xtb.noxinfluencer.com/instagram/channel/55239582153,0,badcase,无标签无证据，不能判断为宠物食品相关
132,4646212464,Acabonac Farms,https://cn--xtb.noxinfluencer.com/instagram/channel/4646212464,0,badcase,农牧牛肉账号，与宠物食品目标不匹配
137,1811044330,Trooper & Vortec,https://cn--xtb.noxinfluencer.com/instagram/channel/1811044330,0,badcase,无标签无内容，无法判断宠物食品相关性
140,45771897,Ren • campfires | adventures,https://cn--xtb.noxinfluencer.com/instagram/channel/45771897,0,badcase,家庭/亲子/夏季内容，与宠物食品无关
143,65733883394,"Toby, Blü & Sara",https://cn--xtb.noxinfluencer.com/instagram/channel/65733883394,0,badcase,无标签无内容，相关性不足
145,69549171106,Peanut,https://cn--xtb.noxinfluencer.com/instagram/channel/69549171106,0,badcase,无标签无内容，相关性不足
151,4056975347,Katey,https://cn--xtb.noxinfluencer.com/instagram/channel/4056975347,0,badcase,无宠物或宠粮相关信号
152,472922490,Notorious,https://cn--xtb.noxinfluencer.com/instagram/channel/472922490,0,badcase,无宠物或宠粮相关信号
154,12248490515,Sasha's Beauty Pans,https://cn--xtb.noxinfluencer.com/instagram/channel/12248490515,0,badcase,无宠物或宠粮相关信号
171,10011623688,904 Pop Up,https://cn--xtb.noxinfluencer.com/instagram/channel/10011623688,0,badcase,服饰活动号，与宠粮推广不相关
182,1027721681,Baby Fair Hawaii,https://cn--xtb.noxinfluencer.com/instagram/channel/1027721681,0,badcase,儿童旅行账号，与宠物食品受众不匹配
185,1034120859,French Broad River Brewery,https://cn--xtb.noxinfluencer.com/instagram/channel/1034120859,0,badcase,啤酒餐饮类账号，与宠物食品不相关
188,10349167051,user2026buff,https://cn--xtb.noxinfluencer.com/instagram/channel/10349167051,0,badcase,无有效标签或内容，无法判断相关性
189,10361039340,Vintage Revival Market,https://cn--xtb.noxinfluencer.com/instagram/channel/10361039340,0,badcase,二手市场/商业类账号，与宠物食品不相关
191,10386956271,The Cleaner Soul,https://cn--xtb.noxinfluencer.com/instagram/channel/10386956271,0,badcase,清洁家居类账号，与宠物食品不相关
197,104999247,Murdoch's Ranch & Home Supply,https://cn--xtb.noxinfluencer.com/instagram/channel/104999247,0,badcase,标签无宠物食品信号，相关性不足
202,1057552479,🎸SPOOKY & PUNK: TO THE BONE⚡️💀,https://cn--xtb.noxinfluencer.com/instagram/channel/1057552479,-10,badcase,娱乐/万圣节主题，和宠物粮投放场景不符
206,10600505541,ℝ𝕚𝕤𝕖𝕤𝕒𝕓𝕠𝕧𝕖𝕚𝕥𝕒𝕝𝕝- Functional + Holistic Medicine,https://cn--xtb.noxinfluencer.com/instagram/channel/10600505541,0,badcase,母婴健康向，和宠物粮无关
210,10694905072,Uncommon Market Asheville,https://cn--xtb.noxinfluencer.com/instagram/channel/10694905072,0,badcase,艺术市集号，与宠物粮无关
213,1070816711,BizBaz Club 🐶🌈☁️🌟🧋,https://cn--xtb.noxinfluencer.com/instagram/channel/1070816711,0,badcase,艺术社群号，与宠物粮无关
215,10740450490,SA LOCAL MARKET,https://cn--xtb.noxinfluencer.com/instagram/channel/10740450490,0,badcase,市场号，缺少宠物相关语义
220,10825038467,Pete's Pier,https://cn--xtb.noxinfluencer.com/instagram/channel/10825038467,0,badcase,无宠物语义，与投放无关
221,10834860095,Melrose Vintage Market,https://cn--xtb.noxinfluencer.com/instagram/channel/10834860095,0,badcase,复古市集号，与宠物粮无关
224,10870775638,Tianguiz Cultural,https://cn--xtb.noxinfluencer.com/instagram/channel/10870775638,0,badcase,文化市集号，与宠物粮无关
241,11109577617,Colgate-Palmolive Company,https://cn--xtb.noxinfluencer.com/instagram/channel/11109577617,0,badcase,家清品牌号，与宠物食品主题不匹配
242,11127681830,Hoboken Community Center,https://cn--xtb.noxinfluencer.com/instagram/channel/11127681830,0,badcase,社区食物泛主题，不是宠物食品受众
249,1126082689,Ford Family Farms,https://cn--xtb.noxinfluencer.com/instagram/channel/1126082689,0,badcase,农场号与宠物食品推广无直接关联
