rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,218271497,Michael Cassara,https://cn.noxinfluencer.com/instagram/channel/218271497,0,badcase,仅有婚礼泛标签，缺少摄影器材相关证据
9,2376738,Jovell - Alaska,https://cn.noxinfluencer.com/instagram/channel/2376738,0,badcase,标签仅为地名，无摄影相关证据
12,8750185879,Spex Photography,https://cn.noxinfluencer.com/instagram/channel/8750185879,0,badcase,无标签，缺少可判定的摄影器材相关性
19,28311075,Anjelica Bette Fellini,https://cn.noxinfluencer.com/instagram/channel/28311075,-10,badcase,娱乐型账号，和摄影器材推广场景不匹配
23,197129480,Tristan Hoogland,https://cn.noxinfluencer.com/instagram/channel/197129480,0,badcase,无可用标签，无法支持摄影器材相关判断
28,8595349307,Dubnitskiy David,https://cn.noxinfluencer.com/instagram/channel/8595349307,0,badcase,缺少任何摄影器材相关信号
31,7115075614,Joseph Ford,https://cn.noxinfluencer.com/instagram/channel/7115075614,0,badcase,缺少摄影领域与器材受众信号
40,47321269429,The Reservoir Philly,https://cn.noxinfluencer.com/instagram/channel/47321269429,-15,badcase,娱乐音乐类内容，与摄影设备推广不匹配
41,2273203121,Samuel Tse,https://cn.noxinfluencer.com/instagram/channel/2273203121,0,badcase,缺少可判断的摄影器材相关信息
42,63522673601,Joel🌑🤲🏽👁️,https://cn.noxinfluencer.com/instagram/channel/63522673601,0,badcase,缺少可判断的摄影器材相关信息
44,50776703192,Slim Wonder,https://cn.noxinfluencer.com/instagram/channel/50776703192,0,badcase,缺少可判断的摄影器材相关信息
50,5464182340,Kayla Fisher | Southern California Wedding Photographer,https://cn.noxinfluencer.com/instagram/channel/5464182340,0,badcase,缺少可判断的摄影器材相关信息
55,3463708807,Zaire Ivey,https://cn.noxinfluencer.com/instagram/channel/3463708807,0,badcase,缺少摄影器材相关信号
58,2262395638,Shannon Brooke,https://cn.noxinfluencer.com/instagram/channel/2262395638,0,badcase,玩具/玩偶内容，与摄影器材不符
59,11401489356,Christopher Williams,https://cn.noxinfluencer.com/instagram/channel/11401489356,0,badcase,缺少可判断的相关内容
61,22249618,Kealani Foster (Isenmann),https://cn.noxinfluencer.com/instagram/channel/22249618,0,badcase,缺少摄影器材相关信号
64,191153955,cindy ♥️,https://cn.noxinfluencer.com/instagram/channel/191153955,0,badcase,内容与摄影器材推广无关
66,5427023245,Sondra & Ryan,https://cn.noxinfluencer.com/instagram/channel/5427023245,0,badcase,缺少摄影器材相关信号
71,30827237,ray spears is rayneutron,https://cn.noxinfluencer.com/instagram/channel/30827237,0,badcase,故事类内容，与摄影器材不符
75,11065725006,Zack Kaufman,https://cn.noxinfluencer.com/instagram/channel/11065725006,0,badcase,缺少摄影器材相关信号
78,253625823,Ari Weiss,https://cn.noxinfluencer.com/instagram/channel/253625823,0,badcase,生活向账号，和摄影器材推广无关
86,51383249535,TinyHouses,https://cn.noxinfluencer.com/instagram/channel/51383249535,0,badcase,家庭住房账号，与摄影器材无关
93,17583813772,Prof. Dr. Markus B. Blatz,https://cn.noxinfluencer.com/instagram/channel/17583813772,0,badcase,牙科健康账号，与摄影器材无关
100,38755087920,norda,https://cn.noxinfluencer.com/instagram/channel/38755087920,0,badcase,跑步品牌账号，与摄影器材主题不匹配
101,23117267674,Lorrie Pearson,https://cn.noxinfluencer.com/instagram/channel/23117267674,0,badcase,几乎无摄影或器材相关信号
105,9624628843,Eddie (Ed) Stalewski | Pizzaiolo 🍕,https://cn.noxinfluencer.com/instagram/channel/9624628843,1,badcase,美食账号，摄影仅为弱相关点缀
106,230872822,Ducks Unlimited,https://cn.noxinfluencer.com/instagram/channel/230872822,0,badcase,与摄影器材推广几乎无关
109,552424840,Mickayla VanBuren,https://cn.noxinfluencer.com/instagram/channel/552424840,0,badcase,车辆类账号，与摄影器材不匹配
113,611771387,World Cup Finals,https://cn.noxinfluencer.com/instagram/channel/611771387,0,badcase,赛车汽车内容，与摄影器材无关
115,528488351,Majestic & Empire Theatres,https://cn.noxinfluencer.com/instagram/channel/528488351,0,badcase,剧院娱乐账号，不适合器材推广
128,1450830067,IHRA,https://cn.noxinfluencer.com/instagram/channel/1450830067,0,badcase,赛车频道，与摄影设备推广目标不相关
129,28593403,The Marketing Dj | Benji Tankard | Content To Cash |,https://cn.noxinfluencer.com/instagram/channel/28593403,0,badcase,偏商业营销，缺少摄影设备受众和内容场景
130,13307477112,Kindred Collective,https://cn.noxinfluencer.com/instagram/channel/13307477112,0,badcase,婚礼活动策划方向，和摄影设备主题不匹配
131,1296944448,Dickson Demolition & Abatement,https://cn.noxinfluencer.com/instagram/channel/1296944448,3,badcase,有摄影和DJI线索，但主业是拆除施工，主题偏离明显
134,15732413655,Zack,https://cn.noxinfluencer.com/instagram/channel/15732413655,0,badcase,汽车游戏内容，与摄影设备推广无关
136,8367564890,Jonathan Irwin,https://cn.noxinfluencer.com/instagram/channel/8367564890,0,badcase,商业账号，缺少摄影设备相关内容或受众
140,179188023,Cashmerette | Sew the Fit Your Curves Deserve,https://cn.noxinfluencer.com/instagram/channel/179188023,0,badcase,缝纫服装主题，与摄影设备无关
146,267083121,"𝐋𝐮 ⩙ 𝐶ℎ𝑢𝑛𝑔, 𝑃𝑒𝑖-𝑌𝑢𝑛 © ™ 𝐍𝐘𝐂",https://cn.noxinfluencer.com/instagram/channel/267083121,0,badcase,穿搭时尚账号，与摄影设备无关
152,2927786005,ACUiTY Instruments,https://cn.noxinfluencer.com/instagram/channel/2927786005,0,badcase,汽车改装主题，和摄影器材无关
155,44294828413,DIGITAL FACTORY STUDIOS,https://cn.noxinfluencer.com/instagram/channel/44294828413,0,badcase,缺少摄影器材或摄影受众证据
159,5636844661,The Ansel Adams Gallery,https://cn.noxinfluencer.com/instagram/channel/5636844661,0,badcase,公园/画廊主题，器材语境不足
162,57518305046,Giovanni Hendrick,https://cn.noxinfluencer.com/instagram/channel/57518305046,0,badcase,无有效标签，相关性不足
164,54493927,FAMEtheMOVIE,https://cn.noxinfluencer.com/instagram/channel/54493927,0,badcase,音乐账号，与摄影器材无关
169,355533664,Stella Damasus,https://cn.noxinfluencer.com/instagram/channel/355533664,0,badcase,影视娱乐账号，与摄影器材无关
173,1363765900,Eji Eustaquio,https://cn.noxinfluencer.com/instagram/channel/1363765900,0,badcase,无标签，相关性不足
175,39320846435,Power-to-Weight Motorsport,https://cn.noxinfluencer.com/instagram/channel/39320846435,0,badcase,赛车主题为主，摄影器材场景不足
