rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,218271497,Michael Cassara,https://cn--xtb.noxinfluencer.com/instagram/channel/218271497,1,badcase,仅婚礼标签，器材推广关联很弱
6,2376738,Jovell - Alaska,https://cn--xtb.noxinfluencer.com/instagram/channel/2376738,0,badcase,仅阿拉斯加地区标签，缺少相关性
9,8750185879,Spex Photography,https://cn--xtb.noxinfluencer.com/instagram/channel/8750185879,0,badcase,无标签，缺少相关信号
13,28311075,Anjelica Bette Fellini,https://cn--xtb.noxinfluencer.com/instagram/channel/28311075,-10,badcase,娱乐向内容，缺少摄影器材语境
16,197129480,Tristan Hoogland,https://cn--xtb.noxinfluencer.com/instagram/channel/197129480,0,badcase,无标签，缺少相关信号
26,7115075614,Joseph Ford,https://cn--xtb.noxinfluencer.com/instagram/channel/7115075614,0,badcase,时尚向，缺少摄影器材相关信号
29,1634201069,Double A | InnerG Booster,https://cn--xtb.noxinfluencer.com/instagram/channel/1634201069,0,badcase,生活娱乐向，和摄影器材无关
30,14716954957,Samuel Price,https://cn--xtb.noxinfluencer.com/instagram/channel/14716954957,0,badcase,无标签无内容，无法判断相关性
33,458879552,Geesus,https://cn--xtb.noxinfluencer.com/instagram/channel/458879552,0,badcase,家庭vlog/游戏向，不适合摄影器材推广
35,1794108038,Brandon Nogueira,https://cn--xtb.noxinfluencer.com/instagram/channel/1794108038,0,badcase,无标签无内容，无法判断相关性
36,13207950300,Joseph Piresson II,https://cn--xtb.noxinfluencer.com/instagram/channel/13207950300,0,badcase,无标签无内容，无法判断相关性
40,1226833196,TwinBeat Entertainment djs,https://cn--xtb.noxinfluencer.com/instagram/channel/1226833196,0,badcase,DJ娱乐向，与摄影器材无关
44,76013,Chanyong Shim,https://cn--xtb.noxinfluencer.com/instagram/channel/76013,0,badcase,无标签无内容，无法判断相关性
45,1767285,Zachary Kane Arvanis,https://cn--xtb.noxinfluencer.com/instagram/channel/1767285,0,badcase,无标签无内容，无法判断相关性
48,2121329730,𝒑𝒂𝒓𝒌𝒆𝒓©,https://cn--xtb.noxinfluencer.com/instagram/channel/2121329730,0,badcase,无标签无内容，无法判断相关性
50,1101486835,Joey,https://cn--xtb.noxinfluencer.com/instagram/channel/1101486835,0,badcase,无标签无内容，无法判断相关性
52,178686170,Varuj Chapanian,https://cn--xtb.noxinfluencer.com/instagram/channel/178686170,0,badcase,无相关标签，无法判断摄影器材相关性
53,765892,briantotheb,https://cn--xtb.noxinfluencer.com/instagram/channel/765892,0,badcase,无相关标签，无法判断摄影器材相关性
54,212608919,rjesguerra,https://cn--xtb.noxinfluencer.com/instagram/channel/212608919,0,badcase,无相关标签，无法判断摄影器材相关性
57,56985935219,Paul Kenneth Allen,https://cn--xtb.noxinfluencer.com/instagram/channel/56985935219,0,badcase,无相关标签，无法判断摄影器材相关性
58,61109643109,Yana | Content Creator,https://cn--xtb.noxinfluencer.com/instagram/channel/61109643109,0,badcase,无相关标签，无法判断摄影器材相关性
61,11636927,john jackson,https://cn--xtb.noxinfluencer.com/instagram/channel/11636927,0,badcase,无相关标签，无法判断摄影器材相关性
63,676254,𝕁𝕒𝕟,https://cn--xtb.noxinfluencer.com/instagram/channel/676254,0,badcase,无相关标签，无法判断摄影器材相关性
66,272025927,delr,https://cn--xtb.noxinfluencer.com/instagram/channel/272025927,0,badcase,无相关标签，无法判断摄影器材相关性
67,2257580787,JDG,https://cn--xtb.noxinfluencer.com/instagram/channel/2257580787,0,badcase,无相关标签，无法判断摄影器材相关性
