rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,61179165439,Chidsj US,https://cn--xtb.noxinfluencer.com/instagram/channel/61179165439,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
2,1612876753,Burak Tayanç,https://cn--xtb.noxinfluencer.com/instagram/channel/1612876753,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
5,464306913,Eda Avcı,https://cn--xtb.noxinfluencer.com/instagram/channel/464306913,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
8,30795980,Josh,https://cn--xtb.noxinfluencer.com/instagram/channel/30795980,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
9,5421115946,KIWI design,https://cn--xtb.noxinfluencer.com/instagram/channel/5421115946,0,badcase,VR游戏号与充电宝投放关联弱
11,54359794989,Mighty Wireless,https://cn--xtb.noxinfluencer.com/instagram/channel/54359794989,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
14,50488400136,THE HIDDEN CHARMS,https://cn--xtb.noxinfluencer.com/instagram/channel/50488400136,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
17,10320172198,WCCS,https://cn--xtb.noxinfluencer.com/instagram/channel/10320172198,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
18,10448901358,Power on Heels Fund,https://cn--xtb.noxinfluencer.com/instagram/channel/10448901358,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
20,10499151166,BackerClub,https://cn--xtb.noxinfluencer.com/instagram/channel/10499151166,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
21,10601239929,Leo Moy Jr.,https://cn--xtb.noxinfluencer.com/instagram/channel/10601239929,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
23,1081351522,John Hope Bryant,https://cn--xtb.noxinfluencer.com/instagram/channel/1081351522,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
25,1091220122,Hawaii Agricultural Foundation,https://cn--xtb.noxinfluencer.com/instagram/channel/1091220122,0,badcase,无相关标签或内容证据，和电源宝推广关联弱
26,10915851946,Ih’Haiyanna Oh’Jani Zah’el,https://cn--xtb.noxinfluencer.com/instagram/channel/10915851946,0,badcase,心灵/宗教向，与移动电源推广无关
29,11372229163,Andrew Russell,https://cn--xtb.noxinfluencer.com/instagram/channel/11372229163,0,badcase,房产贷款内容，与移动电源推广无关
30,1147142786,River City Food Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/1147142786,0,badcase,公益食物银行受众，与数码配件无关
31,11757412,Jessica Viera,https://cn--xtb.noxinfluencer.com/instagram/channel/11757412,0,badcase,商业培训号，与移动电源受众不匹配
33,12014220432,Coach Ronnie Holley Sr,https://cn--xtb.noxinfluencer.com/instagram/channel/12014220432,0,badcase,运动励志号，和移动电源用途关系弱
35,1206283565,Entrepreneur | Podcast | Formula 4 Race Team🔥,https://cn--xtb.noxinfluencer.com/instagram/channel/1206283565,0,badcase,商业播客号，和移动电源购买场景不一致
37,13030392751,First Independence Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/13030392751,0,badcase,银行金融内容，与移动电源推广无关
38,1303397060,Warren Haynes,https://cn--xtb.noxinfluencer.com/instagram/channel/1303397060,0,badcase,音乐娱乐号，和移动电源推广关系弱
40,1343721377,#SOCIALISTMODERNISM,https://cn--xtb.noxinfluencer.com/instagram/channel/1343721377,0,badcase,建筑艺术向，与数码配件推广无关
41,13458632717,Pi Network | Cryptocurrency,https://cn--xtb.noxinfluencer.com/instagram/channel/13458632717,0,badcase,加密货币内容，与移动电源受众不相关
42,13473790007,KC Silver | Fantasy Romance Author,https://cn--xtb.noxinfluencer.com/instagram/channel/13473790007,0,badcase,小说作者号，缺少可推广的消费品场景
43,1357983295,The Priestess CEO | Feminine Energy + Biz Mentor,https://cn--xtb.noxinfluencer.com/instagram/channel/1357983295,0,badcase,商业心灵导师号，与数码配件关联弱
45,1370128585,Redwood Empire Food Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/1370128585,0,badcase,公益食物银行账号，与移动电源无关
47,1381291055,Ken Serna,https://cn--xtb.noxinfluencer.com/instagram/channel/1381291055,0,badcase,财富/保险内容，与移动电源推广无关
48,1383877495,Classy Chargers,https://cn--xtb.noxinfluencer.com/instagram/channel/1383877495,0,badcase,标签缺失，无法判断为移动电源相关账号
49,1387779056,Diaper Bank of North Carolina,https://cn--xtb.noxinfluencer.com/instagram/channel/1387779056,0,badcase,母婴公益账号，与移动电源推广无关
50,1388129596,Arrow Rock Lyceum Theatre,https://cn--xtb.noxinfluencer.com/instagram/channel/1388129596,0,badcase,剧院娱乐账号，与移动电源推广关系弱
51,1400722741,"Amber Renée | Eros, Money, Power, Legacy",https://cn--xtb.noxinfluencer.com/instagram/channel/1400722741,0,badcase,灵性情感账号，和充电宝推广无关
53,1415524884,National Arts Festival,https://cn--xtb.noxinfluencer.com/instagram/channel/1415524884,0,badcase,艺术节娱乐号，缺少数码产品场景
54,1433238170,BrothaTruth Official IG,https://cn--xtb.noxinfluencer.com/instagram/channel/1433238170,0,badcase,法律地产号，和数码配件无关
55,1437726469,White House Area Chamber,https://cn--xtb.noxinfluencer.com/instagram/channel/1437726469,0,badcase,餐饮活动号，缺少数码推广场景
57,144140091,CEO MillionairessClub &  RE Investor strategist,https://cn--xtb.noxinfluencer.com/instagram/channel/144140091,0,badcase,地产金融号，不适合充电宝推广
59,14654814640,The Money Multiplier,https://cn--xtb.noxinfluencer.com/instagram/channel/14654814640,0,badcase,纯金融内容，和充电宝无关
60,1466985442,Pamela Garrett “Law Mother” | Lawyer  + Author,https://cn--xtb.noxinfluencer.com/instagram/channel/1466985442,0,badcase,律师内容，和充电宝无关
62,14933614905,Crystal House Initiative,https://cn--xtb.noxinfluencer.com/instagram/channel/14933614905,0,badcase,社区议题号，不适合数码产品
65,1500046205,Food Bank of Western Massachusetts,https://cn--xtb.noxinfluencer.com/instagram/channel/1500046205,0,badcase,食品救助机构号，和产品推广无关
66,1502197281,Kate Alisi-Nwosu,https://cn--xtb.noxinfluencer.com/instagram/channel/1502197281,0,badcase,信息不足，缺少相关品类证据
67,1508456045,Aluratek,https://cn--xtb.noxinfluencer.com/instagram/channel/1508456045,0,badcase,信息不足且缺少数码配件证据
68,15087181,Elizabeth Faye• Beauty Industry Coach & Retreats •TedX Speaker •,https://cn--xtb.noxinfluencer.com/instagram/channel/15087181,0,badcase,美业培训号，与充电宝无关
69,1509261609,Hola Charlotte Festival,https://cn--xtb.noxinfluencer.com/instagram/channel/1509261609,0,badcase,节庆活动号，与数码配件无关
71,15168762984,Food Bank of Eastern Michigan,https://cn--xtb.noxinfluencer.com/instagram/channel/15168762984,0,badcase,食品救助机构号，和产品推广无关
72,1524241992,Billy Lane,https://cn--xtb.noxinfluencer.com/instagram/channel/1524241992,0,badcase,摩托车内容，和充电宝关联有限
75,1535392554,Casey Cooper,https://cn--xtb.noxinfluencer.com/instagram/channel/1535392554,0,badcase,创业金融号，与充电宝无关
77,1546883288,Monica Morales,https://cn--xtb.noxinfluencer.com/instagram/channel/1546883288,0,badcase,家庭/儿童/故事向，缺少充电宝推广证据
81,1599179800,Josh Nelson,https://cn--xtb.noxinfluencer.com/instagram/channel/1599179800,0,badcase,房产投资账号，与充电宝无关
82,1617632504,Luke Corona,https://cn--xtb.noxinfluencer.com/instagram/channel/1617632504,0,badcase,珠宝时尚类，和充电宝目标场景不匹配
83,1638072075,Working Class History,https://cn--xtb.noxinfluencer.com/instagram/channel/1638072075,0,badcase,历史/播客内容，缺少消费电子推广场景
85,16462506005,ENZO AUTO SALES,https://cn--xtb.noxinfluencer.com/instagram/channel/16462506005,0,badcase,汽车销售账号，缺少相关产品内容
86,1684130212,Stand.earth,https://cn--xtb.noxinfluencer.com/instagram/channel/1684130212,0,badcase,气候议题账号，与充电宝推广不相关
87,16905506,𝗖hris 𝗢𝗕rien (𝗖OME 𝗢UT 𝗕ETTER) 𝗧𝗥𝗨𝗧𝗛 coach,https://cn--xtb.noxinfluencer.com/instagram/channel/16905506,0,badcase,灵性激励内容，缺少产品推广场景
89,1715128814,Musical Instrument Museum,https://cn--xtb.noxinfluencer.com/instagram/channel/1715128814,0,badcase,博物馆/音乐娱乐类，和充电宝无关
90,1736676849,STP Diesel,https://cn--xtb.noxinfluencer.com/instagram/channel/1736676849,0,badcase,柴油卡车内容，和充电宝场景不强
91,1741127014,Queela Shabaz | Business Funding | Microloans | CDFI,https://cn--xtb.noxinfluencer.com/instagram/channel/1741127014,0,badcase,商业贷款账号，与充电宝无关
92,17427027493,GetGear Case,https://cn--xtb.noxinfluencer.com/instagram/channel/17427027493,0,badcase,名称像配件类品牌，但缺少标签和视频证据
93,1756147532,HyperGear,https://cn--xtb.noxinfluencer.com/instagram/channel/1756147532,0,badcase,名称像数码配件品牌，但缺少可核实证据
95,175848674,Call’s Auto Sales LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/175848674,0,badcase,汽车销售账号，缺少相关证据
96,175865077,Bank of America,https://cn--xtb.noxinfluencer.com/instagram/channel/175865077,0,badcase,银行账号，与充电宝无关
99,1812722486,Nissan City of Red Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/1812722486,0,badcase,汽车经销账号，缺少相关证据
104,18803753,Rob Benson,https://cn--xtb.noxinfluencer.com/instagram/channel/18803753,0,badcase,keto 内容与充电宝无关
105,189158915,"Rosa’s Greek Boutique, Inc. ®️",https://cn--xtb.noxinfluencer.com/instagram/channel/189158915,0,badcase,时尚精品号，和充电宝推广错位
107,1901413881,Ms. Cothinkk,https://cn--xtb.noxinfluencer.com/instagram/channel/1901413881,0,badcase,缺少可判断的相关内容
109,19088357533,Demi Sanya,https://cn--xtb.noxinfluencer.com/instagram/channel/19088357533,0,badcase,金融加密内容与充电宝无关
110,19275953,Carly Raemer ⚡️somatic witch supporting witches,https://cn--xtb.noxinfluencer.com/instagram/channel/19275953,0,badcase,灵性/冥想内容不适合充电宝推广
112,19482313470,"Dr. Chi Quita Mack, LMSW",https://cn--xtb.noxinfluencer.com/instagram/channel/19482313470,0,badcase,访谈号与产品推广关联弱
113,19513945,Devin Burr,https://cn--xtb.noxinfluencer.com/instagram/channel/19513945,0,badcase,金融播客与充电宝无关
116,1998417579,Mirr Ranch Group,https://cn--xtb.noxinfluencer.com/instagram/channel/1998417579,0,badcase,地产/牧场号无相关信号
117,2009760883,Gloucester County Chamber,https://cn--xtb.noxinfluencer.com/instagram/channel/2009760883,0,badcase,商会号缺少消费电子受众
118,2023149685,Inner Bloom,https://cn--xtb.noxinfluencer.com/instagram/channel/2023149685,0,badcase,无可用相关信号
121,2060233116,Mark Monroe,https://cn--xtb.noxinfluencer.com/instagram/channel/2060233116,0,badcase,缺少主题与标签信息
123,207630675,Mike Duffy's Personal Training,https://cn--xtb.noxinfluencer.com/instagram/channel/207630675,0,badcase,健身号与充电宝关联弱
124,2085260744,Beneficial State Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/2085260744,0,badcase,银行号不适合充电宝推广
125,208570893,THE HEAUX HEALER | LUXURY BRAND ARCHITECT,https://cn--xtb.noxinfluencer.com/instagram/channel/208570893,0,badcase,塔罗/星座号与产品推广不匹配
126,2108151585,Greenlight Maine,https://cn--xtb.noxinfluencer.com/instagram/channel/2108151585,0,badcase,无相关标签或视频，缺乏可回收信号
128,2120067250,Peel,https://cn--xtb.noxinfluencer.com/instagram/channel/2120067250,0,badcase,3D扫描内容与充电宝推广无关
130,212754899,Meredith Silk,https://cn--xtb.noxinfluencer.com/instagram/channel/212754899,0,badcase,房产内容与充电宝推广无关
132,214335888,Kelly Williams TV Show,https://cn--xtb.noxinfluencer.com/instagram/channel/214335888,0,badcase,无相关标签或视频，缺乏可回收信号
133,21632742445,Cargado,https://cn--xtb.noxinfluencer.com/instagram/channel/21632742445,0,badcase,无相关标签或视频，缺乏可回收信号
134,2177198546,Feeding Pennsylvania,https://cn--xtb.noxinfluencer.com/instagram/channel/2177198546,0,badcase,食物救助/食谱内容，不适合充电宝推广
135,218660827,ConnectOne Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/218660827,0,badcase,无相关标签或视频，缺乏可回收信号
