rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
19,1804320711,Discipline Dave,https://cn.noxinfluencer.com/instagram/channel/1804320711,0,badcase,无标签无内容证据
21,25229850736,CURVD,https://cn.noxinfluencer.com/instagram/channel/25229850736,5,badcase,时尚珠宝号，器械标签疑似噪声
23,41667542484,CORE CLUB,https://cn.noxinfluencer.com/instagram/channel/41667542484,-5,badcase,纯娱乐号，与器械推广不匹配
31,908579523,Waist Trainers & Shapewear,https://cn.noxinfluencer.com/instagram/channel/908579523,0,badcase,偏塑形衣赛道，与阻力带训练场景不匹配
34,21275653252,Waist Trainers | Body Sculpting | Cellulite | Wood therapy | RLT,https://cn.noxinfluencer.com/instagram/channel/21275653252,0,badcase,塑形护理语境偏离阻力带推广场景
51,48727405954,HOTWORX (Richmond-Aliana),https://cn.noxinfluencer.com/instagram/channel/48727405954,0,badcase,无标签与内容信号，难判断为可投放人群
53,40444925,jacq,https://cn.noxinfluencer.com/instagram/channel/40444925,0,badcase,无标签与内容信号，相关性不足
85,32312073266,Guillermo Suarez,https://cn.noxinfluencer.com/instagram/channel/32312073266,5,badcase,虽有标签命中，但主体是汽车内容，明显不适合推广阻力带
86,2264286201,Sj™,https://cn.noxinfluencer.com/instagram/channel/2264286201,0,badcase,无标签无内容证据，无法判断与阻力带推广相关
166,54644493221,Dr. Kaye Cleave,https://cn.noxinfluencer.com/instagram/channel/54644493221,0,badcase,缺少训练器械语境，主题偏发型/年龄健康，不适合推广
195,193740238,Vita Sidorkina-Morabito,https://cn.noxinfluencer.com/instagram/channel/193740238,-15,badcase,内容偏游戏/时尚/旅行，与器械推广不匹配
211,6363240499,Alexander Whitehair,https://cn.noxinfluencer.com/instagram/channel/6363240499,-15,badcase,交通与娱乐内容为主，与阻力带推广不符
227,4805620070,Justin Lienhard,https://cn.noxinfluencer.com/instagram/channel/4805620070,0,badcase,无可用标签或内容证据，难判断与产品推广相关
238,19823035623,Nikolay LLC,https://cn.noxinfluencer.com/instagram/channel/19823035623,0,badcase,芭蕾舞/娱乐向，和阻力带推广关联弱
244,187152730,Dr Jennifer Ashton,https://cn.noxinfluencer.com/instagram/channel/187152730,1,badcase,健康/娱乐混合，缺少运动器械推广语境
