rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
18,1804320711,Discipline Dave,https://cn--xtb.noxinfluencer.com/instagram/channel/1804320711,0,badcase,无有效标签，难判断为相关创作者
21,908579523,Waist Trainers & Shapewear,https://cn--xtb.noxinfluencer.com/instagram/channel/908579523,0,badcase,塑形腰封方向，和阻力带推广不匹配
22,41667542484,CORE CLUB,https://cn--xtb.noxinfluencer.com/instagram/channel/41667542484,-5,badcase,娱乐频道，和产品推广场景明显冲突
33,10116969278,Danial Green-Jones 🇯🇲 Only Account,https://cn--xtb.noxinfluencer.com/instagram/channel/10116969278,0,badcase,缺少频道标签和内容证据
37,23500645,DARE✨,https://cn--xtb.noxinfluencer.com/instagram/channel/23500645,-5,badcase,美妆挑战账号，与阻力带推广不匹配
47,25229850736,CURVD,https://cn--xtb.noxinfluencer.com/instagram/channel/25229850736,6,badcase,时尚珠宝频道里出现产品词，语境明显不符
53,40444925,jacq,https://cn--xtb.noxinfluencer.com/instagram/channel/40444925,0,badcase,无相关标签或内容证据
57,2264286201,Sj™,https://cn--xtb.noxinfluencer.com/instagram/channel/2264286201,0,badcase,无相关标签或内容证据
98,11531474394,Massage Band,https://cn--xtb.noxinfluencer.com/instagram/channel/11531474394,0,badcase,名称偏按摩带，缺少阻力带和训练证据
100,1160978966,Peter Culpepper,https://cn--xtb.noxinfluencer.com/instagram/channel/1160978966,0,badcase,无有效标签与内容证据，相关性弱
108,11887804626,Xanadu Supply Co.,https://cn--xtb.noxinfluencer.com/instagram/channel/11887804626,0,badcase,仅有店铺/生意标签，缺少健身或产品使用语境
110,12002758236,Acres Homes Health Action Team,https://cn--xtb.noxinfluencer.com/instagram/channel/12002758236,0,badcase,标签缺失，无法判断与弹力带推广的具体关联
131,1322790509,Official Invicta Stores,https://cn--xtb.noxinfluencer.com/instagram/channel/1322790509,0,badcase,腕表零售频道，主题不匹配
132,1329445739,Ashley Ta,https://cn--xtb.noxinfluencer.com/instagram/channel/1329445739,0,badcase,生活方式/美发为主，和阻力带无关
134,1331216435,Templeton Tennis Ranch,https://cn--xtb.noxinfluencer.com/instagram/channel/1331216435,0,badcase,无标签与内容证据，相关性不足
147,1387828628,GoFit.net,https://cn--xtb.noxinfluencer.com/instagram/channel/1387828628,0,badcase,无标签与内容证据，相关性不足
148,1396390565,Just Mens Rings,https://cn--xtb.noxinfluencer.com/instagram/channel/1396390565,0,badcase,珠宝配饰频道，与阻力带推广不相关
154,14191909714,KOSPET OFFICIAL,https://cn--xtb.noxinfluencer.com/instagram/channel/14191909714,0,badcase,智能手表品牌，和弹力带推广场景不匹配
171,14831233267,André Stewart,https://cn--xtb.noxinfluencer.com/instagram/channel/14831233267,0,badcase,无标签无内容证据，无法判断匹配
173,1488815980,"Love Your Beauty, LLC",https://cn--xtb.noxinfluencer.com/instagram/channel/1488815980,0,badcase,无健身或器械证据
183,15314894606,"Brian ""HallowDreamz"" Henry",https://cn--xtb.noxinfluencer.com/instagram/channel/15314894606,0,badcase,无有效标签与内容证据，无法判断相关
185,1534410994,Kudeon,https://cn--xtb.noxinfluencer.com/instagram/channel/1534410994,0,badcase,美妆时尚方向，与阻力带推广无关
197,1566092543,Nyantu Bolo,https://cn--xtb.noxinfluencer.com/instagram/channel/1566092543,0,badcase,无可用信号，无法支持阻力带推广
210,1634569379,Scottie Loree Allum Paul,https://cn--xtb.noxinfluencer.com/instagram/channel/1634569379,0,badcase,无标签无视频，缺少判断依据
227,1700798510,PRIMEX,https://cn--xtb.noxinfluencer.com/instagram/channel/1700798510,0,badcase,无标签无内容证据，相关性不足
230,1711951880,TheFashionYard,https://cn--xtb.noxinfluencer.com/instagram/channel/1711951880,0,badcase,时尚购物号，和阻力带推广受众不匹配
