rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,1103618767,UKUSCAdoggie,https://cn--xtb.noxinfluencer.com/instagram/channel/1103618767,-10,badcase,宠物向账号，和人用泳背心受众不符
7,19149515487,🧡 Dante,https://cn--xtb.noxinfluencer.com/instagram/channel/19149515487,0,badcase,无可用标签，相关性证据不足
8,2112359282,"Fido Pet Products, LLC",https://cn--xtb.noxinfluencer.com/instagram/channel/2112359282,-10,badcase,宠物产品账号，对人用泳背心不适配
10,47809341174,Frenchie Complex™,https://cn--xtb.noxinfluencer.com/instagram/channel/47809341174,-15,badcase,犬类内容，和人用泳背心互斥
11,3674653291,Brittany Ainsworth | Mounjaro | PCOS | Weight Loss | Exercise,https://cn--xtb.noxinfluencer.com/instagram/channel/3674653291,0,badcase,健身减脂号，和泳背心推广关联弱
12,5454853685,Terrain D.O.G.,https://cn--xtb.noxinfluencer.com/instagram/channel/5454853685,-15,badcase,宠物狗账号，非人用产品受众
16,11879209017,Lil Rascals Dog Rescue,https://cn--xtb.noxinfluencer.com/instagram/channel/11879209017,-15,badcase,宠物救援内容，和人用泳背心不符
18,1343721377,#SOCIALISTMODERNISM,https://cn--xtb.noxinfluencer.com/instagram/channel/1343721377,0,badcase,建筑/遗产类账号，相关性不足
19,8651900298,Cutest Yorkies here 😍🐶,https://cn--xtb.noxinfluencer.com/instagram/channel/8651900298,-10,badcase,犬类内容，明显互斥
21,1557744797,NutritionFacts.org,https://cn--xtb.noxinfluencer.com/instagram/channel/1557744797,0,badcase,营养健康号，与泳背心无关
24,217497795,𝗡𝗶𝗰𝗼𝗹𝗲 𝗚𝗼𝘁𝘁𝗲𝘀𝗺𝗮𝗻𝗻,https://cn--xtb.noxinfluencer.com/instagram/channel/217497795,0,badcase,家庭个人内容，和泳背心场景不匹配
28,42213647,Arnel,https://cn--xtb.noxinfluencer.com/instagram/channel/42213647,0,badcase,无相关标签，且主题信息不足
29,468482244,The LV Project,https://cn--xtb.noxinfluencer.com/instagram/channel/468482244,0,badcase,无相关标签，且主题信息不足
33,1524443399,Frenchie World™ ( Aleksandar Gligoric),https://cn--xtb.noxinfluencer.com/instagram/channel/1524443399,-15,badcase,犬类内容，与人用泳背心互斥
37,2302333350,Darby Woods,https://cn--xtb.noxinfluencer.com/instagram/channel/2302333350,0,badcase,无相关标签，且主题信息不足
38,23682981564,LISA ARLENE,https://cn--xtb.noxinfluencer.com/instagram/channel/23682981564,-15,badcase,犬种宠物向，与人用泳背心互斥
41,32176703079,Bombora,https://cn--xtb.noxinfluencer.com/instagram/channel/32176703079,0,badcase,无相关标签，且主题信息不足
45,46392007163,Truffles + Chai • The Doodle Bros 🧸,https://cn--xtb.noxinfluencer.com/instagram/channel/46392007163,-10,badcase,犬类内容，与人用泳背心互斥
46,5645519331,Laura DeMaio Roy - Service Dog Trainer,https://cn--xtb.noxinfluencer.com/instagram/channel/5645519331,-15,badcase,服务犬训练向，与人用泳背心互斥
