rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
29,11714841178,Jonjon,https://cn.noxinfluencer.com/instagram/channel/11714841178,8,badcase,ASMR格式偏声音娱乐，和科技产品推广形式不匹配
41,328970583,Kyle Krueger,https://cn.noxinfluencer.com/instagram/channel/328970583,0,badcase,仅有reels标签，缺少科技相关证据
65,8321099748,उर्फ़ Mithilesh Patankar,https://cn.noxinfluencer.com/instagram/channel/8321099748,-5,badcase,旅行娱乐为主，和科技推广目标不匹配
66,2976366244,Romina Gafur,https://cn.noxinfluencer.com/instagram/channel/2976366244,0,badcase,仅有ad标签，缺少可判断的科技受众
68,59890032114,Sajjaad Khader,https://cn.noxinfluencer.com/instagram/channel/59890032114,0,badcase,标签为空，无法建立科技相关性
74,37582843,Katie Linendoll,https://cn.noxinfluencer.com/instagram/channel/37582843,5,badcase,音乐/玩具为主，tech标签不足以支撑推广
81,63130650070,No Tech for Apartheid,https://cn.noxinfluencer.com/instagram/channel/63130650070,5,badcase,反科技立场账号，明显不适合投放
86,9461172575,Kaitlynd McQueen,https://cn.noxinfluencer.com/instagram/channel/9461172575,0,badcase,无标签，无相关证据
88,58991015329,Voodies Interviews,https://cn.noxinfluencer.com/instagram/channel/58991015329,0,badcase,无标签，无相关证据
89,63543733835,Caden Wolf,https://cn.noxinfluencer.com/instagram/channel/63543733835,0,badcase,无标签，无相关证据
93,4182468137,Life at Google,https://cn.noxinfluencer.com/instagram/channel/4182468137,5,badcase,企业内部品牌号，非创作者投放场景
99,191479034,Vince Do,https://cn.noxinfluencer.com/instagram/channel/191479034,0,badcase,纯生活vlog，无相关证据
113,57286832979,Magan | Building in Public,https://cn.noxinfluencer.com/instagram/channel/57286832979,0,badcase,缺少可用科技受众或内容证据，相关性很弱。
114,52368665883,Brandon LaChappelle,https://cn.noxinfluencer.com/instagram/channel/52368665883,0,badcase,生活 vlog 为主，缺少 tech 相关证据。
116,58248063818,ryan,https://cn.noxinfluencer.com/instagram/channel/58248063818,0,badcase,无标签无内容证据，无法判断为科技受众。
125,16616661050,Fireship,https://cn.noxinfluencer.com/instagram/channel/16616661050,0,badcase,缺少标签和内容证据，无法支持科技推广判断。
130,40930559,Alex Falcone,https://cn.noxinfluencer.com/instagram/channel/40930559,0,badcase,喜剧娱乐向，缺少科技相关信号
134,59404555178,kumora,https://cn.noxinfluencer.com/instagram/channel/59404555178,0,badcase,无可用标签，缺少科技相关证据
137,40904747468,Gohar Khan,https://cn.noxinfluencer.com/instagram/channel/40904747468,0,badcase,学生教育向，缺少科技产品相关信号
142,72864658293,madelyn,https://cn.noxinfluencer.com/instagram/channel/72864658293,0,badcase,无标签和内容证据，无法判断科技相关
144,13492847809,Wowville,https://cn.noxinfluencer.com/instagram/channel/13492847809,0,badcase,无可用标签，科技相关性不足
149,42058280528,More Perfect Union,https://cn.noxinfluencer.com/instagram/channel/42058280528,0,badcase,工会议题与科技产品推广无关
152,72290742569,Sam Hlabangana,https://cn.noxinfluencer.com/instagram/channel/72290742569,0,badcase,无标签与内容证据
160,62345419500,Alexander Moreo,https://cn.noxinfluencer.com/instagram/channel/62345419500,0,badcase,无标签与内容证据
162,74947501598,Derek She,https://cn.noxinfluencer.com/instagram/channel/74947501598,0,badcase,无标签与内容证据
168,74606313906,Aashna Doshi,https://cn.noxinfluencer.com/instagram/channel/74606313906,0,badcase,无标签与内容证据
177,48162947,Leo Herrera,https://cn.noxinfluencer.com/instagram/channel/48162947,0,badcase,缺少科技相关标签或内容证据
180,2269143931,Mijente,https://cn.noxinfluencer.com/instagram/channel/2269143931,0,badcase,社区与公益向，缺少科技受众证据
181,1445686478,Ace | Cybersecurity💻,https://cn.noxinfluencer.com/instagram/channel/1445686478,0,badcase,娱乐向标签为主，缺少科技内容证据
183,61201342513,Jaxski,https://cn.noxinfluencer.com/instagram/channel/61201342513,0,badcase,无有效标签，无法判断科技相关性
184,30744072,Vlad Vaida,https://cn.noxinfluencer.com/instagram/channel/30744072,0,badcase,广告/地区标签为主，缺少科技受众
186,2533745225,Kyngston beatz,https://cn.noxinfluencer.com/instagram/channel/2533745225,0,badcase,娱乐和偶像向，不适合科技投放
191,8190233337,Humble tech worker,https://cn.noxinfluencer.com/instagram/channel/8190233337,0,badcase,无标签无内容证据，判定为不相关
195,47531660,Chad Epps,https://cn.noxinfluencer.com/instagram/channel/47531660,0,badcase,动漫娱乐向，缺少科技相关证据
196,3515804035,Evan Frolov,https://cn.noxinfluencer.com/instagram/channel/3515804035,0,badcase,无标签无内容证据，判定为不相关
197,7536568239,Robert Wensley,https://cn.noxinfluencer.com/instagram/channel/7536568239,0,badcase,房地产与营销向，缺少科技受众证据
198,73885733665,BradleyWayne,https://cn.noxinfluencer.com/instagram/channel/73885733665,0,badcase,无标签无内容证据，判定为不相关
199,579642518,Gökçe Ercan Seymour,https://cn.noxinfluencer.com/instagram/channel/579642518,0,badcase,生活/宠物/旅行向，与科技投放不符
205,10175014972,Venture Kaepital,https://cn.noxinfluencer.com/instagram/channel/10175014972,0,badcase,无相关标签，无法判断科技推广价值
213,28241308000,#Desi NRI Adda  🇺🇸🇮🇳🇨🇦🇬🇧🇦🇺🇪🇺,https://cn.noxinfluencer.com/instagram/channel/28241308000,5,badcase,娱乐内容占主导，tech 仅弱露出，不适合推广
218,65206324654,Nick Bradley,https://cn.noxinfluencer.com/instagram/channel/65206324654,0,badcase,无相关标签，无法判断科技推广价值
219,285451360,Adewale Yusuf,https://cn.noxinfluencer.com/instagram/channel/285451360,0,badcase,无相关标签，无法判断科技推广价值
221,68889046839,Lana Yepifanova,https://cn.noxinfluencer.com/instagram/channel/68889046839,0,badcase,无相关标签，无法判断科技推广价值
224,1535405665,Trey Turner,https://cn.noxinfluencer.com/instagram/channel/1535405665,0,badcase,无相关标签，无法判断科技推广价值
227,17693571146,mori 尧,https://cn.noxinfluencer.com/instagram/channel/17693571146,0,badcase,无标签无内容，相关性证据不足
228,57755135508,Kevin Nanns,https://cn.noxinfluencer.com/instagram/channel/57755135508,0,badcase,无标签无内容，相关性证据不足
232,3561597011,Annette Mullaney,https://cn.noxinfluencer.com/instagram/channel/3561597011,10,badcase,喜剧为主，tech标签偏边缘，不够商品推广向
235,38094000434,Fluxphy 💫,https://cn.noxinfluencer.com/instagram/channel/38094000434,0,badcase,无标签无内容，相关性证据不足
239,603676925,Positive Grid,https://cn.noxinfluencer.com/instagram/channel/603676925,0,badcase,音乐器材向，和tech推广关系弱
243,1128260918,Dontae Catlett,https://cn.noxinfluencer.com/instagram/channel/1128260918,-5,badcase,ASMR为主，和科技产品推广格式冲突
245,207794731,Julia 👩🏻‍💻,https://cn.noxinfluencer.com/instagram/channel/207794731,0,badcase,无标签无内容，相关性证据不足
247,190919103,S’Naaya <3,https://cn.noxinfluencer.com/instagram/channel/190919103,0,badcase,健身内容为主，缺少科技产品相关性
249,60961809935,Sarah Li,https://cn.noxinfluencer.com/instagram/channel/60961809935,0,badcase,无标签无内容，无法判断
250,7845064867,Bay Area Memes,https://cn.noxinfluencer.com/instagram/channel/7845064867,-10,badcase,娱乐/meme为主，不适合tech推广
