rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,2289642888,#CreativeOPTIC,https://cn--xtb.noxinfluencer.com/instagram/channel/2289642888,0,badcase,无tech相关标签，摄影/动物/旅行为主
13,49156923090,Stock Dads Trading,https://cn--xtb.noxinfluencer.com/instagram/channel/49156923090,0,badcase,偏金融交易，缺少科技相关标签与内容
18,56819441518,1X,https://cn--xtb.noxinfluencer.com/instagram/channel/56819441518,0,badcase,仅有home标签，科技相关信号不足
25,7047093844,Drew Fortini,https://cn--xtb.noxinfluencer.com/instagram/channel/7047093844,0,badcase,偏摄影生活健身，缺少科技相关标签
29,72833068215,Artificial Intelligence (Ai) •Technology • Robotics,https://cn--xtb.noxinfluencer.com/instagram/channel/72833068215,0,badcase,无可用标签，缺少相关性证据
31,50003786001,Dr. Erin Toussaint Jacques,https://cn--xtb.noxinfluencer.com/instagram/channel/50003786001,0,badcase,无标签无内容证据，无法判断相关性
32,50041967053,TEDDY,https://cn--xtb.noxinfluencer.com/instagram/channel/50041967053,-12,badcase,音频特效向，与 tech 推广格式强不匹配
33,3067926373,Power Of Wudan Ai,https://cn--xtb.noxinfluencer.com/instagram/channel/3067926373,0,badcase,时尚服饰向，缺少 tech 相关受众
34,69923532095,AI & Robotics,https://cn--xtb.noxinfluencer.com/instagram/channel/69923532095,0,badcase,无标签，仅靠名称不足以证明 tech 相关
35,62606798687,WisePup | Software Engineer | Career Mentor,https://cn--xtb.noxinfluencer.com/instagram/channel/62606798687,0,badcase,无标签无内容线索，相关性不足
37,73929074251,Emily Higgins,https://cn--xtb.noxinfluencer.com/instagram/channel/73929074251,0,badcase,无标签无内容证据，无法判断相关性
40,77135431487,AriaCodez,https://cn--xtb.noxinfluencer.com/instagram/channel/77135431487,0,badcase,无标签无内容证据，无法判断相关性
42,72908938312,Artificial Intelligence | ChatGPT | Technology,https://cn--xtb.noxinfluencer.com/instagram/channel/72908938312,0,badcase,无标签，名称线索不足以支撑相关性
43,32772175231,Jeff Su,https://cn--xtb.noxinfluencer.com/instagram/channel/32772175231,0,badcase,偏职业/求职内容，和 tech 推广关联弱
50,57757956424,Artificial Intelligence News,https://cn--xtb.noxinfluencer.com/instagram/channel/57757956424,0,badcase,无标签无内容证据，无法判断相关性
54,7437399407,Artificial Intelligence News & Technology,https://cn--xtb.noxinfluencer.com/instagram/channel/7437399407,-5,badcase,标签偏激励和奢华车，和科技推广方向不符
55,5547063361,Jonathan Acuña - Doctor AI,https://cn--xtb.noxinfluencer.com/instagram/channel/5547063361,0,badcase,无标签与内容证据，无法判断科技相关性
56,70271696541,Icon Becker,https://cn--xtb.noxinfluencer.com/instagram/channel/70271696541,0,badcase,无标签与内容证据，科技相关性不足
66,1522397519,AI For Business,https://cn--xtb.noxinfluencer.com/instagram/channel/1522397519,-5,badcase,标签是豪车/生活方式，与 AI 商业科技不匹配
69,3676475417,Cait Kuentzel,https://cn--xtb.noxinfluencer.com/instagram/channel/3676475417,0,badcase,仅 life 标签，和科技推广无关
72,3285715609,Edward S Honour,https://cn--xtb.noxinfluencer.com/instagram/channel/3285715609,0,badcase,无标签证据，科技相关性不足
73,3596555661,Ryan Kelly,https://cn--xtb.noxinfluencer.com/instagram/channel/3596555661,0,badcase,关系/宗教/地域标签，和科技推广不相关
75,38774211020,Uncovering Artificial Intelligence (AI),https://cn--xtb.noxinfluencer.com/instagram/channel/38774211020,-5,badcase,标签偏豪车生活方式，与 AI 内容不符
76,6226814042,DIGITAL REPORT,https://cn--xtb.noxinfluencer.com/instagram/channel/6226814042,0,badcase,艺术创作向，无科技受众或产品推广信号
77,66882559417,Cybersecurity with Sandra 👩🏻‍💻,https://cn--xtb.noxinfluencer.com/instagram/channel/66882559417,0,badcase,无标签无内容证据，无法判断为科技推广频道
81,76742494507,Jas Wong | AI & Cyber Security,https://cn--xtb.noxinfluencer.com/instagram/channel/76742494507,0,badcase,无标签和视频证据，科技相关性不足
