rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
37,4612070409,Janine Delaney,https://cn.noxinfluencer.com/instagram/channel/4612070409,0,badcase,以美妆和饮料为主，和跑步机推广关联弱
40,13572447833,Gwen and Oliver,https://cn.noxinfluencer.com/instagram/channel/13572447833,-15,badcase,宠物狗频道，属于人用跑步机的排斥场景
45,3807983,Massy Arias,https://cn.noxinfluencer.com/instagram/channel/3807983,0,badcase,儿童/宗教向账号，与跑步机推广无关
48,27219869,Yovana Mendoza Ayres,https://cn.noxinfluencer.com/instagram/channel/27219869,0,badcase,食品孕婴内容为主，和跑步机推广不匹配
49,262009164,Dimitri / Dimi,https://cn.noxinfluencer.com/instagram/channel/262009164,-10,badcase,纯娱乐向频道，和跑步机推广格式不兼容
55,305621944,Jason Rodelo,https://cn.noxinfluencer.com/instagram/channel/305621944,-10,badcase,以 comedy/娱乐为主，缺少器械推广场景
63,3671391391,Brooke Raybould,https://cn.noxinfluencer.com/instagram/channel/3671391391,1,badcase,亲子家庭向，缺少 treadmill 相关受众
67,55696807869,Sunshine Family,https://cn.noxinfluencer.com/instagram/channel/55696807869,0,badcase,家庭育儿向，和跑步机受众不匹配
78,1273780004,Pasha Grozdov,https://cn.noxinfluencer.com/instagram/channel/1273780004,-10,badcase,喜剧娱乐向，和跑步机推广不匹配
93,177509141,Madison Prewett Troutt,https://cn.noxinfluencer.com/instagram/channel/177509141,-5,badcase,娱乐婚礼向，基本无相关性
98,8057655929,Eni Blushi,https://cn.noxinfluencer.com/instagram/channel/8057655929,0,badcase,时尚带货向，和跑步机推广不搭
99,7148218611,Christina Heinritz,https://cn.noxinfluencer.com/instagram/channel/7148218611,0,badcase,农场园艺内容，和跑步机无关
106,44198560066,memes by bepis,https://cn.noxinfluencer.com/instagram/channel/44198560066,0,badcase,无有效标签，无法判断为相关
113,49039340226,Athena Peros,https://cn.noxinfluencer.com/instagram/channel/49039340226,-15,badcase,娱乐音乐号，和跑步机促销明显不匹配
115,55295004567,Good Sh*t Radio,https://cn.noxinfluencer.com/instagram/channel/55295004567,-15,badcase,音乐娱乐号，与跑步机促销无关
118,267844921,Xandy Sutherland Nickel,https://cn.noxinfluencer.com/instagram/channel/267844921,0,badcase,纯美食菜谱号，与跑步机促销无关
123,3313721114,Oddly News,https://cn.noxinfluencer.com/instagram/channel/3313721114,0,badcase,内容杂乱偏新闻八卦，缺少健身线索
