rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,3426545227,KB,https://cn--xtb.noxinfluencer.com/instagram/channel/3426545227,0,badcase,无标签无内容证据
8,1134102878,Quentin Greco,https://cn--xtb.noxinfluencer.com/instagram/channel/1134102878,2,badcase,马戏/艺术为主，跑步机关联弱
9,9300935,Maddie Green ⭐️ Austin Runner & Vinyl,https://cn--xtb.noxinfluencer.com/instagram/channel/9300935,0,badcase,音乐巡演向标签，和跑步机无关
15,3492751796,Morgan Pearson,https://cn--xtb.noxinfluencer.com/instagram/channel/3492751796,0,badcase,运动员受众有潜力，但标签不指向跑步机
21,1464281520,Organic American 🥰,https://cn--xtb.noxinfluencer.com/instagram/channel/1464281520,0,badcase,泛生活/社媒号，和跑步机无关
26,53689386168,Vad Kennels,https://cn--xtb.noxinfluencer.com/instagram/channel/53689386168,-10,badcase,宠物受众，不适合人用跑步机推广
27,64214129626,Nick Varner,https://cn--xtb.noxinfluencer.com/instagram/channel/64214129626,0,badcase,缺少标签和内容证据，无法支持跑步机推广
28,65595078308,JENNA EVELYN,https://cn--xtb.noxinfluencer.com/instagram/channel/65595078308,0,badcase,缺少标签和内容证据，无法支持跑步机推广
30,1150940530,Jennifer,https://cn--xtb.noxinfluencer.com/instagram/channel/1150940530,0,badcase,机车受众，和跑步机推广关联很弱
31,55112290310,Asante Wilson,https://cn--xtb.noxinfluencer.com/instagram/channel/55112290310,0,badcase,缺少标签和内容证据，无法支持跑步机推广
33,73486967599,Burcu Alayoglu,https://cn--xtb.noxinfluencer.com/instagram/channel/73486967599,0,badcase,缺少标签和内容证据，无法支持跑步机推广
36,63575010925,Livestock Performance Products,https://cn--xtb.noxinfluencer.com/instagram/channel/63575010925,-10,badcase,牲畜/展畜受众，不适合人用跑步机推广
40,61754750289,Mia,https://cn--xtb.noxinfluencer.com/instagram/channel/61754750289,0,badcase,缺少标签和内容证据，无法支持跑步机推广
45,62750960785,Jen,https://cn--xtb.noxinfluencer.com/instagram/channel/62750960785,0,badcase,缺少标签和内容证据，无法支持跑步机推广
47,15134101,Kelly Chiusano,https://cn--xtb.noxinfluencer.com/instagram/channel/15134101,-5,badcase,娱乐向内容，不适合跑步机推广
48,72060241678,"Rachel | running, lifestyle, wellness",https://cn--xtb.noxinfluencer.com/instagram/channel/72060241678,0,badcase,缺少标签和内容证据，无法支持跑步机推广
49,7429857020,jnehring Insta,https://cn--xtb.noxinfluencer.com/instagram/channel/7429857020,-15,badcase,ASMR/堆叠娱乐向，属于强格式错配
50,72015300410,Kendra Mele,https://cn--xtb.noxinfluencer.com/instagram/channel/72015300410,0,badcase,缺少标签和内容证据，无法支持跑步机推广
56,3264516673,FabFitFunnyGirl,https://cn--xtb.noxinfluencer.com/instagram/channel/3264516673,1,badcase,泛健身词较弱，缺少跑步机或购买语境
58,292955287,🏵️𝐃𝐎𝐓.𝐌𝐎𝐎𝐑𝐄🏵️,https://cn--xtb.noxinfluencer.com/instagram/channel/292955287,0,badcase,音乐娱乐号，与跑步机推广无关
63,14856888,Lamarshane Robinson,https://cn--xtb.noxinfluencer.com/instagram/channel/14856888,0,badcase,无有效标签，缺少判断依据
