rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,75515378201,Nisa Mutlu,https://cn.noxinfluencer.com/instagram/channel/75515378201,0,badcase,无标签和视频证据，难支持真空清洁器推广
3,67484831073,Esila’s World’s,https://cn.noxinfluencer.com/instagram/channel/67484831073,0,badcase,无标签和视频证据，相关性不足
4,60319225098,Ash,https://cn.noxinfluencer.com/instagram/channel/60319225098,0,badcase,无标签和视频证据，相关性不足
5,71400309960,Andriana_Vitalievna UGC,https://cn.noxinfluencer.com/instagram/channel/71400309960,0,badcase,无标签和视频证据，相关性不足
7,72037274228,LifewithfairyUsa,https://cn.noxinfluencer.com/instagram/channel/72037274228,0,badcase,无标签和视频证据，相关性不足
8,73486967599,Burcu Alayoglu,https://cn.noxinfluencer.com/instagram/channel/73486967599,0,badcase,无标签和视频证据，相关性不足
14,256531808,Zoe Fox | Beauty & Lifestyle Creator,https://cn.noxinfluencer.com/instagram/channel/256531808,0,badcase,无标签和视频证据，相关性不足
15,54459437059,Natalya,https://cn.noxinfluencer.com/instagram/channel/54459437059,0,badcase,无标签和视频证据，相关性不足
20,1364522150,Nidhi Chauhan,https://cn.noxinfluencer.com/instagram/channel/1364522150,0,badcase,无标签和视频证据，相关性不足
25,1448812058,Trask Performance,https://cn.noxinfluencer.com/instagram/channel/1448812058,20,badcase,机车性能方向与吸尘器推广域不符，疑似误标
27,6942526390,veoko,https://cn.noxinfluencer.com/instagram/channel/6942526390,0,badcase,仅生活泛类，无清洁器相关信号
42,30078798209,"Brenda | Lompoc , Ca",https://cn.noxinfluencer.com/instagram/channel/30078798209,6,badcase,美妆号，与清洁器推广不匹配
49,60088258571,Kate S.,https://cn.noxinfluencer.com/instagram/channel/60088258571,-10,badcase,ASMR格式与实体产品推广不匹配
53,5323344127,Polished Pinkies | Nail Supply & Education 💅🏼,https://cn.noxinfluencer.com/instagram/channel/5323344127,5,badcase,美甲供给频道，直标命中但品类不匹配
54,75439460116,AZRocketDeals | True finds | Smart Deals | Click & Cart,https://cn.noxinfluencer.com/instagram/channel/75439460116,0,badcase,仅有导购感名称，缺少可用相关证据
59,20737252089,Binal Shah ✨,https://cn.noxinfluencer.com/instagram/channel/20737252089,0,badcase,时尚旅行号，与吸尘器无关
60,50279007620,"Miralina Nails, LLC",https://cn.noxinfluencer.com/instagram/channel/50279007620,5,badcase,美甲内容为主，吸尘器标签疑似误挂
63,44104888787,Didem Guneren 🧿,https://cn.noxinfluencer.com/instagram/channel/44104888787,0,badcase,美食账号，与清洁器无关
64,1153830714,Serap Kaya,https://cn.noxinfluencer.com/instagram/channel/1153830714,0,badcase,泛生活账号，清洁器推广证据不足
65,3089695640,Oladele Tosin Mary,https://cn.noxinfluencer.com/instagram/channel/3089695640,5,badcase,娱乐现场号，吸尘器标签不构成相关
68,1408992266,Seda Fidanci | Lifestyle & Content Creator,https://cn.noxinfluencer.com/instagram/channel/1408992266,0,badcase,母婴生活号，与清洁器无关
70,61228201708,Lauren Hewitt | Cleaning | Home Organization | Amazon Finds,https://cn.noxinfluencer.com/instagram/channel/61228201708,-5,badcase,清洁ASMR格式，产品推广适配度低
71,616518957,DIANA ZHU,https://cn.noxinfluencer.com/instagram/channel/616518957,0,badcase,美食健康号，与吸尘器无关
73,37610749273,Gül Alis,https://cn.noxinfluencer.com/instagram/channel/37610749273,0,badcase,旅游地域号，与清洁器无关
82,18569115423,J Ferrell Custom Trucks LLC,https://cn.noxinfluencer.com/instagram/channel/18569115423,5,badcase,车圈账号，吸尘器推广场景不匹配
83,6817467921,BadAzz Classics N More,https://cn.noxinfluencer.com/instagram/channel/6817467921,5,badcase,汽车改装/老车圈，和家用吸尘器不匹配
85,4520344382,Jamie’s Journey,https://cn.noxinfluencer.com/instagram/channel/4520344382,5,badcase,ASMR清洁流，产品推广适配度低
86,3083356610,Anastasia Markova,https://cn.noxinfluencer.com/instagram/channel/3083356610,-10,badcase,时尚/ASMR导向，与吸尘器推广不匹配
89,39187192660,Aditi Agarwal,https://cn.noxinfluencer.com/instagram/channel/39187192660,0,badcase,美妆护肤向，清洁家电相关度低
94,37295184205,Funda  Lyon Yuksek🤍,https://cn.noxinfluencer.com/instagram/channel/37295184205,0,badcase,摄影/家庭日常向，缺少清洁产品场景
106,581595949,Bobby Pierce,https://cn.noxinfluencer.com/instagram/channel/581595949,0,badcase,与吸尘器无关
107,983629632,Luiany Chipman,https://cn.noxinfluencer.com/instagram/channel/983629632,0,badcase,时尚美妆号，不适合吸尘器推广
109,42938408066,Ethan Hartzell,https://cn.noxinfluencer.com/instagram/channel/42938408066,0,badcase,无有效相关标签
110,1454929673,𝗖𝗮𝗿𝗹𝗮 𝗖𝗮𝗻𝗼♥︎ | Decor Home | Humor,https://cn.noxinfluencer.com/instagram/channel/1454929673,0,badcase,料理内容，与吸尘器无关
113,66352011397,Yonca Gungordu,https://cn.noxinfluencer.com/instagram/channel/66352011397,0,badcase,无标签无证据
114,212101932,Bárbara Braga,https://cn.noxinfluencer.com/instagram/channel/212101932,0,badcase,时尚母婴号，和吸尘器无关
