rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,75515378201,Nisa Mutlu,https://cn--xtb.noxinfluencer.com/instagram/channel/75515378201,0,badcase,无家清或吸尘器相关信号，难以支撑投放
3,67484831073,Esila’s World’s,https://cn--xtb.noxinfluencer.com/instagram/channel/67484831073,0,badcase,无有效标签与内容线索，相关性不足
4,60319225098,Ash,https://cn--xtb.noxinfluencer.com/instagram/channel/60319225098,0,badcase,无吸尘器或家清相关信号
5,72037274228,LifewithfairyUsa,https://cn--xtb.noxinfluencer.com/instagram/channel/72037274228,0,badcase,缺少可判断的品类或场景标签
6,59446827583,ConvenientFinds,https://cn--xtb.noxinfluencer.com/instagram/channel/59446827583,0,badcase,名称像导购但缺少品类证据，暂不判相关
9,50748207,Alex Jaras,https://cn--xtb.noxinfluencer.com/instagram/channel/50748207,0,badcase,无相关标签或内容线索
10,71400309960,Andriana_Vitalievna UGC,https://cn--xtb.noxinfluencer.com/instagram/channel/71400309960,0,badcase,仅见UGC属性但缺少家清品类证据
12,234544970,Brandee Schreiner,https://cn--xtb.noxinfluencer.com/instagram/channel/234544970,0,badcase,无可用相关信号
14,73486967599,Burcu Alayoglu,https://cn--xtb.noxinfluencer.com/instagram/channel/73486967599,0,badcase,无相关标签与内容方向
15,256531808,Zoe Fox | Beauty & Lifestyle Creator,https://cn--xtb.noxinfluencer.com/instagram/channel/256531808,0,badcase,偏美妆生活，缺少家清或家电相关性
16,54459437059,Natalya,https://cn--xtb.noxinfluencer.com/instagram/channel/54459437059,0,badcase,无有效内容线索
17,1364522150,Nidhi Chauhan,https://cn--xtb.noxinfluencer.com/instagram/channel/1364522150,0,badcase,无可判断的相关品类信息
19,6942526390,veoko,https://cn--xtb.noxinfluencer.com/instagram/channel/6942526390,0,badcase,仅有泛生活标签，相关度不足
27,360856106,Hoover Vacuums,https://cn--xtb.noxinfluencer.com/instagram/channel/360856106,10,badcase,有ASMR清洁格式，促销场景不匹配
35,11298636963,Nitta Nwafor,https://cn--xtb.noxinfluencer.com/instagram/channel/11298636963,0,badcase,家居装饰内容，缺少清洁产品语境
36,1153830714,Serap Kaya,https://cn--xtb.noxinfluencer.com/instagram/channel/1153830714,0,badcase,家庭泛内容，和吸尘器无关
39,1210406993,Lexus of Edison,https://cn--xtb.noxinfluencer.com/instagram/channel/1210406993,0,badcase,汽车经销商号，与吸尘器不相关
43,1408992266,Seda Fidanci | Lifestyle & Content Creator,https://cn--xtb.noxinfluencer.com/instagram/channel/1408992266,0,badcase,母婴生活泛号，与吸尘器无关
45,1448812058,Trask Performance,https://cn--xtb.noxinfluencer.com/instagram/channel/1448812058,20,badcase,赛车机车号，吸尘器标签疑似噪声
46,1454929673,𝗖𝗮𝗿𝗹𝗮 𝗖𝗮𝗻𝗼♥︎ | Decor Home | Humor,https://cn--xtb.noxinfluencer.com/instagram/channel/1454929673,0,badcase,烹饪内容为主，与吸尘器无关
49,1733045395,Floppycats™ | Cat Content,https://cn--xtb.noxinfluencer.com/instagram/channel/1733045395,0,badcase,宠物内容为主，缺少清洁产品语境
56,20737252089,Binal Shah ✨,https://cn--xtb.noxinfluencer.com/instagram/channel/20737252089,1,badcase,时尚旅行向，和吸尘器推广场景较远
70,3089695640,Oladele Tosin Mary,https://cn--xtb.noxinfluencer.com/instagram/channel/3089695640,8,badcase,娱乐向占主导，vacuum cleaner 只是噪声词
78,36810020653,Debora Oliver Benites,https://cn--xtb.noxinfluencer.com/instagram/channel/36810020653,0,badcase,时尚/礼品向内容，和吸尘器投放目标不匹配
81,37610749273,Gül Alis,https://cn--xtb.noxinfluencer.com/instagram/channel/37610749273,0,badcase,生活杂项账号，缺少清洁家电相关证据
83,39187192660,Aditi Agarwal,https://cn--xtb.noxinfluencer.com/instagram/channel/39187192660,0,badcase,美妆护肤为主，和吸尘器投放目标不匹配
84,39642446721,Shant,https://cn--xtb.noxinfluencer.com/instagram/channel/39642446721,0,badcase,缺少标签与内容，相关性无法判断
91,42938408066,Ethan Hartzell,https://cn--xtb.noxinfluencer.com/instagram/channel/42938408066,0,badcase,缺少可用标签与视频证据
93,44104888787,Didem Guneren 🧿,https://cn--xtb.noxinfluencer.com/instagram/channel/44104888787,0,badcase,美食内容为主，和吸尘器投放目标不匹配
101,48271871115,Michelle Cruz | Lifestyle,https://cn--xtb.noxinfluencer.com/instagram/channel/48271871115,0,badcase,生活方式/穿搭号，缺少清洁或家电投放场景
105,52002380809,Isaac Rodriguez,https://cn--xtb.noxinfluencer.com/instagram/channel/52002380809,0,badcase,无标签无内容证据，无法判断为相关频道
111,57954417658,mike turner,https://cn--xtb.noxinfluencer.com/instagram/channel/57954417658,0,badcase,无标签无内容证据，无法判断为相关频道
112,581595949,Bobby Pierce,https://cn--xtb.noxinfluencer.com/instagram/channel/581595949,0,badcase,赛车/旅行类标签，与吸尘器投放无关
113,60088258571,Kate S.,https://cn--xtb.noxinfluencer.com/instagram/channel/60088258571,-8,badcase,ASMR和满足感格式压制清洁相关性，不适合吸尘器投放
116,616518957,DIANA ZHU,https://cn--xtb.noxinfluencer.com/instagram/channel/616518957,0,badcase,食品/食谱/健康号，与吸尘器无关
124,67975253695,BagasPachecokQXBq@gmail.com,https://cn--xtb.noxinfluencer.com/instagram/channel/67975253695,0,badcase,无标签无内容证据，无法判断为相关频道
136,8198565868,AUXITO | Auto LED Lighting🚗,https://cn--xtb.noxinfluencer.com/instagram/channel/8198565868,0,badcase,汽车灯光号，与 vacuum cleaner 无关
