rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,72000407571,Meg Richardson ✨,https://cn.noxinfluencer.com/instagram/channel/72000407571,0,badcase,无相关标签或内容，缺少召回依据
18,62553943456,Evo,https://cn.noxinfluencer.com/instagram/channel/62553943456,0,badcase,无标签无内容，无法判断相关性
19,293793793,Addison Guerra,https://cn.noxinfluencer.com/instagram/channel/293793793,0,badcase,个人生活/音乐类，与 vape 无关
29,42599593666,Aron Covarrubias,https://cn.noxinfluencer.com/instagram/channel/42599593666,0,badcase,无标签、无视频证据，无法判断相关性
30,215613191,Denis benitez,https://cn.noxinfluencer.com/instagram/channel/215613191,0,badcase,派对/地点标签，与vape推广无关
36,312660249,HONOREBEL,https://cn.noxinfluencer.com/instagram/channel/312660249,0,badcase,音乐艺人账号，与vape推广不匹配
39,6997824972,Bradley King,https://cn.noxinfluencer.com/instagram/channel/6997824972,0,badcase,无标签无内容证据，相关性缺失
41,1511553782,Chris Higgins,https://cn.noxinfluencer.com/instagram/channel/1511553782,0,badcase,喜剧娱乐号，与vape推广无关
47,476931889,Puma Swede,https://cn.noxinfluencer.com/instagram/channel/476931889,0,badcase,时尚服饰账号，与vape无关
48,20142717,Matt Rini’s Waterski School,https://cn.noxinfluencer.com/instagram/channel/20142717,20,badcase,水上运动账号为主，vape更像附带噪声标签
50,21378319271,Hamed,https://cn.noxinfluencer.com/instagram/channel/21378319271,0,badcase,无标签无内容证据，无法支持相关性
51,45477816732,PLUME OFFICIAL PAGE,https://cn.noxinfluencer.com/instagram/channel/45477816732,0,badcase,无标签与内容信号
53,60786394471,Fourth Breath,https://cn.noxinfluencer.com/instagram/channel/60786394471,0,badcase,无vape相关信号
54,19192947,James,https://cn.noxinfluencer.com/instagram/channel/19192947,0,badcase,无可用标签与视频证据
55,65665765814,Dads Against Predators,https://cn.noxinfluencer.com/instagram/channel/65665765814,0,badcase,无可用标签与视频证据
56,49384066347,🦅 Black Rose 🦅,https://cn.noxinfluencer.com/instagram/channel/49384066347,5,badcase,有vape标签，但主体是音乐审美向
60,2289640912,Sia Lofi,https://cn.noxinfluencer.com/instagram/channel/2289640912,5,badcase,vape只是标签，主体是lofi音乐
