rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,72000407571,Meg Richardson ✨,https://cn--xtb.noxinfluencer.com/instagram/channel/72000407571,0,badcase,无 vape 相关标签或内容，缺少匹配依据
6,293793793,Addison Guerra,https://cn--xtb.noxinfluencer.com/instagram/channel/293793793,0,badcase,生活/音乐泛账号，与 vape 推广不匹配
7,42599593666,Aron Covarrubias,https://cn--xtb.noxinfluencer.com/instagram/channel/42599593666,0,badcase,无任何相关标签，难判断为有效渠道
8,62553943456,Evo,https://cn--xtb.noxinfluencer.com/instagram/channel/62553943456,0,badcase,无任何相关标签，难判断为有效渠道
11,6997824972,Bradley King,https://cn--xtb.noxinfluencer.com/instagram/channel/6997824972,0,badcase,无相关标签或内容，和 vape 推广无关
19,60786394471,Fourth Breath,https://cn--xtb.noxinfluencer.com/instagram/channel/60786394471,0,badcase,摩托/运动向账号，与 vape 无关
20,215613191,Denis benitez,https://cn--xtb.noxinfluencer.com/instagram/channel/215613191,0,badcase,派对泛账号，与 vape 推广目标无关
21,312660249,HONOREBEL,https://cn--xtb.noxinfluencer.com/instagram/channel/312660249,0,badcase,音乐娱乐号，与 vape 促销无关
23,1662409688,Lazarus Vintage,https://cn--xtb.noxinfluencer.com/instagram/channel/1662409688,0,badcase,复古类账号，与 vape 推广不相关
30,65665765814,Dads Against Predators,https://cn--xtb.noxinfluencer.com/instagram/channel/65665765814,0,badcase,无 vape 相关证据，主题不符
31,21378319271,Hamed,https://cn--xtb.noxinfluencer.com/instagram/channel/21378319271,0,badcase,无相关标签或标题证据
32,7149496504,DEI VINC,https://cn--xtb.noxinfluencer.com/instagram/channel/7149496504,0,badcase,无相关标签或标题证据
37,5860096255,Tank Glass,https://cn--xtb.noxinfluencer.com/instagram/channel/5860096255,-15,badcase,故事/新闻/儿童向，和 vape 推广不符
47,48018479471,Jordan “CBC” Anderson,https://cn--xtb.noxinfluencer.com/instagram/channel/48018479471,0,badcase,无相关证据，难判断为 vape 相关
48,50056487453,Melody™️,https://cn--xtb.noxinfluencer.com/instagram/channel/50056487453,0,badcase,无相关证据，难判断为 vape 相关
50,21444230,💤,https://cn--xtb.noxinfluencer.com/instagram/channel/21444230,0,badcase,无内容线索，基本不相关
51,1469509847,VapeMasterz,https://cn--xtb.noxinfluencer.com/instagram/channel/1469509847,0,badcase,名字像 vape 号，但无标签/视频佐证
52,208983148,Malik,https://cn--xtb.noxinfluencer.com/instagram/channel/208983148,0,badcase,无相关标签，缺少 vape 证据
56,243496783,Kevin,https://cn--xtb.noxinfluencer.com/instagram/channel/243496783,0,badcase,无相关标签，无法判断为 vape 相关
59,277379827,Nαjαh Renee,https://cn--xtb.noxinfluencer.com/instagram/channel/277379827,0,badcase,无相关标签，缺少推广匹配信号
60,1297203406,Dotcom Vapor,https://cn--xtb.noxinfluencer.com/instagram/channel/1297203406,0,badcase,名字含 vapor，但标签为空，证据不足
66,19192947,James,https://cn--xtb.noxinfluencer.com/instagram/channel/19192947,0,badcase,无标签与内容线索，相关性不足
67,34076318,🆅🅰🅰🅲🅰🅽🅴🅾,https://cn--xtb.noxinfluencer.com/instagram/channel/34076318,0,badcase,无可用标签，无法建立 vape 相关性
71,38199576583,Lumoonosity Led,https://cn--xtb.noxinfluencer.com/instagram/channel/38199576583,-15,badcase,政治新闻类频道，与 vape 推广明显不匹配
73,1935722297,El Papá de los sabores,https://cn--xtb.noxinfluencer.com/instagram/channel/1935722297,0,badcase,标签信息过少，无法判断为相关频道
74,23408274587,hashishqueen,https://cn--xtb.noxinfluencer.com/instagram/channel/23408274587,0,badcase,娱乐/赠送向标签，和 vape 推广不匹配
79,42199175893,Victoria,https://cn--xtb.noxinfluencer.com/instagram/channel/42199175893,0,badcase,cosplay/娱乐向，和vape推广关联很弱
81,9283697336,memes & media ?_?,https://cn--xtb.noxinfluencer.com/instagram/channel/9283697336,0,badcase,纯meme媒体号，缺少vape推广相关信号
84,210107886,rickinmortybars.com,https://cn--xtb.noxinfluencer.com/instagram/channel/210107886,0,badcase,名称看不出和vape相关的受众或内容
85,2197938369,Clout Products Official,https://cn--xtb.noxinfluencer.com/instagram/channel/2197938369,0,badcase,仅有泛产品名，和vape推广关联不足
86,49738131,Bonnie Mercado,https://cn--xtb.noxinfluencer.com/instagram/channel/49738131,0,badcase,food号，和vape推广目标不相关
