rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,16266948515,Blanca Claudio™ | Marca Colorida y Creativa,https://cn.noxinfluencer.com/instagram/channel/16266948515,10,badcase,主体是品牌/插画方向，只有泛化 yoga mat 标签，偏离推广场景
42,538571725,New York Bucket List,https://cn.noxinfluencer.com/instagram/channel/538571725,0,badcase,无瑜伽垫相关信号，频道主题完全无关
71,54644493221,Dr. Kaye Cleave,https://cn.noxinfluencer.com/instagram/channel/54644493221,0,badcase,缺少瑜伽垫或瑜伽练习相关信号，主题不匹配
83,27696873,Bryant Park,https://cn.noxinfluencer.com/instagram/channel/27696873,0,badcase,城市公园号，与瑜伽垫推广无关
88,1603202094,Mathew Micheletti & Ashley Micheletti,https://cn.noxinfluencer.com/instagram/channel/1603202094,0,badcase,关系咨询号，与瑜伽垫目标受众不匹配
96,1727544011,Crumbs & Whiskers,https://cn.noxinfluencer.com/instagram/channel/1727544011,-15,badcase,猫咖内容与瑜伽垫推广受众完全不符
102,10474205864,SVOUND Sound Vibration Therapy,https://cn.noxinfluencer.com/instagram/channel/10474205864,5,badcase,声疗/音浴为主，属于明显格式错配，瑜伽垫只是表面词
105,463191176,LEAH HESTER,https://cn.noxinfluencer.com/instagram/channel/463191176,0,badcase,法律账号，和瑜伽垫推广基本无关
110,4648433792,Downtown Fort Lauderdale 🏙,https://cn.noxinfluencer.com/instagram/channel/4648433792,0,badcase,本地旅游号，与瑜伽垫推广无关
116,12370640202,The Mossy Apothecary (WE WILL NEVER DM YOU OR OFFER READINGS),https://cn.noxinfluencer.com/instagram/channel/12370640202,1,badcase,自我疗愈/手作为主，和瑜伽垫关联很弱
122,55060868959,Samantha Loya Serrata,https://cn.noxinfluencer.com/instagram/channel/55060868959,0,badcase,医疗/癌症话题为主，和瑜伽垫推广不匹配
134,225180463,Chicago Bucket List,https://cn.noxinfluencer.com/instagram/channel/225180463,0,badcase,与瑜伽垫推广无关
137,25021253,Downtown Houston,https://cn.noxinfluencer.com/instagram/channel/25021253,0,badcase,与瑜伽/健身无关
144,769960514,Mystic Minerals,https://cn.noxinfluencer.com/instagram/channel/769960514,0,badcase,与瑜伽垫推广无关
146,22492319,joy 🧚🏼‍♀️,https://cn.noxinfluencer.com/instagram/channel/22492319,0,badcase,与瑜伽垫推广无关
148,187432863,Historic Pearl,https://cn.noxinfluencer.com/instagram/channel/187432863,0,badcase,与瑜伽垫推广无关
149,8607303730,MAGIC MARKET,https://cn.noxinfluencer.com/instagram/channel/8607303730,0,badcase,与瑜伽垫推广无关
158,2220517986,LA Bucket List,https://cn.noxinfluencer.com/instagram/channel/2220517986,0,badcase,生活娱乐类，与瑜伽垫推广无关
167,24494006,ALEX SILVER-FAGAN,https://cn.noxinfluencer.com/instagram/channel/24494006,2,badcase,虽有瑜伽词，但整体偏泛心理健康与娱乐，转化弱
168,27476223,Whitney | Juice Alchemist + Nutritionist,https://cn.noxinfluencer.com/instagram/channel/27476223,0,badcase,饮食营养类，与瑜伽垫推广场景不匹配
169,5105456,Naya Rappaport,https://cn.noxinfluencer.com/instagram/channel/5105456,2,badcase,仅有瑜伽泛标签，内容重心偏娱乐与生活
170,1331072910,DAYBREAKER,https://cn.noxinfluencer.com/instagram/channel/1331072910,0,badcase,派对娱乐型，和瑜伽垫推广目标不匹配
172,54152215,Amy Harrington Yoga,https://cn.noxinfluencer.com/instagram/channel/54152215,1,badcase,更多是情绪与娱乐表达，瑜伽垫推广相关性弱
180,15673088862,Jeff Yamazaki,https://cn.noxinfluencer.com/instagram/channel/15673088862,0,badcase,时尚穿搭号，缺少瑜伽或运动垫使用场景
190,188079063,Sound Baths & Sound Healer Training • SoCal,https://cn.noxinfluencer.com/instagram/channel/188079063,-12,badcase,声浴/疗愈培训偏音频体验，不适合瑜伽垫
191,70431539005,Helaine Zhao,https://cn.noxinfluencer.com/instagram/channel/70431539005,0,badcase,校园/生活vlog，缺少运动或瑜伽购买场景
194,4045746702,The Satanic Temple Salem,https://cn.noxinfluencer.com/instagram/channel/4045746702,0,badcase,与瑜伽垫完全无关的宗教/艺术账号
197,13151469,Android Jones,https://cn.noxinfluencer.com/instagram/channel/13151469,0,badcase,艺术/节庆向账号，与瑜伽垫无关
202,1561545710,Hello Mamas,https://cn.noxinfluencer.com/instagram/channel/1561545710,0,badcase,母婴/商业生活向，与瑜伽垫推广无关
204,1797020471,Budokon University,https://cn.noxinfluencer.com/instagram/channel/1797020471,0,badcase,缺少瑜伽垫与消费场景信号，相关性弱
206,9712857,France Belleville,https://cn.noxinfluencer.com/instagram/channel/9712857,20,badcase,艺术绘画为主，瑜伽垫标签疑似噪声
219,175822949,Discovery Green®,https://cn.noxinfluencer.com/instagram/channel/175822949,0,badcase,娱乐公园账号，缺少产品推广场景
229,31341233631,Tree Om Sound Bath,https://cn.noxinfluencer.com/instagram/channel/31341233631,-14,badcase,声浴/娱乐型，和瑜伽垫推广的格式不匹配
236,8460482847,Jason Faulkner,https://cn.noxinfluencer.com/instagram/channel/8460482847,0,badcase,艺术/地域标签为主，与瑜伽垫推广无关
237,289123078,"Downtown Dallas, Inc.",https://cn.noxinfluencer.com/instagram/channel/289123078,0,badcase,城市商业号，和瑜伽垫推广没有直接相关性
243,4294615445,Sue Morter,https://cn.noxinfluencer.com/instagram/channel/4294615445,0,badcase,心灵/意识类内容，与瑜伽垫推广无关
250,2883388309,Katie Kadan,https://cn.noxinfluencer.com/instagram/channel/2883388309,0,badcase,音乐娱乐号，与瑜伽垫推广不相关
