rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,43387781223,My Magic Carpet,https://cn--xtb.noxinfluencer.com/instagram/channel/43387781223,0,badcase,家居装饰账号，和瑜伽垫投放无关
4,16266948515,Blanca Claudio™ | Marca Colorida y Creativa,https://cn--xtb.noxinfluencer.com/instagram/channel/16266948515,0,badcase,品牌/插画为主，缺少瑜伽垫相关信号
9,2249924865,caps,https://cn--xtb.noxinfluencer.com/instagram/channel/2249924865,0,badcase,无标签无内容，无法判断相关性
11,2040716633,ℒ𝑒𝒶𝓃𝑒𝓈 (𝓁𝑒𝒶),https://cn--xtb.noxinfluencer.com/instagram/channel/2040716633,0,badcase,时尚穿搭账号，与瑜伽垫无关
12,194578745,Jenny Stumme,https://cn--xtb.noxinfluencer.com/instagram/channel/194578745,0,badcase,时尚节庆穿搭为主，和瑜伽垫不匹配
18,10007558490,High Peaks Yoga Shala,https://cn--xtb.noxinfluencer.com/instagram/channel/10007558490,0,badcase,无标签无内容，相关性证据不足
20,10012826480,Mochas and Meows Catfé,https://cn--xtb.noxinfluencer.com/instagram/channel/10012826480,0,badcase,猫咖账号，和瑜伽垫投放无关
21,1003956,DDY Bluffton,https://cn--xtb.noxinfluencer.com/instagram/channel/1003956,0,badcase,无标签无内容，无法建立瑜伽垫相关性
24,1009688719,Yoga 4 Everybody Wellness Center,https://cn--xtb.noxinfluencer.com/instagram/channel/1009688719,0,badcase,无标签无内容，相关性证据不足
26,1013947791,Kim Fagan,https://cn--xtb.noxinfluencer.com/instagram/channel/1013947791,0,badcase,无相关内容与标签，缺少可用相关性
32,10246776915,Shark Pit Jiu Jitsu,https://cn--xtb.noxinfluencer.com/instagram/channel/10246776915,0,badcase,巴西柔术账号，与瑜伽垫推广不相关
34,10278019,Melissa Maddern,https://cn--xtb.noxinfluencer.com/instagram/channel/10278019,0,badcase,以音疗/声浴为主，和瑜伽垫推广格式不匹配
35,1033867927,Shawn and Jessie Fletcher,https://cn--xtb.noxinfluencer.com/instagram/channel/1033867927,0,badcase,无相关标签或内容，缺少相关性
42,10445844276,LunaSea Alpaca Farm,https://cn--xtb.noxinfluencer.com/instagram/channel/10445844276,-15,badcase,农场/羊驼内容，与瑜伽垫推广完全不搭
43,1045779641,Museo de Arte Contemporáneo de Puerto Rico,https://cn--xtb.noxinfluencer.com/instagram/channel/1045779641,0,badcase,艺术机构账号，缺少瑜伽消费场景
44,10474205864,SVOUND Sound Vibration Therapy,https://cn--xtb.noxinfluencer.com/instagram/channel/10474205864,8,badcase,命中瑜伽垫，但主内容偏音疗声浴，格式冲突
53,1066912868,Erica🪷,https://cn--xtb.noxinfluencer.com/instagram/channel/1066912868,0,badcase,无相关标签或内容信号
58,10802190519,When Where What Philly,https://cn--xtb.noxinfluencer.com/instagram/channel/10802190519,0,badcase,本地生活/活动向，与瑜伽垫推广无关
61,10831022503,solarmoonsoundbaths,https://cn--xtb.noxinfluencer.com/instagram/channel/10831022503,-15,badcase,声音疗愈/白噪风格，与产品推广格式冲突
75,1105182078,"Sacred Transcendence, LLC",https://cn--xtb.noxinfluencer.com/instagram/channel/1105182078,0,badcase,无相关标签或垂类信号
76,11068318615,Alison Chambers TRY Class Manager,https://cn--xtb.noxinfluencer.com/instagram/channel/11068318615,0,badcase,无瑜伽相关信号，和瑜伽垫推广不匹配
79,11088784,Chriztina Marie,https://cn--xtb.noxinfluencer.com/instagram/channel/11088784,0,badcase,艺术内容，与瑜伽垫无关
91,1131141062,Intracoastal Brewing Company,https://cn--xtb.noxinfluencer.com/instagram/channel/1131141062,0,badcase,咖啡/酿造品牌，与瑜伽垫推广无关
92,11319214625,Port St. Lucie Botanical Gardens,https://cn--xtb.noxinfluencer.com/instagram/channel/11319214625,0,badcase,园艺内容，和瑜伽垫推广关系弱
101,1143496303,Sacred Moments Massage,https://cn--xtb.noxinfluencer.com/instagram/channel/1143496303,0,badcase,按摩主题，缺少瑜伽垫推广证据
104,1149393029,Blandford Nature Center,https://cn--xtb.noxinfluencer.com/instagram/channel/1149393029,-15,badcase,自然动物内容，与瑜伽垫推广场景冲突
107,1153343,Mary Keel,https://cn--xtb.noxinfluencer.com/instagram/channel/1153343,0,badcase,自由潜和摄影为主，缺少瑜伽信号
108,1154115406,💟mydeedee💟,https://cn--xtb.noxinfluencer.com/instagram/channel/1154115406,0,badcase,空标签账号，无法判断相关性
111,11579320473,TADA Rugs,https://cn--xtb.noxinfluencer.com/instagram/channel/11579320473,0,badcase,地毯类账号，与瑜伽垫场景不匹配
114,1166470077,Amanda,https://cn--xtb.noxinfluencer.com/instagram/channel/1166470077,0,badcase,空标签账号，缺少相关证据
120,11696857262,SYDNI •• Where Art & Adventure Collide ••,https://cn--xtb.noxinfluencer.com/instagram/channel/11696857262,0,badcase,艺术设计内容，与瑜伽垫无关
137,11926151968,SoundBath Jax Corp,https://cn--xtb.noxinfluencer.com/instagram/channel/11926151968,-10,badcase,音频疗愈型内容，和瑜伽垫推广场景不匹配
146,12043110385,Bossladies Rocking | Networking DFW,https://cn--xtb.noxinfluencer.com/instagram/channel/12043110385,0,badcase,商务社交账号，与瑜伽垫受众不匹配
149,12111519109,Local Women's Handicrafts,https://cn--xtb.noxinfluencer.com/instagram/channel/12111519109,0,badcase,手工艺账号，与瑜伽垫推广关系很弱
154,12258890129,Rebel Studio,https://cn--xtb.noxinfluencer.com/instagram/channel/12258890129,0,badcase,信息过少，无法判断为瑜伽垫相关受众
164,1236986861,Marina Mukandala,https://cn--xtb.noxinfluencer.com/instagram/channel/1236986861,0,badcase,无相关标签和内容，缺少投放依据
168,12383375397,Ryan Nichols,https://cn--xtb.noxinfluencer.com/instagram/channel/12383375397,0,badcase,无相关标签/视频，难判断为目标受众
170,1241841826,Jeffrey Pluviose,https://cn--xtb.noxinfluencer.com/instagram/channel/1241841826,0,badcase,无相关标签和内容，投放价值不明
184,12639390522,ELEV8 Climbing Gym,https://cn--xtb.noxinfluencer.com/instagram/channel/12639390522,0,badcase,攀岩馆内容，与瑜伽垫受众不匹配
187,12659248,Holly Ingram,https://cn--xtb.noxinfluencer.com/instagram/channel/12659248,0,badcase,缺少瑜伽或相关产品语义
193,1277844895,Om Studios,https://cn--xtb.noxinfluencer.com/instagram/channel/1277844895,0,badcase,缺少瑜伽垫相关语义和内容证据
195,1278183901,Kev's Gym,https://cn--xtb.noxinfluencer.com/instagram/channel/1278183901,0,badcase,健身房泛内容，缺少瑜伽垫证据
198,12807302,Madison • Photographer • Yogi,https://cn--xtb.noxinfluencer.com/instagram/channel/12807302,0,badcase,摄影为主，瑜伽垫推广不匹配
199,1281372991,Dunwoody Preservation Trust,https://cn--xtb.noxinfluencer.com/instagram/channel/1281372991,0,badcase,本地保护机构，与瑜伽垫无关
200,1284033153,Keller Farmers Market,https://cn--xtb.noxinfluencer.com/instagram/channel/1284033153,0,badcase,市集/本地商业，无瑜伽受众证据
203,12861467789,Dowdy Park 🌿🌸,https://cn--xtb.noxinfluencer.com/instagram/channel/12861467789,0,badcase,无相关证据
206,1289107743,Riverside Park Conservancy,https://cn--xtb.noxinfluencer.com/instagram/channel/1289107743,0,badcase,与瑜伽垫推广无关
216,13005090,Downtown Atlanta,https://cn--xtb.noxinfluencer.com/instagram/channel/13005090,0,badcase,城市娱乐生活号，不适合推广瑜伽垫
219,13019155163,Last Flight Brewing Company,https://cn--xtb.noxinfluencer.com/instagram/channel/13019155163,0,badcase,啤酒厂账号，与瑜伽垫无关
225,13080121060,Long Beach Public Library,https://cn--xtb.noxinfluencer.com/instagram/channel/13080121060,0,badcase,图书馆账号，与瑜伽垫无关
230,13151469,Android Jones,https://cn--xtb.noxinfluencer.com/instagram/channel/13151469,0,badcase,艺术/电子类内容，与瑜伽垫推广无关
231,1320440316,Animal Rescue League of Iowa,https://cn--xtb.noxinfluencer.com/instagram/channel/1320440316,-10,badcase,宠物救助受众与人用瑜伽垫不匹配
234,1330845193,Vanderbilt Museum,https://cn--xtb.noxinfluencer.com/instagram/channel/1330845193,0,badcase,博物馆内容与瑜伽垫推广无关
237,1331216435,Templeton Tennis Ranch,https://cn--xtb.noxinfluencer.com/instagram/channel/1331216435,0,badcase,网球受众与瑜伽垫不匹配
243,1338945066,Danielle,https://cn--xtb.noxinfluencer.com/instagram/channel/1338945066,0,badcase,信息不足，缺少可判断的相关证据
