rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7294835391298421802,Agriculture,https://cn.noxinfluencer.com/tiktok/channel/7294835391298421802,0,badcase,无农业相关标签，偏美妆健身娱乐，受众不匹配
2,7083587878291571754,Power Service Products,https://cn.noxinfluencer.com/tiktok/channel/7083587878291571754,0,badcase,只有泛产品词，主体是车辆柴油服务，农业相关性弱
4,6760889288941192198,LANDIO,https://cn.noxinfluencer.com/tiktok/channel/6760889288941192198,0,badcase,地产狩猎为主，缺少农业产品受众信号
6,6985562093907674117,Stop Italian Sounding 🇮🇹 🎯,https://cn.noxinfluencer.com/tiktok/channel/6985562093907674117,0,badcase,意大利美食频道，和农业产品投放目标偏离
10,7312471453618127903,Notes on Iowa,https://cn.noxinfluencer.com/tiktok/channel/7312471453618127903,0,badcase,历史体育类频道，和农业产品无关
13,7086195704398447622,Ramato Dana Halaba,https://cn.noxinfluencer.com/tiktok/channel/7086195704398447622,0,badcase,无标签无内容信号，无法判断为农业相关
14,7337818178971649066,Ag News Daily,https://cn.noxinfluencer.com/tiktok/channel/7337818178971649066,0,badcase,仅有频道名线索，缺少标签和视频佐证
17,7300737170476893192,TCPEL Indonesia | Mesin Pelet,https://cn.noxinfluencer.com/tiktok/channel/7300737170476893192,0,badcase,仅见设备名称线索，无农业标签支持
23,6847614536981627909,David Shapiro,https://cn.noxinfluencer.com/tiktok/channel/6847614536981627909,0,badcase,金融投资频道，与农业产品投放无关
24,7513387756951110678,Work Process,https://cn.noxinfluencer.com/tiktok/channel/7513387756951110678,0,badcase,无标签无农业线索，相关性不足
25,6899656132748526598,Counselor Yasser Al-Bahadli,https://cn.noxinfluencer.com/tiktok/channel/6899656132748526598,0,badcase,咨询类频道，和农业产品推广场景不匹配
27,6821225629419144198,Chef’s Roll,https://cn.noxinfluencer.com/tiktok/channel/6821225629419144198,0,badcase,厨师烹饪内容，和农业产品推广链路不匹配
31,7149648347048838186,Paul Schriner,https://cn.noxinfluencer.com/tiktok/channel/7149648347048838186,0,badcase,健康养生导购，不是农业品类
32,7431945797905663022,labor protection gloves,https://cn.noxinfluencer.com/tiktok/channel/7431945797905663022,0,badcase,仅见劳保手套，和农业推广缺少可用受众
38,7078525675698717697,superant_maxj,https://cn.noxinfluencer.com/tiktok/channel/7078525675698717697,-15,badcase,玩具游戏娱乐向，和农业产品推广完全错位
43,7511885740617385003,The Rike Stories,https://cn.noxinfluencer.com/tiktok/channel/7511885740617385003,0,badcase,故事向内容，和农业产品推广错位
46,6808776937545581573,Aly Moore,https://cn.noxinfluencer.com/tiktok/channel/6808776937545581573,0,badcase,无农业相关信号
49,7044561201791370245,Michelle,https://cn.noxinfluencer.com/tiktok/channel/7044561201791370245,0,badcase,无农业相关信号
53,7438863034641450027,filterleadingfactory,https://cn.noxinfluencer.com/tiktok/channel/7438863034641450027,0,badcase,无农相关信息，缺少可判断依据
54,6981259005424043013,CONGOBON,https://cn.noxinfluencer.com/tiktok/channel/6981259005424043013,0,badcase,政治/本地话题为主，与农产品推广不符
