rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,6821985733751604230,Carlos Bustamante,https://cn--xtb.noxinfluencer.com/tiktok/channel/6821985733751604230,0,badcase,无农业相关标签或视频证据
3,7578391752148534286,Yalu Gokushi,https://cn--xtb.noxinfluencer.com/tiktok/channel/7578391752148534286,0,badcase,无农业相关标签或视频证据
4,7519060459527767053,Nika Lifestyle,https://cn--xtb.noxinfluencer.com/tiktok/channel/7519060459527767053,0,badcase,无农业相关标签或视频证据
8,6899656132748526598,Counselor Yasser Al-Bahadli,https://cn--xtb.noxinfluencer.com/tiktok/channel/6899656132748526598,0,badcase,无农业相关标签或视频证据
14,7494934363638367274,Observing the World,https://cn--xtb.noxinfluencer.com/tiktok/channel/7494934363638367274,0,badcase,无农业相关标签或视频证据
17,7309286147603334175,jessang26999,https://cn--xtb.noxinfluencer.com/tiktok/channel/7309286147603334175,0,badcase,无农业相关标签或视频证据
18,7276701708628755499,user2275752844624,https://cn--xtb.noxinfluencer.com/tiktok/channel/7276701708628755499,0,badcase,无农业相关标签或视频证据
19,7448449939920978986,Suyan,https://cn--xtb.noxinfluencer.com/tiktok/channel/7448449939920978986,0,badcase,无农业相关标签或视频证据
21,6937766330418693126,AJ Friedges,https://cn--xtb.noxinfluencer.com/tiktok/channel/6937766330418693126,0,badcase,无农业相关标签或视频证据
23,7582505086775116813,潘小满,https://cn--xtb.noxinfluencer.com/tiktok/channel/7582505086775116813,0,badcase,无农业相关标签或视频证据
25,7459834191922021422,Mano Lifestyle,https://cn--xtb.noxinfluencer.com/tiktok/channel/7459834191922021422,0,badcase,无农业相关标签或视频证据
28,7456387448760910894,LiHan,https://cn--xtb.noxinfluencer.com/tiktok/channel/7456387448760910894,0,badcase,无标签和内容证据，无法判断为农业相关
29,6754133465388172293,EduardoSanchez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6754133465388172293,0,badcase,无标签和内容证据，无法判断为农业相关
30,6760889288941192198,LANDIO,https://cn--xtb.noxinfluencer.com/tiktok/channel/6760889288941192198,0,badcase,地产和户外为主，与农产品推广关系弱
31,6808776937545581573,Aly Moore,https://cn--xtb.noxinfluencer.com/tiktok/channel/6808776937545581573,0,badcase,无标签和内容证据，无法判断为农业相关
34,6847614536981627909,David Shapiro,https://cn--xtb.noxinfluencer.com/tiktok/channel/6847614536981627909,0,badcase,金融投资内容与农产品推广无关
35,6854119653019911174,china new car or used car,https://cn--xtb.noxinfluencer.com/tiktok/channel/6854119653019911174,0,badcase,汽车泛娱乐标签，缺少农业相关信号
37,6875488757324678150,highyieldmarketfarming,https://cn--xtb.noxinfluencer.com/tiktok/channel/6875488757324678150,0,badcase,无标签和视频证据，农业相关性不足
38,6905433039868298245,Tiiga,https://cn--xtb.noxinfluencer.com/tiktok/channel/6905433039868298245,0,badcase,无标签和视频证据，农业相关性不足
39,6926215061129085958,James Grace,https://cn--xtb.noxinfluencer.com/tiktok/channel/6926215061129085958,0,badcase,无标签和视频证据，农业相关性不足
41,6966506874636223494,Integrated Seed Solutions,https://cn--xtb.noxinfluencer.com/tiktok/channel/6966506874636223494,0,badcase,无标签和内容证据，暂判不相关
46,6987987079011861509,Liu TomGreenhousessunshade net,https://cn--xtb.noxinfluencer.com/tiktok/channel/6987987079011861509,0,badcase,无标签和视频证据，农业相关性不足
49,7050244859331920943,Crownstone Equipment,https://cn--xtb.noxinfluencer.com/tiktok/channel/7050244859331920943,0,badcase,工程重型设备为主，和农产品不匹配
50,7078525675698717697,superant_maxj,https://cn--xtb.noxinfluencer.com/tiktok/channel/7078525675698717697,-15,badcase,玩具游戏娱乐向，属于强错配
51,7083587878291571754,Power Service Products,https://cn--xtb.noxinfluencer.com/tiktok/channel/7083587878291571754,0,badcase,服务/车辆类，缺少农业相关信号
52,7086195704398447622,Ramato Dana Halaba,https://cn--xtb.noxinfluencer.com/tiktok/channel/7086195704398447622,0,badcase,无标签无内容，无法判断为农业相关
56,7172766214955287594,LANDY Industry,https://cn--xtb.noxinfluencer.com/tiktok/channel/7172766214955287594,0,badcase,工业泛化，农业证据不足
61,7215158125186548741,Eloy zhao-GS Solar,https://cn--xtb.noxinfluencer.com/tiktok/channel/7215158125186548741,0,badcase,太阳能主题，和农业产品无关
62,7218323131468334126,J,https://cn--xtb.noxinfluencer.com/tiktok/channel/7218323131468334126,0,badcase,信息不足，无法建立农业相关性
65,7229390315588584491,Feeding Tomorrow,https://cn--xtb.noxinfluencer.com/tiktok/channel/7229390315588584491,0,badcase,无农业信号，无法做正向召回
66,7235898904583619590,SaraH🎐,https://cn--xtb.noxinfluencer.com/tiktok/channel/7235898904583619590,0,badcase,无农业相关标签或内容证据
69,7260962146229912619,c7jfcg581,https://cn--xtb.noxinfluencer.com/tiktok/channel/7260962146229912619,0,badcase,无可用信号，无法判断相关
73,7292650115235693614,🎖️ Shadow Gamer🎖️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7292650115235693614,-5,badcase,宠物/娱乐内容，不适合农产品推广
74,7294835391298421802,Agriculture,https://cn--xtb.noxinfluencer.com/tiktok/channel/7294835391298421802,-15,badcase,标签偏美妆健身娱乐，和农业相冲突
77,7303733957918475310,HUAYANG BLCO-TECH,https://cn--xtb.noxinfluencer.com/tiktok/channel/7303733957918475310,0,badcase,无农业相关证据，相关性不足
79,7312471453618127903,Notes on Iowa,https://cn--xtb.noxinfluencer.com/tiktok/channel/7312471453618127903,0,badcase,历史体育教育号，与农业产品无关
80,7321551052355634218,RuhterBoyz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7321551052355634218,0,badcase,无可用农业相关信号
81,7330738312993489962,TheSchoolTourChris,https://cn--xtb.noxinfluencer.com/tiktok/channel/7330738312993489962,0,badcase,校园游览号，和农业产品推广不匹配
84,7348624465700619270,Auto Fish Counting Machine,https://cn--xtb.noxinfluencer.com/tiktok/channel/7348624465700619270,0,badcase,鱼类计数设备，和农业产品推广关联弱
87,7370989215385371690,Durable Construction Machinery,https://cn--xtb.noxinfluencer.com/tiktok/channel/7370989215385371690,0,badcase,偏工程机械，与农业产品主题不够贴近
