rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6940652543030936581,"Brooke, Fat Loss Coach",https://cn.noxinfluencer.com/tiktok/channel/6940652543030936581,4,badcase,减脂账号，成人营养向，和婴儿补充剂不匹配
10,6775713586217698309,Aly ♡ Texas,https://cn.noxinfluencer.com/tiktok/channel/6775713586217698309,0,badcase,时尚/美妆/开箱向，和婴儿补充剂无关
11,6688669153442137090,jelainesarmiento,https://cn.noxinfluencer.com/tiktok/channel/6688669153442137090,0,badcase,泛娱乐美妆向，缺少母婴或营养相关性
13,6743608307699254278,S𝑡𝑒𝑝𝘩𝑎𝑛𝑖𝑒 D𝑒𝑐𝑎𝑡𝑜r,https://cn.noxinfluencer.com/tiktok/channel/6743608307699254278,2,badcase,妈妈减重向，和婴儿补充剂受众不一致
18,7010464200489337862,Trap9,https://cn.noxinfluencer.com/tiktok/channel/7010464200489337862,-10,badcase,宠物/动物向，与人类婴儿补充剂互斥
19,6769365028087022597,Dre,https://cn.noxinfluencer.com/tiktok/channel/6769365028087022597,0,badcase,时尚开箱向，缺少婴儿产品相关证据
20,6721863517818864646,Hakunathebeardeddragon,https://cn.noxinfluencer.com/tiktok/channel/6721863517818864646,-15,badcase,爬宠/宠物向，和婴儿补充剂互斥
21,6768541936908715014,↩️Insulin Resistance w/Kirsten,https://cn.noxinfluencer.com/tiktok/channel/6768541936908715014,0,badcase,胰岛素抵抗减重向，受众不匹配
22,7079110037990016042,Lilyanna Eide,https://cn.noxinfluencer.com/tiktok/channel/7079110037990016042,0,badcase,无标签，缺少可用相关信号
24,6888739282392581125,"Cait, Hormone Health Coach",https://cn.noxinfluencer.com/tiktok/channel/6888739282392581125,0,badcase,无标签，缺少可用相关信号
25,6778966540324537350,Ziggy’s Refuge,https://cn.noxinfluencer.com/tiktok/channel/6778966540324537350,-15,badcase,动物救助/宠物向，与婴儿补充剂互斥
26,6616663757282918401,Dr.Mya Wut Hmone,https://cn.noxinfluencer.com/tiktok/channel/6616663757282918401,0,badcase,无标签无内容证据，无法支持婴儿补充剂推广
29,6799451642049856518,Shy Bristow,https://cn.noxinfluencer.com/tiktok/channel/6799451642049856518,0,badcase,偏购物导购泛流量，缺少婴儿营养语境
30,7174564856980390955,brittykenedy,https://cn.noxinfluencer.com/tiktok/channel/7174564856980390955,0,badcase,健康/产后泛主题，和婴儿补充剂仅弱相关
33,6979248976449520645,Dr Jodi - FTF System,https://cn.noxinfluencer.com/tiktok/channel/6979248976449520645,0,badcase,无可用标签与内容，缺少相关性证据
34,7503408293342282798,pinkdragonpsychrn,https://cn.noxinfluencer.com/tiktok/channel/7503408293342282798,0,badcase,无标签无内容证据，无法判断适配性
36,6806022321325884422,Whitney | Fertility Coach+RDN,https://cn.noxinfluencer.com/tiktok/channel/6806022321325884422,0,badcase,备孕/生育方向，和婴儿补充剂不直接对应
37,7447693134339425326,Ask_the_NP_mom,https://cn.noxinfluencer.com/tiktok/channel/7447693134339425326,0,badcase,无标签无内容证据，相关性不足
39,7329844600259511339,Reps 2 Redemption,https://cn.noxinfluencer.com/tiktok/channel/7329844600259511339,0,badcase,健康健身泛内容，和婴儿补充剂关联弱
42,6956702466893825029,"Leslie Treece, M.D., FAAP",https://cn.noxinfluencer.com/tiktok/channel/6956702466893825029,0,badcase,无标签无视频证据，无法判断适配
43,7049009477911823365,Rachel|HolisticPA & Mama,https://cn.noxinfluencer.com/tiktok/channel/7049009477911823365,0,badcase,妈妈健康/产后内容，和婴儿补充剂仅间接相关
44,7112891095571678251,EDDIE F,https://cn.noxinfluencer.com/tiktok/channel/7112891095571678251,0,badcase,无标签无内容证据，相关性不足
45,6940359204620403718,Gentlegiantselephant,https://cn.noxinfluencer.com/tiktok/channel/6940359204620403718,-6,badcase,动物救助内容，和人类婴儿补充剂互斥
47,21981144,Waltzy Styczykowski Becky,https://cn.noxinfluencer.com/tiktok/channel/21981144,0,badcase,无标签无视频证据，无法判断相关性
48,7263266988377523242,hartmanholistic,https://cn.noxinfluencer.com/tiktok/channel/7263266988377523242,0,badcase,无标签无视频证据，相关性不足
49,7021845560148820998,Fed Is Best Foundation,https://cn.noxinfluencer.com/tiktok/channel/7021845560148820998,0,badcase,组织名本身不构成婴儿营养推广证据
50,7400541242767918122,Mama B- TherapyAtHome,https://cn.noxinfluencer.com/tiktok/channel/7400541242767918122,0,badcase,家庭治疗泛内容，缺少婴儿补充剂语境
52,6811108681583002630,Nancy: Cortisol Cocktail Coach,https://cn.noxinfluencer.com/tiktok/channel/6811108681583002630,0,badcase,无标签无内容，无法判断与婴儿补充剂相关
56,7252080464973808682,Barkfinity,https://cn.noxinfluencer.com/tiktok/channel/7252080464973808682,-15,badcase,宠物狗垂类，与人类婴幼儿补充剂受众互斥
57,7225771529426289707,Patty Staley,https://cn.noxinfluencer.com/tiktok/channel/7225771529426289707,0,badcase,无标签无内容，相关性不足
59,6773744179107136518,"Olivia, Redefine Fertility",https://cn.noxinfluencer.com/tiktok/channel/6773744179107136518,0,badcase,无标签无内容，和婴儿补充剂关联不明
66,7464884957246161951,Sonita Life,https://cn.noxinfluencer.com/tiktok/channel/7464884957246161951,0,badcase,无标签无内容，相关性不足
70,7517843874410185783,HerPillow,https://cn.noxinfluencer.com/tiktok/channel/7517843874410185783,0,badcase,无标签无内容，相关性不足
73,7472462477102875694,SueBeautyVibes,https://cn.noxinfluencer.com/tiktok/channel/7472462477102875694,0,badcase,无标签无内容，和婴儿补充剂关联不明
78,7576524900414096398,TT Eds Apparel & Stuff,https://cn.noxinfluencer.com/tiktok/channel/7576524900414096398,0,badcase,无婴儿或营养相关信号，难以用于该品类推广
80,6712535181881213958,Tori Green,https://cn.noxinfluencer.com/tiktok/channel/6712535181881213958,0,badcase,舞蹈娱乐向，与婴儿补充剂推广目标无关
81,6988137451073078277,Eastern Box Turtle,https://cn.noxinfluencer.com/tiktok/channel/6988137451073078277,-15,badcase,宠物/爬宠内容，和人类婴儿补充剂目标人群互斥
83,7331113390431241259,Jordan- Cortisol + Weight Loss,https://cn.noxinfluencer.com/tiktok/channel/7331113390431241259,0,badcase,减脂/皮质醇主题，与婴儿补充剂不匹配
86,6804933343390811141,Shakira Torres,https://cn.noxinfluencer.com/tiktok/channel/6804933343390811141,0,badcase,娱乐/性感向，和婴儿补充剂推广不相关
87,7167184032618365995,raisingprimal,https://cn.noxinfluencer.com/tiktok/channel/7167184032618365995,0,badcase,缺少母婴、营养或产品推广相关信号
92,7100749707966809130,catchyouheart,https://cn.noxinfluencer.com/tiktok/channel/7100749707966809130,0,badcase,健身训练向，与婴儿补充剂目标不匹配
93,7437351003244708907,Nelly.dogtips,https://cn.noxinfluencer.com/tiktok/channel/7437351003244708907,-10,badcase,频道明显偏狗狗内容，与人类婴儿补充剂推广不匹配
100,6983400063426954246,Thee Caregiver Brand,https://cn.noxinfluencer.com/tiktok/channel/6983400063426954246,0,badcase,护肤和引流标签为主，与婴儿补充剂目标不符
101,6776987073821524997,"Alexis Bhagat, MS, ACSM-CEP",https://cn.noxinfluencer.com/tiktok/channel/6776987073821524997,0,badcase,运动生理号，和母婴营养关联很弱
102,7268331950053917738,CallyMarieSimpson,https://cn.noxinfluencer.com/tiktok/channel/7268331950053917738,-4,badcase,狗训为主，少量妈妈信号不足以支撑母婴补剂
103,6802347945329951749,HerpTime,https://cn.noxinfluencer.com/tiktok/channel/6802347945329951749,-25,badcase,爬宠+ASMR，和人类婴儿补剂场景完全不符
104,7035857692187264005,BloomingBodyContour,https://cn.noxinfluencer.com/tiktok/channel/7035857692187264005,0,badcase,成人减重塑形号，不是婴儿营养受众
107,7029758223213495301,Rosanne Austin,https://cn.noxinfluencer.com/tiktok/channel/7029758223213495301,0,badcase,无标签与视频证据，无法判断相关性
109,6752657636183491589,k i l e y 🪩🫧💭,https://cn.noxinfluencer.com/tiktok/channel/6752657636183491589,0,badcase,成人减脂健身为主，和婴儿补剂不匹配
113,20850612,Belen Wright Frost | NTP,https://cn.noxinfluencer.com/tiktok/channel/20850612,0,badcase,无标签与视频证据，无法判断相关性
116,6766409099183457285,KimberCoolMom,https://cn.noxinfluencer.com/tiktok/channel/6766409099183457285,0,badcase,重病内容为主，不是母婴补剂受众
117,7112211547435631662,Melissa Gonzalez,https://cn.noxinfluencer.com/tiktok/channel/7112211547435631662,0,badcase,成人减重内容，和婴儿补剂不匹配
119,6806132727026484230,HappyDingos,https://cn.noxinfluencer.com/tiktok/channel/6806132727026484230,0,badcase,无标签与视频证据，无法判断相关性
121,7017623413640643589,Kenz Moe x Motherhood,https://cn.noxinfluencer.com/tiktok/channel/7017623413640643589,0,badcase,医美注射内容，和母婴补剂场景偏离
123,6879532070604325894,HerLuxeDigitalMindset,https://cn.noxinfluencer.com/tiktok/channel/6879532070604325894,0,badcase,泛生活/情绪标签，和母婴补剂关联很弱
124,6738400990405575686,Lauren DeLeary,https://cn.noxinfluencer.com/tiktok/channel/6738400990405575686,0,badcase,标签过少，无法判断母婴相关性
128,6964963546494321670,Tess in the PNW 💚,https://cn.noxinfluencer.com/tiktok/channel/6964963546494321670,0,badcase,无相关标签和内容，证据不足
129,6643494296446435334,Elizabeth,https://cn.noxinfluencer.com/tiktok/channel/6643494296446435334,0,badcase,无相关标签和内容，证据不足
131,7425419191669457963,Heather🦋GardenLife,https://cn.noxinfluencer.com/tiktok/channel/7425419191669457963,0,badcase,美妆发型向，和婴儿补剂关联很弱
