rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,6978297289996731397,Cristal Marie🩵🧸,https://cn--xtb.noxinfluencer.com/tiktok/channel/6978297289996731397,0,badcase,缺少婴儿或营养相关证据，相关性弱
3,6827605506909537286,Britney Shaw,https://cn--xtb.noxinfluencer.com/tiktok/channel/6827605506909537286,0,badcase,地域与泛业务标签为主，和婴儿补充剂不相关
4,7165844603412579334,Emily Stone,https://cn--xtb.noxinfluencer.com/tiktok/channel/7165844603412579334,-15,badcase,娱乐搞笑向，和婴儿补充剂推广明显不符
5,7517744917747483654,Osiris,https://cn--xtb.noxinfluencer.com/tiktok/channel/7517744917747483654,0,badcase,缺少可判断的母婴或健康信号
6,7593183132737864718,han,https://cn--xtb.noxinfluencer.com/tiktok/channel/7593183132737864718,0,badcase,缺少可判断的母婴或健康信号
8,6587949276516696069,Charlotte,https://cn--xtb.noxinfluencer.com/tiktok/channel/6587949276516696069,0,badcase,缺少婴儿或营养相关证据
10,241061515355758592,✨,https://cn--xtb.noxinfluencer.com/tiktok/channel/241061515355758592,-10,badcase,音乐娱乐向，属于明显格式不匹配
11,6995380099420144645,Willow,https://cn--xtb.noxinfluencer.com/tiktok/channel/6995380099420144645,0,badcase,缺少婴儿或营养相关证据
14,6851975633397990405,tjzfmgkiz,https://cn--xtb.noxinfluencer.com/tiktok/channel/6851975633397990405,0,badcase,缺少任何可判断的相关信号
15,7019098709469152261,Dr.Drug🇺🇸🇬🇭,https://cn--xtb.noxinfluencer.com/tiktok/channel/7019098709469152261,0,badcase,名称像医药账号，但缺少母婴或营养证据
18,7506297620626310175,Visionnshop2,https://cn--xtb.noxinfluencer.com/tiktok/channel/7506297620626310175,0,badcase,缺少相关证据
19,6774821133079364614,erika__sofia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6774821133079364614,0,badcase,偏食谱食品向，和婴儿补充剂关联弱
22,7452514989099893792,Mom,https://cn--xtb.noxinfluencer.com/tiktok/channel/7452514989099893792,0,badcase,虽有母亲/健康字样，但内容标签偏警务和食物
23,6826932426766500870,gracielitavernandino,https://cn--xtb.noxinfluencer.com/tiktok/channel/6826932426766500870,0,badcase,缺少相关证据
26,7449686305984758830,True Tori,https://cn--xtb.noxinfluencer.com/tiktok/channel/7449686305984758830,0,badcase,缺少标签和视频证据
27,7405130955985536046,Mr.Jeffdunham,https://cn--xtb.noxinfluencer.com/tiktok/channel/7405130955985536046,0,badcase,缺少标签和视频证据
28,7478484108063884334,WellnessWhiz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7478484108063884334,0,badcase,缺少标签和视频证据
29,6930327584304874502,Felix manuel morales Gonzalez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6930327584304874502,0,badcase,缺少标签和视频证据
30,6633974483898826757,Daniela Aguilar,https://cn--xtb.noxinfluencer.com/tiktok/channel/6633974483898826757,0,badcase,娱乐/音乐向，和婴儿补剂推广不匹配
