rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,7280590210412971054,cosmeticart.bymehik,https://cn--xtb.noxinfluencer.com/tiktok/channel/7280590210412971054,0,badcase,无标签和内容证据
5,7274403949319537710,OY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7274403949319537710,0,badcase,无标签无内容证据
11,106219370342682624,tatianakaer,https://cn--xtb.noxinfluencer.com/tiktok/channel/106219370342682624,-10,badcase,娱乐绿幕为主，和beauty推广不匹配
12,7528401445629543454,Zinnia,https://cn--xtb.noxinfluencer.com/tiktok/channel/7528401445629543454,0,badcase,无标签无内容证据
15,7210973292512560170,Healthy ☘️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7210973292512560170,-15,badcase,宠物狗内容，与beauty人类受众不符
18,6769147995939668997,Bella Hadid,https://cn--xtb.noxinfluencer.com/tiktok/channel/6769147995939668997,-5,badcase,仅娱乐标签，和beauty带货不匹配
22,6772347709954851846,Hailey Bieber,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772347709954851846,-5,badcase,音乐人设号，缺少beauty相关证据
26,245504615646052352,katieangeltv,https://cn--xtb.noxinfluencer.com/tiktok/channel/245504615646052352,0,badcase,娱乐搞笑向，缺少美妆消费相关标签
27,7163124711743145003,"Hi, I’m ting ting",https://cn--xtb.noxinfluencer.com/tiktok/channel/7163124711743145003,0,badcase,无标签，无法判断美妆相关性
28,6721905908093289477,quenblackwell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6721905908093289477,0,badcase,绿幕梗图风格，和美妆推广缺少直接关联
29,6780426696786199558,gabi champ,https://cn--xtb.noxinfluencer.com/tiktok/channel/6780426696786199558,0,badcase,无标签，缺少美妆相关证据
31,6785823001336415238,Kika Kim,https://cn--xtb.noxinfluencer.com/tiktok/channel/6785823001336415238,0,badcase,精灵乐园主题，和美妆推广关联弱
35,7487972384254084142,suketon6,https://cn--xtb.noxinfluencer.com/tiktok/channel/7487972384254084142,0,badcase,无标签，缺少美妆相关证据
37,7029019141173609474,🅞🅛🅖🅐,https://cn--xtb.noxinfluencer.com/tiktok/channel/7029019141173609474,0,badcase,无标签，缺少美妆相关证据
50,7087873574417859626,Marry,https://cn--xtb.noxinfluencer.com/tiktok/channel/7087873574417859626,-15,badcase,工具修理向，与美妆推广明显冲突
