rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7388243466767729707,Cafe by Chris | Coffee Tips,https://cn.noxinfluencer.com/tiktok/channel/7388243466767729707,0,badcase,无标签、无视频证据，相关性不足
5,6796472079434384390,tylerk315,https://cn.noxinfluencer.com/tiktok/channel/6796472079434384390,0,badcase,无标签、无视频证据，相关性不足
6,7103966846822548526,Noah Stern,https://cn.noxinfluencer.com/tiktok/channel/7103966846822548526,-8,badcase,咖啡/意式内容但带ASMR，偏听感不适合投放
7,7277077319469646894,Vicky_RealFactory,https://cn.noxinfluencer.com/tiktok/channel/7277077319469646894,0,badcase,无标签、无视频证据，相关性不足
9,7434570478344602666,🤎 LINK IN BIO 🤎,https://cn.noxinfluencer.com/tiktok/channel/7434570478344602666,0,badcase,无标签、无视频证据，相关性不足
11,6807498241601750021,Manifest with Jenni,https://cn.noxinfluencer.com/tiktok/channel/6807498241601750021,0,badcase,内容是挑战/家庭搞笑，和咖啡机无关
13,7267723697347462187,besthacksandfinds,https://cn.noxinfluencer.com/tiktok/channel/7267723697347462187,0,badcase,无标签、无视频证据，相关性不足
20,7388082824854160430,Mary(Caio),https://cn.noxinfluencer.com/tiktok/channel/7388082824854160430,0,badcase,无标签、无视频证据，相关性不足
26,7306330656640107563,Coffeebyhailey,https://cn.noxinfluencer.com/tiktok/channel/7306330656640107563,8,badcase,咖啡机直击但ASMR/拉花为主，缺少测评购买导向
34,6759727666700387334,elisa,https://cn.noxinfluencer.com/tiktok/channel/6759727666700387334,0,badcase,学习/影视/aesthetic为主，与咖啡机推广几乎无关
36,6712951148091130886,Theresa Krug,https://cn.noxinfluencer.com/tiktok/channel/6712951148091130886,0,badcase,美妆生活向，和咖啡机品类关联很弱
37,6719822710925018117,Ethan Rode,https://cn.noxinfluencer.com/tiktok/channel/6719822710925018117,8,badcase,ASMR放松型咖啡内容，偏氛围而非产品推广
39,6782740529861198853,Gab 🧿 | Intuitive Lifestyle,https://cn.noxinfluencer.com/tiktok/channel/6782740529861198853,8,badcase,ASMR/娱乐向，咖啡机词不代表具备带货场景
40,7181689871818785838,the sapor,https://cn.noxinfluencer.com/tiktok/channel/7181689871818785838,0,badcase,餐食烹饪频道，缺少咖啡与家电转化线索
45,7034153826639414278,Tyler Butterworth,https://cn.noxinfluencer.com/tiktok/channel/7034153826639414278,0,badcase,军旅内容，与咖啡机推广无关
46,6592280290265169926,Nat,https://cn.noxinfluencer.com/tiktok/channel/6592280290265169926,-5,badcase,宠物向频道，和人用咖啡机受众不匹配
50,6786077008818914310,Thevaglefamily,https://cn.noxinfluencer.com/tiktok/channel/6786077008818914310,0,badcase,纯搞笑家庭内容，与咖啡机推广无关
57,6791349837423936518,Mrr Little,https://cn.noxinfluencer.com/tiktok/channel/6791349837423936518,0,badcase,服饰香水号，和咖啡机明显不相关
59,7542182680881579063,Restoration 01,https://cn.noxinfluencer.com/tiktok/channel/7542182680881579063,0,badcase,无有效标签与视频证据，难判为咖啡机相关
69,6755444774120981509,Toolstoday,https://cn.noxinfluencer.com/tiktok/channel/6755444774120981509,-10,badcase,工具/木工且偏ASMR，推广格式与咖啡机不匹配
70,10108356,Sofie Marie,https://cn.noxinfluencer.com/tiktok/channel/10108356,-12,badcase,ASMR晨间号，偏声音内容，不适合咖啡机推广
72,3713304,lillybear 🐻ིྀ,https://cn.noxinfluencer.com/tiktok/channel/3713304,0,badcase,纯时尚穿搭号，和咖啡机相关性很低
74,6613775241585917958,coffeebae97,https://cn.noxinfluencer.com/tiktok/channel/6613775241585917958,-7,badcase,咖啡内容带ASMR和娱乐属性，格式不适合推广
75,6725559531327915013,Ryan Gawlik,https://cn.noxinfluencer.com/tiktok/channel/6725559531327915013,0,badcase,纯娱乐号，产品推广相关性很低
76,6862329742084457477,Product Testing,https://cn.noxinfluencer.com/tiktok/channel/6862329742084457477,0,badcase,美妆时尚为主，咖啡机推广证据不足
77,7405694615528064033,Stella’s Solo Adventures🏕️🌅,https://cn.noxinfluencer.com/tiktok/channel/7405694615528064033,0,badcase,露营旅行向，咖啡机不是核心场景
81,6709655016187544581,Sofia H. | Fifi’s Coffee Bar,https://cn.noxinfluencer.com/tiktok/channel/6709655016187544581,0,badcase,美妆时尚垂直，咖啡机受众不一致
83,6755318875845559301,Ale Regalado 💖,https://cn.noxinfluencer.com/tiktok/channel/6755318875845559301,0,badcase,纯食谱号，缺少咖啡机相关信号
84,6796482852106142726,beitceline,https://cn.noxinfluencer.com/tiktok/channel/6796482852106142726,0,badcase,健身饮食向，与咖啡机推广不贴
87,6660901540016603141,kalena💐🧺,https://cn.noxinfluencer.com/tiktok/channel/6660901540016603141,0,badcase,无标签，缺少任何相关信号
88,7362882423041180718,chloe olson,https://cn.noxinfluencer.com/tiktok/channel/7362882423041180718,0,badcase,无标签，缺少任何相关信号
93,6812810163171509253,Natalie | UGC TikTok Coach,https://cn.noxinfluencer.com/tiktok/channel/6812810163171509253,0,badcase,UGC 教学号，不是咖啡机消费场景
94,7273833316565746731,J E N N A🇦🇱,https://cn.noxinfluencer.com/tiktok/channel/7273833316565746731,0,badcase,母婴日常号，与咖啡机推广关系弱
99,6863129566095197189,juliachafe,https://cn.noxinfluencer.com/tiktok/channel/6863129566095197189,0,badcase,珠宝时尚号，与咖啡机类目不搭
100,6617317818239172613,aubree may,https://cn.noxinfluencer.com/tiktok/channel/6617317818239172613,-5,badcase,娱乐号属互斥场景，不适合家电推广
101,7009859445342946309,Elena,https://cn.noxinfluencer.com/tiktok/channel/7009859445342946309,0,badcase,美妆穿搭GRWM频道，与咖啡机投放无关
104,6787581908295287814,Andrea,https://cn.noxinfluencer.com/tiktok/channel/6787581908295287814,-10,badcase,ASMR氛围内容偏听感，不适合咖啡机投放
105,6873569070030275590,catalina,https://cn.noxinfluencer.com/tiktok/channel/6873569070030275590,0,badcase,仅有泛情感标签，和咖啡机无关
106,6652139074722709509,Lifesrad,https://cn.noxinfluencer.com/tiktok/channel/6652139074722709509,0,badcase,泛娱乐/社交内容，缺少咖啡或家电相关信号
