rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6796472079434384390,tylerk315,https://cn--xtb.noxinfluencer.com/tiktok/channel/6796472079434384390,0,badcase,无标签、无相关视频，缺少咖啡机推广相关性信号
5,7103966846822548526,Noah Stern,https://cn--xtb.noxinfluencer.com/tiktok/channel/7103966846822548526,-15,badcase,咖啡相关但ASMR格式不适合卖咖啡机，缺少评测/购买意图
8,7434570478344602666,🤎 LINK IN BIO 🤎,https://cn--xtb.noxinfluencer.com/tiktok/channel/7434570478344602666,0,badcase,无咖啡机相关标签或内容，频道信息过于泛化
10,7229668435067159578,1008ukm machine,https://cn--xtb.noxinfluencer.com/tiktok/channel/7229668435067159578,0,badcase,标签仅为泛化机械/工厂，与咖啡机推广无明确相关性
11,7443286042060555310,AlexisDeblas,https://cn--xtb.noxinfluencer.com/tiktok/channel/7443286042060555310,0,badcase,无标签与视频证据，缺少咖啡机推广相关性
12,6551342801488920586,Charles Adair,https://cn--xtb.noxinfluencer.com/tiktok/channel/6551342801488920586,0,badcase,无咖啡机或家电相关信号，缺少推广能力证据
15,7243985132037981227,OH SHOW,https://cn--xtb.noxinfluencer.com/tiktok/channel/7243985132037981227,-5,badcase,以mukbang为主，缺少咖啡机评测/购买信号，适配度低
16,6844380302711669765,ANDRUS,https://cn--xtb.noxinfluencer.com/tiktok/channel/6844380302711669765,0,badcase,标签无咖啡机相关性，且缺少评测/导购能力信号
17,7277077319469646894,Vicky_RealFactory,https://cn--xtb.noxinfluencer.com/tiktok/channel/7277077319469646894,0,badcase,无标签和视频证据，缺少咖啡机推广相关性
20,7351312005461132330,Robot Coffee Vending Machine,https://cn--xtb.noxinfluencer.com/tiktok/channel/7351312005461132330,0,badcase,仅频道名含咖啡机，缺少内容与推广能力证据
21,6650166566870843397,BReNDa(𝔾𝟝𝟡),https://cn--xtb.noxinfluencer.com/tiktok/channel/6650166566870843397,0,badcase,无标签、无相关视频，缺乏咖啡机推广相关性
23,6781967757347030022,MishyLovesLattes,https://cn--xtb.noxinfluencer.com/tiktok/channel/6781967757347030022,0,badcase,无标签与视频证据，无法体现咖啡机推广相关性
24,6821242861204866054,Альбиночка,https://cn--xtb.noxinfluencer.com/tiktok/channel/6821242861204866054,0,badcase,无标签、无相关视频，缺少咖啡机推广信号
25,6676175345882579973,Alayna ☺︎︎,https://cn--xtb.noxinfluencer.com/tiktok/channel/6676175345882579973,0,badcase,无标签、无相关视频，缺少咖啡机推广相关性证据
26,6918404332804047878,kale🌷,https://cn--xtb.noxinfluencer.com/tiktok/channel/6918404332804047878,0,badcase,无相关标签，缺少咖啡机推广信号
27,6745311721122202629,Kandyce☕️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6745311721122202629,0,badcase,美妆垂类，和咖啡机不相关
28,7106752737009730565,qiuhui2022,https://cn--xtb.noxinfluencer.com/tiktok/channel/7106752737009730565,0,badcase,无标签无内容信号，无法判断相关性
30,114912418899595264,Brew A Latte,https://cn--xtb.noxinfluencer.com/tiktok/channel/114912418899595264,-10,badcase,纯娱乐向，咖啡机推广场景不成立
31,6759563644797125638,e💫,https://cn--xtb.noxinfluencer.com/tiktok/channel/6759563644797125638,0,badcase,无标签无内容信号，无法判断相关性
