rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7498171306949755935,passiveplayground,https://cn--xtb.noxinfluencer.com/tiktok/channel/7498171306949755935,0,badcase,无标签无内容，无法支撑数字产品推广
4,6991900590562444294,TRE | Online Income Mentor,https://cn--xtb.noxinfluencer.com/tiktok/channel/6991900590562444294,0,badcase,内容偏男性约会话题，与数字产品无关
5,6946940524989645829,Adri.theedoll ♡,https://cn--xtb.noxinfluencer.com/tiktok/channel/6946940524989645829,0,badcase,无相关标签或内容，关联不足
10,7469185518035551263,Evan | Digital Marketing,https://cn--xtb.noxinfluencer.com/tiktok/channel/7469185518035551263,0,badcase,无标签无内容，无法判断适配性
11,6985068182260220934,digitalproductrichmom,https://cn--xtb.noxinfluencer.com/tiktok/channel/6985068182260220934,0,badcase,无标签无内容，无法支撑数字产品推广
12,7251236413833069614,Jen,https://cn--xtb.noxinfluencer.com/tiktok/channel/7251236413833069614,0,badcase,无标签无内容，关联不足
16,6605285836925026310,Bryan Delimata,https://cn--xtb.noxinfluencer.com/tiktok/channel/6605285836925026310,0,badcase,内容偏软件教程，与数字产品推广不匹配
19,7340228958775149610,beyluxuryxo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7340228958775149610,0,badcase,无相关标签或内容，关联不足
21,6910040056204362758,coverMeCutee,https://cn--xtb.noxinfluencer.com/tiktok/channel/6910040056204362758,0,badcase,时尚内容为主，与数字产品推广无关
24,7384684548678517802,✨ OHKAYCHEALSIE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7384684548678517802,0,badcase,无标签无内容，无法判断适配性
27,808690,Leah Rae  ☆,https://cn--xtb.noxinfluencer.com/tiktok/channel/808690,-5,badcase,舞蹈内容与数字产品推广目标不匹配
36,7408714580095026218,jerikajack,https://cn--xtb.noxinfluencer.com/tiktok/channel/7408714580095026218,0,badcase,缺少与数字产品相关的标签或内容证据
46,6561060717398016006,Jena-Marie | 🌸 mom of 4 ✝️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6561060717398016006,0,badcase,缺少与数字产品相关的标签或内容证据
47,6710267411923698693,thapassiveprincess,https://cn--xtb.noxinfluencer.com/tiktok/channel/6710267411923698693,0,badcase,信用修复服务与数字产品推广关联弱
50,7812724,Digitalwithfate,https://cn--xtb.noxinfluencer.com/tiktok/channel/7812724,0,badcase,内容偏随机生活向，与数字产品推广不匹配
55,6877652103654097926,MadMikeMedia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6877652103654097926,0,badcase,娱乐/关系向，与数字产品推广无关
56,7440349665602667566,Shy | Faceless Creator,https://cn--xtb.noxinfluencer.com/tiktok/channel/7440349665602667566,0,badcase,无标签和视频证据，方向不明
61,7049049858447377413,Ashia l PLR Digital Products,https://cn--xtb.noxinfluencer.com/tiktok/channel/7049049858447377413,0,badcase,无标签与视频证据，无法确认匹配
64,7516582168996856854,alysssa.capps,https://cn--xtb.noxinfluencer.com/tiktok/channel/7516582168996856854,0,badcase,无标签和视频证据，方向不明
66,6809333748719879173,Erika,https://cn--xtb.noxinfluencer.com/tiktok/channel/6809333748719879173,0,badcase,无标签和视频证据，方向不明
67,7282837370318636074,Kaylie Marie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7282837370318636074,0,badcase,无标签和视频证据，方向不明
68,7332214598466815006,JennifersAiJourney002,https://cn--xtb.noxinfluencer.com/tiktok/channel/7332214598466815006,0,badcase,无标签和视频证据，方向不明
69,6782730239460328454,theannanicolexo,https://cn--xtb.noxinfluencer.com/tiktok/channel/6782730239460328454,0,badcase,娱乐流量向，与数字产品推广不匹配
75,6862298277758534661,1cocogirl,https://cn--xtb.noxinfluencer.com/tiktok/channel/6862298277758534661,0,badcase,娱乐流量向，与数字产品推广无关
76,6873295052212470789,Cintia | UGC Creator,https://cn--xtb.noxinfluencer.com/tiktok/channel/6873295052212470789,0,badcase,无相关标签或内容，难支撑数字产品推广
79,7318280045120881707,femininesecret,https://cn--xtb.noxinfluencer.com/tiktok/channel/7318280045120881707,0,badcase,无相关标签或内容，难支撑数字产品推广
82,7230073961127609387,wealthwlauren,https://cn--xtb.noxinfluencer.com/tiktok/channel/7230073961127609387,0,badcase,无相关标签或内容，难支撑数字产品推广
83,6772677320722613253,Honestiii,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772677320722613253,0,badcase,无相关标签或内容，难支撑数字产品推广
86,7444198565318296619,Jayy,https://cn--xtb.noxinfluencer.com/tiktok/channel/7444198565318296619,1,badcase,只有泛商业/励志标签，和数字产品推广不匹配
89,7242500941181846570,Rickele Finds & Funds,https://cn--xtb.noxinfluencer.com/tiktok/channel/7242500941181846570,0,badcase,无相关标签或内容，难支撑数字产品推广
90,6909073602700919810,moneymommillionaire,https://cn--xtb.noxinfluencer.com/tiktok/channel/6909073602700919810,1,badcase,仅有泛商业标签，缺少数字产品或变现证据
91,7211958941446669358,Club Roe 🧸🎀,https://cn--xtb.noxinfluencer.com/tiktok/channel/7211958941446669358,0,badcase,无相关标签或内容，难支撑数字产品推广
92,6899956941163709446,Hailey,https://cn--xtb.noxinfluencer.com/tiktok/channel/6899956941163709446,0,badcase,仅有母婴人群标签，和数字产品推广无关
94,7075160921358844971,Luc Owono Academy,https://cn--xtb.noxinfluencer.com/tiktok/channel/7075160921358844971,0,badcase,无相关标签或内容，难支撑数字产品推广
95,7331750708033684526,Kristin Digital Profits,https://cn--xtb.noxinfluencer.com/tiktok/channel/7331750708033684526,0,badcase,无标签和视频证据，难判断为数字产品频道
