rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,6804330214786843654,iamgangstagorgeous,https://cn.noxinfluencer.com/tiktok/channel/6804330214786843654,0,badcase,无有效标签，相关性证据不足
4,7560409738455368759,Ibelsis. Vlog 🗝️,https://cn.noxinfluencer.com/tiktok/channel/7560409738455368759,0,badcase,无标签，相关性证据不足
5,6709321451104912389,HotmessKRS 🔥 ❌️,https://cn.noxinfluencer.com/tiktok/channel/6709321451104912389,0,badcase,泛娱乐家庭号，缺少家电投放信号
6,6916615892839171078,eve ♥︎,https://cn.noxinfluencer.com/tiktok/channel/6916615892839171078,0,badcase,美妆GRWM号，与Dreame家电不匹配
8,6813760789545337861,La Nemo Books,https://cn.noxinfluencer.com/tiktok/channel/6813760789545337861,0,badcase,图书内容号，和家电品牌投放无关
9,6702793819987084293,joe,https://cn.noxinfluencer.com/tiktok/channel/6702793819987084293,0,badcase,无有效标签，相关性证据不足
11,7029187386982630406,coloveread,https://cn.noxinfluencer.com/tiktok/channel/7029187386982630406,-15,badcase,小说故事号，dreame是内容平台语境
14,6942286376638415877,Chinotiktokdeals,https://cn.noxinfluencer.com/tiktok/channel/6942286376638415877,0,badcase,健身娱乐号，缺少家电测评或购物信号
17,6905234702652081158,ynnailiy_queen,https://cn.noxinfluencer.com/tiktok/channel/6905234702652081158,0,badcase,无有效标签，相关性证据不足
18,7195091359626363946,Drama Life,https://cn.noxinfluencer.com/tiktok/channel/7195091359626363946,-15,badcase,故事娱乐号，dreame是小说语境
19,7347331164394210350,baya_kekeeva,https://cn.noxinfluencer.com/tiktok/channel/7347331164394210350,0,badcase,无有效标签，相关性证据不足
21,6993416931756721157,cleaningwith_julie,https://cn.noxinfluencer.com/tiktok/channel/6993416931756721157,5,badcase,清洁ASMR格式偏不适合家电投放
24,127905465618821121,Khabane lame,https://cn.noxinfluencer.com/tiktok/channel/127905465618821121,-15,badcase,泛娱乐漫画号，不适合家电投放
25,7380902171934606379,Dj Madigan,https://cn.noxinfluencer.com/tiktok/channel/7380902171934606379,-15,badcase,游戏号，与Dreame家电投放场景不匹配
27,7224705740216747050,KATSEYE,https://cn.noxinfluencer.com/tiktok/channel/7224705740216747050,-15,badcase,音乐娱乐团体号，和家电投放语境明显不符
28,292342703596507136,Alex Warren,https://cn.noxinfluencer.com/tiktok/channel/292342703596507136,-10,badcase,音乐娱乐号，缺少家电/购物推广语境
29,6739867522710406149,Daily Mail,https://cn.noxinfluencer.com/tiktok/channel/6739867522710406149,-15,badcase,新闻娱乐号，和Dreame家电推广不匹配
30,6805919155301712902,laufey,https://cn.noxinfluencer.com/tiktok/channel/6805919155301712902,-10,badcase,纯音乐翻唱向，基本不适合家电种草
32,123036,Joelle Siwa,https://cn.noxinfluencer.com/tiktok/channel/123036,-10,badcase,音乐舞蹈娱乐号，缺少产品推广语境
33,6530329342721922048,Taylor Nation,https://cn.noxinfluencer.com/tiktok/channel/6530329342721922048,-15,badcase,歌手粉丝号，和品牌投放关联很弱
36,96402384888725504,gabriela moura,https://cn.noxinfluencer.com/tiktok/channel/96402384888725504,-10,badcase,音乐内容为主，和家电品牌推广不相关
