rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,6804330214786843654,iamgangstagorgeous,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804330214786843654,0,badcase,无 Dreame 相关标签或内容信号
3,7142360321742668843,chesterbegley112,https://cn--xtb.noxinfluencer.com/tiktok/channel/7142360321742668843,0,badcase,无相关标签、无内容线索
4,6882763028573963270,ÅĻPĦǍBËŤ MǍFÏǍ MǍMǍ,https://cn--xtb.noxinfluencer.com/tiktok/channel/6882763028573963270,0,badcase,无相关标签、无内容线索
5,7198690923181229099,Kat Ann,https://cn--xtb.noxinfluencer.com/tiktok/channel/7198690923181229099,0,badcase,无相关标签、无内容线索
7,7309617629508551723,Dreemz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7309617629508551723,0,badcase,疑似拼写变体但缺少证据
9,6803848508275426309,Hope Battles 💋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6803848508275426309,0,badcase,无相关标签或内容信号
14,6739580661114422277,Dawn |A New Dawnn,https://cn--xtb.noxinfluencer.com/tiktok/channel/6739580661114422277,-15,badcase,宠物受众，与人用 Dreame 推广不符
15,7278284387371074602,Small Town DTF,https://cn--xtb.noxinfluencer.com/tiktok/channel/7278284387371074602,0,badcase,设计服饰向，和 Dreame 主题不搭
16,6661709004366200837,Benu_Svitlana,https://cn--xtb.noxinfluencer.com/tiktok/channel/6661709004366200837,0,badcase,无相关标签或内容信号
17,6775740239614182405,Priscilla,https://cn--xtb.noxinfluencer.com/tiktok/channel/6775740239614182405,0,badcase,无相关标签或内容信号
22,7148178765645202478,.Vanessa.Guercio,https://cn--xtb.noxinfluencer.com/tiktok/channel/7148178765645202478,0,badcase,无相关标签或内容信号
27,7410054234936312875,Fatcatmovie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7410054234936312875,0,badcase,无相关主题信号，难以判断具备产品推广适配
28,6909631318251209729,!,https://cn--xtb.noxinfluencer.com/tiktok/channel/6909631318251209729,-15,badcase,粉丝娱乐向，与 Dreame 产品推广目标明显不符
29,7560409738455368759,Ibelsis. Vlog 🗝️,https://cn--xtb.noxinfluencer.com/tiktok/channel/7560409738455368759,0,badcase,无相关标签或视频证据
30,7581152158654809101,dreaclips0,https://cn--xtb.noxinfluencer.com/tiktok/channel/7581152158654809101,0,badcase,无有效相关信号，无法支持 Dreame 投放判断
31,6815870500553737222,BlazeMaiden,https://cn--xtb.noxinfluencer.com/tiktok/channel/6815870500553737222,-5,badcase,时尚穿搭号，和 Dreame 家电类目标不匹配
32,7314266106272891947,foryou_funny1,https://cn--xtb.noxinfluencer.com/tiktok/channel/7314266106272891947,-15,badcase,纯娱乐流量号，和家电推广场景不匹配
33,7289853618323293190,TQK🌑⚡️💎,https://cn--xtb.noxinfluencer.com/tiktok/channel/7289853618323293190,0,badcase,无相关标签或内容证据
34,7507108868691100715,Baymax0604,https://cn--xtb.noxinfluencer.com/tiktok/channel/7507108868691100715,0,badcase,缺少与 Dreame 产品相关的主题信号
35,7521273662063739959,joshbrueckner fan,https://cn--xtb.noxinfluencer.com/tiktok/channel/7521273662063739959,0,badcase,粉丝向账号，不是产品推广型频道
37,7266150256538321962,𝓡𝓲𝓸𝓽𝓼,https://cn--xtb.noxinfluencer.com/tiktok/channel/7266150256538321962,0,badcase,无相关标签，难以支撑家电推广
38,7532918564849648695,thisisberrin,https://cn--xtb.noxinfluencer.com/tiktok/channel/7532918564849648695,0,badcase,缺少与家电品牌相关的受众与内容信号
41,6833207375135425541,dres.supremacy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6833207375135425541,-5,badcase,服饰品牌向，和清洁家电投放关联弱
