rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,6851464214457353222,Triel_b,https://cn--xtb.noxinfluencer.com/tiktok/channel/6851464214457353222,0,badcase,无时尚相关标签或内容证据
14,6954147457614005254,willywasian1,https://cn--xtb.noxinfluencer.com/tiktok/channel/6954147457614005254,0,badcase,无时尚相关标签或内容证据
17,7547731661799326734,Top Fashion,https://cn--xtb.noxinfluencer.com/tiktok/channel/7547731661799326734,0,badcase,无标签无内容证据，难确认时尚相关
18,7094605268214645765,Queen,https://cn--xtb.noxinfluencer.com/tiktok/channel/7094605268214645765,0,badcase,缺少时尚相关标签与内容，不适合推广
20,7244797167378252805,miradressup,https://cn--xtb.noxinfluencer.com/tiktok/channel/7244797167378252805,0,badcase,无时尚相关标签或内容证据
21,1557158,JMitch,https://cn--xtb.noxinfluencer.com/tiktok/channel/1557158,0,badcase,无时尚相关标签或内容证据
24,7459244231406126112,emo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7459244231406126112,0,badcase,无时尚相关标签或内容证据
25,6681053353801286662,limitless.shid4,https://cn--xtb.noxinfluencer.com/tiktok/channel/6681053353801286662,0,badcase,无时尚相关标签或内容证据
27,6783632055386604550,Tina Gafur,https://cn--xtb.noxinfluencer.com/tiktok/channel/6783632055386604550,0,badcase,无标签，无时尚相关信号
34,6721905908093289477,quenblackwell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6721905908093289477,0,badcase,greenscreen 工具型标签，和时尚不相关
44,7224039845156504619,King,https://cn--xtb.noxinfluencer.com/tiktok/channel/7224039845156504619,0,badcase,无标签，无时尚相关信号
56,7060632888555340805,akariholloway,https://cn--xtb.noxinfluencer.com/tiktok/channel/7060632888555340805,0,badcase,无fashion相关标签和视频证据，相关性低
57,6981843317509374981,M♪,https://cn--xtb.noxinfluencer.com/tiktok/channel/6981843317509374981,0,badcase,无fashion相关标签和视频证据，相关性低
58,7448948143197176837,★彡 TIKTOK EXPERTS 彡★,https://cn--xtb.noxinfluencer.com/tiktok/channel/7448948143197176837,0,badcase,缺少fashion证据，难以判断为时尚推广账号
64,7530596234453976072,Nady,https://cn--xtb.noxinfluencer.com/tiktok/channel/7530596234453976072,0,badcase,无fashion相关标签和视频证据，相关性低
67,7104964415687345195,Topokay1996.,https://cn--xtb.noxinfluencer.com/tiktok/channel/7104964415687345195,0,badcase,缺少fashion相关标签，相关性不足
69,6738815344477651974,Salsa Grande,https://cn--xtb.noxinfluencer.com/tiktok/channel/6738815344477651974,0,badcase,无fashion相关标签和视频证据，相关性低
71,7509788136156972062,Leah,https://cn--xtb.noxinfluencer.com/tiktok/channel/7509788136156972062,0,badcase,无fashion相关标签和视频证据，相关性低
80,7359632153934136325,Suzana Dominiki,https://cn--xtb.noxinfluencer.com/tiktok/channel/7359632153934136325,0,badcase,无标签无内容证据，相关性不足
83,6859352576690193414,Isaiah Casey,https://cn--xtb.noxinfluencer.com/tiktok/channel/6859352576690193414,0,badcase,舞蹈娱乐为主，缺少时尚相关信号
84,7506366688294388782,abdu-fits,https://cn--xtb.noxinfluencer.com/tiktok/channel/7506366688294388782,0,badcase,无标签证据，无法判定时尚相关
85,7525463528009253918,bymase,https://cn--xtb.noxinfluencer.com/tiktok/channel/7525463528009253918,0,badcase,无标签证据，无法判定时尚相关
89,7172683037091005483,sxored,https://cn--xtb.noxinfluencer.com/tiktok/channel/7172683037091005483,0,badcase,无标签无内容证据，相关性不足
91,7496604759580836906,Mariya,https://cn--xtb.noxinfluencer.com/tiktok/channel/7496604759580836906,0,badcase,无标签无内容证据，相关性不足
93,7256125566981309486,henry.ford.jones,https://cn--xtb.noxinfluencer.com/tiktok/channel/7256125566981309486,0,badcase,无标签无内容证据，相关性不足
94,7347306936587371562,Just J,https://cn--xtb.noxinfluencer.com/tiktok/channel/7347306936587371562,0,badcase,无标签无内容证据，相关性不足
95,7546113980466643981,ywiehrdjejdhdj,https://cn--xtb.noxinfluencer.com/tiktok/channel/7546113980466643981,0,badcase,无标签无内容证据，相关性不足
96,6986056856569594886,Bee,https://cn--xtb.noxinfluencer.com/tiktok/channel/6986056856569594886,0,badcase,无标签无内容证据，相关性不足
98,7480764718485292037,🎀Princess aby 🎀🌸🩷,https://cn--xtb.noxinfluencer.com/tiktok/channel/7480764718485292037,0,badcase,无标签无内容证据，相关性不足
99,6529644466801917954,Classy Missy (By Emily),https://cn--xtb.noxinfluencer.com/tiktok/channel/6529644466801917954,0,badcase,无标签无内容证据，相关性不足
110,139219863243218944,Isabella OldElk,https://cn--xtb.noxinfluencer.com/tiktok/channel/139219863243218944,0,badcase,内容域与时尚推广不匹配
112,7474388918612575278,Theesassishow,https://cn--xtb.noxinfluencer.com/tiktok/channel/7474388918612575278,0,badcase,无时尚相关标签或内容
114,96402384888725504,gabriela moura,https://cn--xtb.noxinfluencer.com/tiktok/channel/96402384888725504,0,badcase,音乐内容为主，时尚相关弱
116,6934941010372756485,Adrian🐈‍⬛,https://cn--xtb.noxinfluencer.com/tiktok/channel/6934941010372756485,0,badcase,宠物内容为主，非时尚方向
119,6727357586217763845,Latto,https://cn--xtb.noxinfluencer.com/tiktok/channel/6727357586217763845,0,badcase,食品娱乐向，缺少时尚相关
121,4674058,nicole garcia,https://cn--xtb.noxinfluencer.com/tiktok/channel/4674058,0,badcase,无有效时尚信号
124,7594202598929073207,Cute Girls Dubai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7594202598929073207,0,badcase,缺少可判断的时尚相关信号
130,6810141591081567237,Keke,https://cn--xtb.noxinfluencer.com/tiktok/channel/6810141591081567237,0,badcase,娱乐/情侣内容为主，缺少时尚或穿搭信号
133,6927904353316176901,pres,https://cn--xtb.noxinfluencer.com/tiktok/channel/6927904353316176901,0,badcase,仅泛流量与账号标签，和fashion无关
135,6809119679338300421,Best crepes Oran,https://cn--xtb.noxinfluencer.com/tiktok/channel/6809119679338300421,0,badcase,无标签，无法判断时尚相关性
136,6669536152644698117,KAI MARAIS HUNTOON,https://cn--xtb.noxinfluencer.com/tiktok/channel/6669536152644698117,0,badcase,绿幕/颜色定制为主，不是fashion频道
137,2531473,Jay Amari,https://cn--xtb.noxinfluencer.com/tiktok/channel/2531473,0,badcase,舞蹈绿幕为主，仅有发型弱相关
140,6680860150209135621,Miketoks,https://cn--xtb.noxinfluencer.com/tiktok/channel/6680860150209135621,0,badcase,拉美音乐地域向内容，与fashion无关
149,6755297581364839429,Marlenyy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6755297581364839429,0,badcase,仅绿幕内容，和fashion无关
150,19953200,maevetomalty,https://cn--xtb.noxinfluencer.com/tiktok/channel/19953200,0,badcase,无标签，缺少任何时尚相关信号
153,6584048047255601158,nevaaadaa,https://cn--xtb.noxinfluencer.com/tiktok/channel/6584048047255601158,0,badcase,无 fashion 相关标签，内容偏娱乐
156,6722543754798154757,Just-UsStrz,https://cn--xtb.noxinfluencer.com/tiktok/channel/6722543754798154757,0,badcase,无 fashion 相关标签，偏泛流量内容
160,6962573781035844613,bugcrumbs,https://cn--xtb.noxinfluencer.com/tiktok/channel/6962573781035844613,0,badcase,无相关标签，缺少可用于时尚推广的信号
161,6987461312113918982,agkvids,https://cn--xtb.noxinfluencer.com/tiktok/channel/6987461312113918982,0,badcase,无相关标签，缺少可用于时尚推广的信号
162,6806346003139167237,Joey King,https://cn--xtb.noxinfluencer.com/tiktok/channel/6806346003139167237,0,badcase,娱乐内容，与 fashion 无关
