rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7254294325303084075,2M ASMR Compilation,https://cn.noxinfluencer.com/tiktok/channel/7254294325303084075,5,badcase,ASMR厨房音效型，和实体厨房产品推广格式不匹配
5,6997906930228986886,Meecat,https://cn.noxinfluencer.com/tiktok/channel/6997906930228986886,8,badcase,微缩手工+ASMR内容，和厨房产品推广场景不匹配
8,6892842790318081030,𝐾𝑎𝑚𝑖 𝐿𝑎𝑟𝑎𝑒,https://cn.noxinfluencer.com/tiktok/channel/6892842790318081030,5,badcase,ASMR休闲清洁流，属于厨房产品推广格式错位
11,6659374156184649733,💜Kim💜,https://cn.noxinfluencer.com/tiktok/channel/6659374156184649733,5,badcase,娱乐合拍型账号，厨房只是题面，不适合产品推广
13,7254790165633139754,5M ASMR Compilation,https://cn.noxinfluencer.com/tiktok/channel/7254790165633139754,5,badcase,ASMR置物流，和厨房实体产品推广格式不匹配
17,7251405510288983082,5M ASMR Compilation,https://cn.noxinfluencer.com/tiktok/channel/7251405510288983082,5,badcase,ASMR生活流，厨房只是背景，不适合产品推广
21,7206149224562803755,Aenamism,https://cn.noxinfluencer.com/tiktok/channel/7206149224562803755,8,badcase,ASMR厨房小技巧，仍是声音氛围型，不适合推广
34,7155225890465924142,🥤🍕The Kitchen Kid 🍜🍨,https://cn.noxinfluencer.com/tiktok/channel/7155225890465924142,5,badcase,玩具假厨房，不适合真人厨房产品推广
44,7255013779917784110,Waleria Watson,https://cn.noxinfluencer.com/tiktok/channel/7255013779917784110,5,badcase,ASMR/restock为主，强格式不匹配
45,7343434173737534506,SODAY US Español,https://cn.noxinfluencer.com/tiktok/channel/7343434173737534506,5,badcase,宠物美容内容，不适合人用厨房推广
50,6727761606816941061,Noah Klein,https://cn.noxinfluencer.com/tiktok/channel/6727761606816941061,5,badcase,ASMR/感官内容为主，和产品推广不匹配
61,4121306,emilyyv13,https://cn.noxinfluencer.com/tiktok/channel/4121306,10,badcase,ASMR为主，虽有厨房标签但更偏听感内容，不适合投放
62,6860061616185754629,sweet.smile185,https://cn.noxinfluencer.com/tiktok/channel/6860061616185754629,10,badcase,娱乐+歌曲向，厨房标签仅弱相关，投放相关性低
64,7389065239419569194,sv_finds,https://cn.noxinfluencer.com/tiktok/channel/7389065239419569194,5,badcase,ASMR为主，厨房标签难支撑产品推广
72,6947901306670547974,Everyday Home Design,https://cn.noxinfluencer.com/tiktok/channel/6947901306670547974,10,badcase,家居设计但以ASMR呈现，厨房产品推广不佳
83,6817526662889325573,Monica Brady,https://cn.noxinfluencer.com/tiktok/channel/6817526662889325573,8,badcase,ASMR和satisfying占主导，强格式不匹配厨房产品推广
87,7254999459955262507,waleria watson,https://cn.noxinfluencer.com/tiktok/channel/7254999459955262507,8,badcase,ASMR+restock为主，明显偏感官内容，不利于产品转化
96,7146732115781420074,Makeover Momma,https://cn.noxinfluencer.com/tiktok/channel/7146732115781420074,9,badcase,ASMR/审美清洁主导，偏感官内容，不适合实物转化
100,7151863921330226219,Houda,https://cn.noxinfluencer.com/tiktok/channel/7151863921330226219,0,badcase,无标签无内容信号，无法判断为厨房相关频道
110,7089500945415226411,Life in 3D,https://cn.noxinfluencer.com/tiktok/channel/7089500945415226411,-10,badcase,纯娱乐演唱内容，缺少厨房产品推广语境
125,6940689983955731461,feliciahittGENX❤️,https://cn.noxinfluencer.com/tiktok/channel/6940689983955731461,12,badcase,猫和美甲内容为主，厨房只是弱标签
134,7362882423041180718,chloe olson,https://cn.noxinfluencer.com/tiktok/channel/7362882423041180718,0,badcase,无标签无内容信号，无法判断相关性
