rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7518893347386868749,jen,https://cn--xtb.noxinfluencer.com/tiktok/channel/7518893347386868749,0,badcase,无有效标签与内容线索，相关性不足
3,7288312363898389547,SB888,https://cn--xtb.noxinfluencer.com/tiktok/channel/7288312363898389547,0,badcase,无有效标签与内容线索，相关性不足
6,6884100681427469318,keepnitcozy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6884100681427469318,0,badcase,玩具拆箱为主，与厨房无关
7,6754055779143664645,Lexi Curcie🌻,https://cn--xtb.noxinfluencer.com/tiktok/channel/6754055779143664645,0,badcase,无标签且无内容线索，相关性不足
12,68616495085350913,Zach King,https://cn--xtb.noxinfluencer.com/tiktok/channel/68616495085350913,0,badcase,娱乐向账号，和厨房推广不匹配
13,7151863921330226219,Houda,https://cn--xtb.noxinfluencer.com/tiktok/channel/7151863921330226219,0,badcase,无有效标签与内容线索，相关性不足
16,7089500945415226411,Life in 3D,https://cn--xtb.noxinfluencer.com/tiktok/channel/7089500945415226411,0,badcase,唱歌娱乐向，和厨房无关
17,7389065239419569194,sv_finds,https://cn--xtb.noxinfluencer.com/tiktok/channel/7389065239419569194,5,badcase,ASMR格式冲突，即使有厨房词也不适合
18,7206149224562803755,Aenamism,https://cn--xtb.noxinfluencer.com/tiktok/channel/7206149224562803755,5,badcase,ASMR主导，厨房词不足以扭转冲突
19,6892842790318081030,𝐾𝑎𝑚𝑖 𝐿𝑎𝑟𝑎𝑒,https://cn--xtb.noxinfluencer.com/tiktok/channel/6892842790318081030,5,badcase,ASMR/restock向，厨房推广不合适
20,7362882423041180718,chloe olson,https://cn--xtb.noxinfluencer.com/tiktok/channel/7362882423041180718,0,badcase,无标签且无内容线索，相关性不足
22,7561902370054276110,ModernPrairie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7561902370054276110,0,badcase,无标签且无内容线索，相关性不足
24,7254294325303084075,2M ASMR Compilation,https://cn--xtb.noxinfluencer.com/tiktok/channel/7254294325303084075,5,badcase,ASMR编排强冲突，不适合厨房推广
25,6991900438175581190,pattipagewhite,https://cn--xtb.noxinfluencer.com/tiktok/channel/6991900438175581190,0,badcase,宗教/娱乐向，和厨房推广无关
26,6817526662889325573,Monica Brady,https://cn--xtb.noxinfluencer.com/tiktok/channel/6817526662889325573,5,badcase,ASMR形态错配，厨房词不适合做产品推广
31,7377328579533276206,Aleadhomeus,https://cn--xtb.noxinfluencer.com/tiktok/channel/7377328579533276206,0,badcase,无标签信息，相关性不足
34,7155225890465924142,🥤🍕The Kitchen Kid 🍜🍨,https://cn--xtb.noxinfluencer.com/tiktok/channel/7155225890465924142,10,badcase,玩具厨房内容，不是人用厨房场景
36,6721294648914707461,Kelsey,https://cn--xtb.noxinfluencer.com/tiktok/channel/6721294648914707461,0,badcase,内容与厨房无关
39,7251405510288983082,5M ASMR Compilation,https://cn--xtb.noxinfluencer.com/tiktok/channel/7251405510288983082,5,badcase,ASMR整理流，厨房词不代表可投放
41,6997906930228986886,Meecat,https://cn--xtb.noxinfluencer.com/tiktok/channel/6997906930228986886,5,badcase,微缩+ASMR玩具号，不是厨房消费场景
42,6798759244894536710,klaceehanson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6798759244894536710,0,badcase,无厨房相关信号
43,6932273715863946245,Boelon_Official,https://cn--xtb.noxinfluencer.com/tiktok/channel/6932273715863946245,0,badcase,园艺植物号，和厨房无关
47,6727761606816941061,Noah Klein,https://cn--xtb.noxinfluencer.com/tiktok/channel/6727761606816941061,5,badcase,ASMR感强，推广形态不适合厨房品
49,6920667322631078918,Mack Hollins,https://cn--xtb.noxinfluencer.com/tiktok/channel/6920667322631078918,0,badcase,体育事实向，无厨房相关
51,7279692371338921003,Anna DIY,https://cn--xtb.noxinfluencer.com/tiktok/channel/7279692371338921003,-10,badcase,娱乐流量号，和厨房推广目标不匹配
57,7224136635634205742,Melissa Grace,https://cn--xtb.noxinfluencer.com/tiktok/channel/7224136635634205742,0,badcase,无有效标签，无法判断适配
58,7223953370922239018,amazonstuff_buys,https://cn--xtb.noxinfluencer.com/tiktok/channel/7223953370922239018,-15,badcase,娱乐猎奇号，和厨房卖货目标冲突
