rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7387049371463369771,Cleaning ASMR 88,https://cn.noxinfluencer.com/tiktok/channel/7387049371463369771,8,badcase,ASMR清洁格式强干扰，虽有割草机词也不适合推广
5,7344074815859196974,mjaa_fashion,https://cn.noxinfluencer.com/tiktok/channel/7344074815859196974,20,badcase,时尚生活号里只有零散割草机词，相关性弱
8,6768975545939837958,sam,https://cn.noxinfluencer.com/tiktok/channel/6768975545939837958,0,badcase,狗狗内容，与割草机推广无关
9,6910392047539078149,DirtyBuilt,https://cn.noxinfluencer.com/tiktok/channel/6910392047539078149,5,badcase,越野泥地改装车方向，和普通割草机推广不匹配
11,7250285899711415338,Hunqeditz,https://cn.noxinfluencer.com/tiktok/channel/7250285899711415338,0,badcase,缺少任何割草机相关证据
14,6814737952821822469,El Garage de Vic,https://cn.noxinfluencer.com/tiktok/channel/6814737952821822469,0,badcase,汽车礼物向内容，与割草机主题不相干
18,7338221529933923370,Corbin,https://cn.noxinfluencer.com/tiktok/channel/7338221529933923370,5,badcase,车/越野改装偏重，和普通割草机推广不匹配
21,7270417588610335790,Rug Cleaning ASMR,https://cn.noxinfluencer.com/tiktok/channel/7270417588610335790,5,badcase,ASMR睡眠型内容，不适合卖割草机
23,7156269950747247658,Satisfying And More,https://cn.noxinfluencer.com/tiktok/channel/7156269950747247658,10,badcase,偏满足感/娱乐型内容，不是产品推广型账号
24,7442596062010164270,the555,https://cn.noxinfluencer.com/tiktok/channel/7442596062010164270,0,badcase,没有可用相关信号
28,6903965391149368326,Jerry Reviews,https://cn.noxinfluencer.com/tiktok/channel/6903965391149368326,0,badcase,游戏/绘画频道，无草坪机相关受众
33,7347244291587163179,The Gearhead Court,https://cn.noxinfluencer.com/tiktok/channel/7347244291587163179,-15,badcase,汽车/车辆圈，与草坪机推广目标不匹配
37,7526926239572804641,dclunvzni1r,https://cn.noxinfluencer.com/tiktok/channel/7526926239572804641,10,badcase,有草坪机词，但 story 叙事娱乐属性压过产品语境
40,7538443838575658006,pepMC,https://cn.noxinfluencer.com/tiktok/channel/7538443838575658006,5,badcase,ASMR/听感内容与草坪机卖点格式冲突明显
41,7532663980284855329,kskayizjdar,https://cn.noxinfluencer.com/tiktok/channel/7532663980284855329,10,badcase,story 叙事娱乐明显，不适合草坪机产品推广
45,7406729736603305003,Animals Core,https://cn.noxinfluencer.com/tiktok/channel/7406729736603305003,5,badcase,动画 meme 娱乐向，和草坪机推广的受众/格式不合
53,6684364784076358662,Windward shoe Repair,https://cn.noxinfluencer.com/tiktok/channel/6684364784076358662,0,badcase,仅有模糊链锯词，和割草机推广关联弱
59,7449059917200606241,Miniature Carpet Cleaning ASMR,https://cn.noxinfluencer.com/tiktok/channel/7449059917200606241,5,badcase,ASMR清洁睡眠型频道，和机具推广格式不匹配
65,6992463276362040322,Benny Lalios,https://cn.noxinfluencer.com/tiktok/channel/6992463276362040322,0,badcase,无草坪或割草相关信号
68,7244566445023560747,Dailydays,https://cn.noxinfluencer.com/tiktok/channel/7244566445023560747,5,badcase,警务/Karen娱乐号，和割草机推广不匹配
71,7358352617796830251,saratjor9ps,https://cn.noxinfluencer.com/tiktok/channel/7358352617796830251,0,badcase,缺少任何相关标签和内容信号
78,6982247277776667653,KNARFNY,https://cn.noxinfluencer.com/tiktok/channel/6982247277776667653,5,badcase,游戏/赛车主导，割草机标签像泛挂载
86,7675906,Hassan🥶,https://cn.noxinfluencer.com/tiktok/channel/7675906,0,badcase,无相关标签，和割草机推广不匹配
88,7381347573876196394,TarwaterServices,https://cn.noxinfluencer.com/tiktok/channel/7381347573876196394,5,badcase,ASMR格式明显不适合割草机推广
111,7262784340156220462,mierakiu.usa.20,https://cn.noxinfluencer.com/tiktok/channel/7262784340156220462,10,badcase,政治/梗图账号，割草机只是表层命中
114,7357903775786746912,Spiritual Dive,https://cn.noxinfluencer.com/tiktok/channel/7357903775786746912,-10,badcase,ASMR/故事/游戏型内容，格式与产品推广不匹配
118,6746326073636029445,Jathen Ervin,https://cn.noxinfluencer.com/tiktok/channel/6746326073636029445,8,badcase,主内容是摩托/赛车，割草机仅表层命中
122,7459938830223344686,happylife22,https://cn.noxinfluencer.com/tiktok/channel/7459938830223344686,10,badcase,政治/泛梗账号，割草机只是命中词
132,7229825609915581482,Inspiring Designs,https://cn.noxinfluencer.com/tiktok/channel/7229825609915581482,0,badcase,室内设计/家具内容，与割草机推广无关
135,7025052340428948486,Ad,https://cn.noxinfluencer.com/tiktok/channel/7025052340428948486,10,badcase,宠物狗内容为主，割草机只是陪衬，不适合人用推广
137,7449319023248426027,ficnadxajrza23,https://cn.noxinfluencer.com/tiktok/channel/7449319023248426027,10,badcase,车圈玩梗内容为主，割草机标签不足以支撑推广
144,6772931116125324293,Jack Schneider,https://cn.noxinfluencer.com/tiktok/channel/6772931116125324293,0,badcase,航空/实验/科技内容，与割草机推广无关
145,6935845411874685957,The Barn Brothers,https://cn.noxinfluencer.com/tiktok/channel/6935845411874685957,0,badcase,摩托/卡丁车为主，与割草机产品不匹配
