rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7370056598380626986,"princesa,  chinita",https://cn--xtb.noxinfluencer.com/tiktok/channel/7370056598380626986,0,badcase,仅有回忆标签，无生活方式相关信号
3,69579242484690944,Freshman 🥷🏿,https://cn--xtb.noxinfluencer.com/tiktok/channel/69579242484690944,0,badcase,标签与生活方式无关
6,6788126426148389893,Bilal🐙,https://cn--xtb.noxinfluencer.com/tiktok/channel/6788126426148389893,0,badcase,纯篮球内容，和生活方式召回弱
8,6761126481194583046,Bushy B,https://cn--xtb.noxinfluencer.com/tiktok/channel/6761126481194583046,0,badcase,无标签和内容线索
10,6750504816638690309,Prince BTA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6750504816638690309,0,badcase,无相关标签
14,7573375819545117710,VHM,https://cn--xtb.noxinfluencer.com/tiktok/channel/7573375819545117710,0,badcase,无标签和内容线索
15,6751798070642410501,Felix Ogundeji,https://cn--xtb.noxinfluencer.com/tiktok/channel/6751798070642410501,0,badcase,与生活方式无关
20,7392123379682575393,kathleeAva,https://cn--xtb.noxinfluencer.com/tiktok/channel/7392123379682575393,0,badcase,无标签和内容线索
22,6830275847476904965,Wisdom Kaye,https://cn--xtb.noxinfluencer.com/tiktok/channel/6830275847476904965,0,badcase,仅绿色幕/剪辑类标签，和生活方式不符
23,125332674285576192,ЛИАНА🐸,https://cn--xtb.noxinfluencer.com/tiktok/channel/125332674285576192,0,badcase,仅缝制类标签，无生活方式相关性
26,6809221318321849349,Ohemartin,https://cn--xtb.noxinfluencer.com/tiktok/channel/6809221318321849349,0,badcase,国家/身份标签为主，和 lifestyle 关联很弱
27,6824901808122659846,emmarosekenney,https://cn--xtb.noxinfluencer.com/tiktok/channel/6824901808122659846,0,badcase,宠物犬向频道，不适合 lifestyle 推广
29,6763346039024223238,isaiah,https://cn--xtb.noxinfluencer.com/tiktok/channel/6763346039024223238,0,badcase,娱乐/性别身份向，和 lifestyle 不匹配
30,7297267237660148778,Little bee,https://cn--xtb.noxinfluencer.com/tiktok/channel/7297267237660148778,0,badcase,缺少任何可用主题标签
31,6877306497178780674,gatinha linda unteligente,https://cn--xtb.noxinfluencer.com/tiktok/channel/6877306497178780674,0,badcase,动画特效向，不是 lifestyle 频道
32,6782206013674128390,melissa_rebaza,https://cn--xtb.noxinfluencer.com/tiktok/channel/6782206013674128390,0,badcase,娱乐/变装向，主题偏离 lifestyle
34,6574182432181469189,sophia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6574182432181469189,0,badcase,绿幕素材向，和 lifestyle 无关
35,6774476185462522885,Melissa Robles,https://cn--xtb.noxinfluencer.com/tiktok/channel/6774476185462522885,0,badcase,挑战向内容，缺少 lifestyle 相关证据
36,6707823629201523718,hay🖤,https://cn--xtb.noxinfluencer.com/tiktok/channel/6707823629201523718,0,badcase,无标签，无法判断相关性
38,6960320019817464838,therastaprincess,https://cn--xtb.noxinfluencer.com/tiktok/channel/6960320019817464838,0,badcase,无标签，相关证据不足
39,244973438451191808,Valeria Vedovatti,https://cn--xtb.noxinfluencer.com/tiktok/channel/244973438451191808,0,badcase,仅有泛流量标签，和 lifestyle 关联弱
