rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6718590347150377989,NIKKI,https://cn--xtb.noxinfluencer.com/tiktok/channel/6718590347150377989,0,badcase,时尚购物向，与马拉松推广关联弱
4,65054586842955776,Ameya Okamoto,https://cn--xtb.noxinfluencer.com/tiktok/channel/65054586842955776,0,badcase,美甲/陶艺垂类，和马拉松无关
6,6650073159859109893,Isaiah,https://cn--xtb.noxinfluencer.com/tiktok/channel/6650073159859109893,0,badcase,汽车故事向，缺少跑步/马拉松语境
7,6613855383415341061,Tavo Ochoa,https://cn--xtb.noxinfluencer.com/tiktok/channel/6613855383415341061,0,badcase,纯娱乐喜剧向，不适合马拉松推广
10,6776452143368995845,fonzian,https://cn--xtb.noxinfluencer.com/tiktok/channel/6776452143368995845,0,badcase,仅泛审美标签，缺少运动相关性
12,6591920393857712134,samualreecee,https://cn--xtb.noxinfluencer.com/tiktok/channel/6591920393857712134,0,badcase,娱乐/游戏/音乐向，与马拉松无关
14,6657493073607770118,Nēv Schulman,https://cn--xtb.noxinfluencer.com/tiktok/channel/6657493073607770118,2,badcase,仅有零散 running，主体偏娱乐与捕鱼
15,6616492424460009478,Steve Cabe,https://cn--xtb.noxinfluencer.com/tiktok/channel/6616492424460009478,0,badcase,纯娱乐反应向，缺少运动受众
16,6996026814678172677,mandyandmadi,https://cn--xtb.noxinfluencer.com/tiktok/channel/6996026814678172677,0,badcase,搞笑/游戏向，与马拉松不相关
18,6572296726793928709,JACKIE🤠,https://cn--xtb.noxinfluencer.com/tiktok/channel/6572296726793928709,0,badcase,咖啡/车/娱乐向，和马拉松无关
20,6809799013480662022,Nicky Rizz,https://cn--xtb.noxinfluencer.com/tiktok/channel/6809799013480662022,0,badcase,纯 meme/喜剧向，不适合马拉松推广
24,6723438248885224453,unit,https://cn--xtb.noxinfluencer.com/tiktok/channel/6723438248885224453,0,badcase,泛娱乐/情感向，相关性不足
26,6771631598893253638,allmarykate,https://cn--xtb.noxinfluencer.com/tiktok/channel/6771631598893253638,0,badcase,无马拉松相关标签，受众不匹配
28,6626871658500063237,Blake,https://cn--xtb.noxinfluencer.com/tiktok/channel/6626871658500063237,0,badcase,教育校园向，和马拉松无关
31,6794955491648537605,Tbo Soto,https://cn--xtb.noxinfluencer.com/tiktok/channel/6794955491648537605,0,badcase,约会话术内容，与马拉松无关
32,5656130,Aliana King,https://cn--xtb.noxinfluencer.com/tiktok/channel/5656130,0,badcase,美发美妆账号，与马拉松无关
33,6787202124486820869,Yair Gonzalez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6787202124486820869,0,badcase,军旅挑战向，和马拉松无关
36,6986483575139976198,Dani | Runner + Lifestyle,https://cn--xtb.noxinfluencer.com/tiktok/channel/6986483575139976198,0,badcase,标签为空且无视频，相关性不足
37,6685777155907896326,maya,https://cn--xtb.noxinfluencer.com/tiktok/channel/6685777155907896326,0,badcase,咖啡饮料娱乐向，与马拉松无关
39,6738516398794671109,Kristina Harris,https://cn--xtb.noxinfluencer.com/tiktok/channel/6738516398794671109,0,badcase,航旅生活向，和马拉松无关
45,6791134496839287813,Chief Charlie Chance,https://cn--xtb.noxinfluencer.com/tiktok/channel/6791134496839287813,-10,badcase,宠物账号，与人类马拉松推广不符
47,6702542815405147141,vinny mui,https://cn--xtb.noxinfluencer.com/tiktok/channel/6702542815405147141,0,badcase,男装时尚向，与马拉松无关
