rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7412520248295605253,KK pet,https://cn.noxinfluencer.com/tiktok/channel/7412520248295605253,5,badcase,ASMR宠物吃播风格，虽有pet food但不适合做产品推广
3,6718966570229498886,Neji and Nami,https://cn.noxinfluencer.com/tiktok/channel/6718966570229498886,5,badcase,猫粮/营养相关，但ASMR感官内容冲突
4,7002795756663014406,Kit and Sunday,https://cn.noxinfluencer.com/tiktok/channel/7002795756663014406,-5,badcase,狗粮/kibble相关，但ASMR吃播风格不适合推广
6,7357556411341440046,Ponyo and Luna,https://cn.noxinfluencer.com/tiktok/channel/7357556411341440046,5,badcase,猫粮直中，但ASMR感官内容冲突
9,7171334766238925867,salem & harry 🐈‍⬛🐈🤍,https://cn.noxinfluencer.com/tiktok/channel/7171334766238925867,-5,badcase,猫粮/营养相关，但ASMR感官内容冲突
13,7209807980559959083,Evan Cooper,https://cn.noxinfluencer.com/tiktok/channel/7209807980559959083,0,badcase,无相关标签，缺少宠物食品推广依据
14,7416757383256343595,momo 🥟 & mochi 🍡,https://cn.noxinfluencer.com/tiktok/channel/7416757383256343595,5,badcase,猫粮直中，但ASMR感官内容冲突
15,6734120567442080774,Piper | Cats | Debt Free,https://cn.noxinfluencer.com/tiktok/channel/6734120567442080774,0,badcase,无相关标签，缺少宠物食品推广依据
17,6991632916816888838,larissaWhite_,https://cn.noxinfluencer.com/tiktok/channel/6991632916816888838,0,badcase,无相关标签，缺少宠物食品推广依据
20,7447613188547298350,Gizmo🐈‍⬛ & Scooby🐶,https://cn.noxinfluencer.com/tiktok/channel/7447613188547298350,0,badcase,无相关标签，缺少宠物食品推广依据
21,6812299585110197253,"Katie, Bolton & Almond",https://cn.noxinfluencer.com/tiktok/channel/6812299585110197253,0,badcase,无相关标签，缺少宠物食品推广依据
24,7391487729375495211,Baby & Hugo,https://cn.noxinfluencer.com/tiktok/channel/7391487729375495211,0,badcase,无相关标签，缺少宠物食品推广依据
26,6914300471471031301,Skylar,https://cn.noxinfluencer.com/tiktok/channel/6914300471471031301,0,badcase,无宠物食品相关信号
29,7328267979689690155,extruder,https://cn.noxinfluencer.com/tiktok/channel/7328267979689690155,10,badcase,宠粮挤出机/工业内容，非消费端宠粮
31,6620854336078004230,Gubba Homestead,https://cn.noxinfluencer.com/tiktok/channel/6620854336078004230,-15,badcase,游戏内容与宠粮推广无关
33,6744842546507891717,Allysa Breanne,https://cn.noxinfluencer.com/tiktok/channel/6744842546507891717,-15,badcase,时尚美妆为主，和宠粮不相关
37,6785527240777253894,KatrinaInAZ,https://cn.noxinfluencer.com/tiktok/channel/6785527240777253894,-15,badcase,时尚试穿号，和宠粮不匹配
39,7056851625925788718,Sebastian Garcia,https://cn.noxinfluencer.com/tiktok/channel/7056851625925788718,0,badcase,以咖啡/生活为主，宠粮相关性低
41,6937409528237425669,Loki,https://cn.noxinfluencer.com/tiktok/channel/6937409528237425669,0,badcase,无宠物食品相关信号
43,7339793825021756458,Bennett 🐱,https://cn.noxinfluencer.com/tiktok/channel/7339793825021756458,8,badcase,ASMR宠物内容，强格式不匹配
44,7009018608118432774,HAZEL & POTATO ACE LAS VEGAS,https://cn.noxinfluencer.com/tiktok/channel/7009018608118432774,0,badcase,无宠物食品相关信号
47,6819674549349680133,Gracie the amazing,https://cn.noxinfluencer.com/tiktok/channel/6819674549349680133,0,badcase,烹饪美食号，宠粮相关性低
48,7533955432492467214,Moof + Everest,https://cn.noxinfluencer.com/tiktok/channel/7533955432492467214,0,badcase,无宠物食品相关信号
52,6793896946320851974,Zed and Zen,https://cn.noxinfluencer.com/tiktok/channel/6793896946320851974,8,badcase,ASMR 喂食偏感官娱乐，虽命中关键词但不适合推广
62,6865088643595305989,thetannershop,https://cn.noxinfluencer.com/tiktok/channel/6865088643595305989,-15,badcase,宗教/外星人内容，与宠物食品投放无关
75,6699542567460389894,Jay Prehistoric,https://cn.noxinfluencer.com/tiktok/channel/6699542567460389894,1,badcase,爬宠/野生动物内容，不是宠物食品主场景
76,7220143158872949806,Kipper&GoGo,https://cn.noxinfluencer.com/tiktok/channel/7220143158872949806,5,badcase,直命中但ASMR喂猫格式不适合宠粮投放
82,7392437152297698350,amy_atl_realtor,https://cn.noxinfluencer.com/tiktok/channel/7392437152297698350,5,badcase,直命中但ASMR/非宠物内容导致投放格式不匹配
87,6626440478298587141,Christopher Gillette,https://cn.noxinfluencer.com/tiktok/channel/6626440478298587141,-5,badcase,以鳄鱼/爬行动物科普为主，不适合宠粮投放
99,6664229131985043461,𓆏,https://cn.noxinfluencer.com/tiktok/channel/6664229131985043461,-5,badcase,以青蛙/爬宠内容为主，不适合宠粮投放
105,6819491511131636741,Noah Young,https://cn.noxinfluencer.com/tiktok/channel/6819491511131636741,0,badcase,农业与食物泛化，缺少宠物消费语境
106,6758230605210731526,lacubanatiktok,https://cn.noxinfluencer.com/tiktok/channel/6758230605210731526,0,badcase,美妆校园向，和宠物食品几乎无关
107,13260359,SAN ANTONIO | TEXAS,https://cn.noxinfluencer.com/tiktok/channel/13260359,0,badcase,本地美食号，偏人类餐饮，不是宠物消费场景
115,7455154852626695210,"Ms Nanya, Mr Bowie",https://cn.noxinfluencer.com/tiktok/channel/7455154852626695210,8,badcase,猫ASMR偏声音场景，宠物食品推广适配差
116,7443644649664906282,Seafood Talk,https://cn.noxinfluencer.com/tiktok/channel/7443644649664906282,0,badcase,海洋生活号，和宠物食品无关
125,7330682038369305633,AZIZ Al AZMAR,https://cn.noxinfluencer.com/tiktok/channel/7330682038369305633,0,badcase,纯泛流量号，和宠物食品无关
126,6697066309564187653,Vegan Recipes,https://cn.noxinfluencer.com/tiktok/channel/6697066309564187653,-10,badcase,人类素食食谱号，和宠物食品投放场景不符
134,7016440728819090438,Anny & Rambo,https://cn.noxinfluencer.com/tiktok/channel/7016440728819090438,0,badcase,无标签可判断，召回相关性不足
141,6779685906490606597,rubenscreatives llc,https://cn.noxinfluencer.com/tiktok/channel/6779685906490606597,0,badcase,娱乐泛内容，与宠物食品推广无关
146,7255033972275905582,Lauryn Pinkston,https://cn.noxinfluencer.com/tiktok/channel/7255033972275905582,-15,badcase,以牛肉/畜牧为主，和宠物食品投放场景错位
149,1181940,oriana,https://cn.noxinfluencer.com/tiktok/channel/1181940,-5,badcase,舞蹈娱乐向账号，缺少宠物食品相关受众与促销能力
160,6799689009386095621,Remi the Cane Corso,https://cn.noxinfluencer.com/tiktok/channel/6799689009386095621,5,badcase,ASMR格式不适合宠物食品投放
163,7522544556166251534,kitforkatnh,https://cn.noxinfluencer.com/tiktok/channel/7522544556166251534,0,badcase,无标签，缺少相关证据
164,7283677085384836139,Animaltalkz,https://cn.noxinfluencer.com/tiktok/channel/7283677085384836139,0,badcase,动物科普号，缺少宠物食品受众
168,6791525536823084038,Viral Stuff,https://cn.noxinfluencer.com/tiktok/channel/6791525536823084038,-15,badcase,娱乐向频道，与宠物食品投放不符
170,7508960137190982702,Simba and Tangyuan,https://cn.noxinfluencer.com/tiktok/channel/7508960137190982702,0,badcase,无标签，无法判断相关性
174,7354412308443431978,Happy Life,https://cn.noxinfluencer.com/tiktok/channel/7354412308443431978,-15,badcase,猴子宝宝内容，非宠物食品受众
177,7284281764901831726,Monkey Salala,https://cn.noxinfluencer.com/tiktok/channel/7284281764901831726,-10,badcase,猴类内容为主，与宠物食品投放目标明显不符
180,75024752523808768,💙🦆 Jen Dowe 🦆💙,https://cn.noxinfluencer.com/tiktok/channel/75024752523808768,-10,badcase,ASMR格式与宠物食品推广存在明显错位
183,6722327090710316038,Ducks & Dachshund,https://cn.noxinfluencer.com/tiktok/channel/6722327090710316038,1,badcase,以鸭/鸟/农场内容为主，宠物食品相关度低
186,7408134878611522606,Animals Love,https://cn.noxinfluencer.com/tiktok/channel/7408134878611522606,-5,badcase,猴类动物内容为主，和宠物食品目标不匹配
187,6685413967618163718,🐍Rylee’s Reptiles🦎,https://cn.noxinfluencer.com/tiktok/channel/6685413967618163718,-10,badcase,爬宠/蛇类为主，不适合常规宠物食品投放
197,7488655281845814302,Timbersgottaroll,https://cn.noxinfluencer.com/tiktok/channel/7488655281845814302,0,badcase,缺少可用标签，无法判断宠物食品相关性
198,6845863755633820678,Cloris Creates,https://cn.noxinfluencer.com/tiktok/channel/6845863755633820678,1,badcase,仅有泛宠物与礼品/手作信息，相关性弱
200,7262792949117355054,PigtubeWithChucky,https://cn.noxinfluencer.com/tiktok/channel/7262792949117355054,-10,badcase,ASMR+猪类内容为主，属于明显格式/对象错位
203,7319567782538282030,monkey family,https://cn.noxinfluencer.com/tiktok/channel/7319567782538282030,-5,badcase,猴子内容为主，和宠物食品受众明显偏离
213,6731895074164605958,austin malvasio,https://cn.noxinfluencer.com/tiktok/channel/6731895074164605958,-5,badcase,以钓鱼/野生动物为主，和宠物食品不符
214,6852931589593580549,PMO,https://cn.noxinfluencer.com/tiktok/channel/6852931589593580549,1,badcase,以动漫/美术/舞蹈为主，仅有弱猫标签
217,7438070317734446126,Animals Cute 💞,https://cn.noxinfluencer.com/tiktok/channel/7438070317734446126,-5,badcase,猴子萌宠内容，和宠物食品不匹配
227,7367382536060126239,GubbaHomestead,https://cn.noxinfluencer.com/tiktok/channel/7367382536060126239,0,badcase,家居田园内容，与宠物食品无关
230,6823060947272745990,City of Las Vegas,https://cn.noxinfluencer.com/tiktok/channel/6823060947272745990,0,badcase,本地城市号，与宠物食品无关
231,7183185107301647406,TheAMWsFamily,https://cn.noxinfluencer.com/tiktok/channel/7183185107301647406,0,badcase,家庭育儿内容，与宠物食品不匹配
236,7028511172569121798,user66742792394,https://cn.noxinfluencer.com/tiktok/channel/7028511172569121798,0,badcase,无有效标签，无法判断宠物食品相关性
237,6827453489191617542,Gluten Free With Casey C,https://cn.noxinfluencer.com/tiktok/channel/6827453489191617542,0,badcase,人类无麸质饮食内容，与宠物食品无关
246,6852476522542384134,Megan NC Eat & Play,https://cn.noxinfluencer.com/tiktok/channel/6852476522542384134,0,badcase,美食旅行内容，与宠物食品无关
249,7158481675144102958,แนะนำสล็อต,https://cn.noxinfluencer.com/tiktok/channel/7158481675144102958,0,badcase,博彩内容，与宠物食品无关
