rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,6699650883243115526,Aisley Herndon 📸✨,https://cn.noxinfluencer.com/tiktok/channel/6699650883243115526,0,badcase,偏娱乐偶像向，摄影器材受众很弱
9,1219912,aoeimagery,https://cn.noxinfluencer.com/tiktok/channel/1219912,-15,badcase,娱乐舞蹈美食向，与摄影器材推广不符
10,6759194085473862661,janine | wedding photographer,https://cn.noxinfluencer.com/tiktok/channel/6759194085473862661,0,badcase,育儿家庭向，缺少摄影器材信号
11,6771253463898801157,Bailey Pascua,https://cn.noxinfluencer.com/tiktok/channel/6771253463898801157,0,badcase,妈妈生活向，和摄影器材关联弱
12,7228045425570759723,iamnicknguyen,https://cn.noxinfluencer.com/tiktok/channel/7228045425570759723,0,badcase,无标签，无相关性证据
14,6934137316709876742,Ceoofallthethings,https://cn.noxinfluencer.com/tiktok/channel/6934137316709876742,0,badcase,无标签，无法判断为摄影受众
19,6756598694935544837,marlo,https://cn.noxinfluencer.com/tiktok/channel/6756598694935544837,0,badcase,孕婴家庭向，和摄影器材不匹配
23,6730695704546755590,bitesbydre,https://cn.noxinfluencer.com/tiktok/channel/6730695704546755590,-15,badcase,游戏内容为主，与摄影器材无关
25,7292957222643811370,WA+8613416280123,https://cn.noxinfluencer.com/tiktok/channel/7292957222643811370,0,badcase,工业加工向，和摄影器材不相关
26,7246529445688509486,dj_Sid,https://cn.noxinfluencer.com/tiktok/channel/7246529445688509486,0,badcase,无摄影或器材相关标签/内容证据
27,7215785273333859371,Selens,https://cn.noxinfluencer.com/tiktok/channel/7215785273333859371,0,badcase,无摄影或器材相关标签/内容证据
29,6756979674674971654,Kel’s Finds,https://cn.noxinfluencer.com/tiktok/channel/6756979674674971654,0,badcase,无相关标签或内容证据
30,6738933090565145606,Zarryen Gaines,https://cn.noxinfluencer.com/tiktok/channel/6738933090565145606,0,badcase,田径内容与摄影器材推广无关
31,6855334977598784517,Spencer Brown,https://cn.noxinfluencer.com/tiktok/channel/6855334977598784517,0,badcase,无相关标签或内容证据
33,6622372117411774469,️,https://cn.noxinfluencer.com/tiktok/channel/6622372117411774469,0,badcase,无相关标签或内容证据
34,7370362721630618666,🤣 Funny Videos 🤣,https://cn.noxinfluencer.com/tiktok/channel/7370362721630618666,-15,badcase,娱乐/动物内容与器材推广明显不匹配
36,7637923052370117646,Through A Glass Darkly,https://cn.noxinfluencer.com/tiktok/channel/7637923052370117646,0,badcase,无相关标签或内容证据
37,7350750903430104110,GigaParts,https://cn.noxinfluencer.com/tiktok/channel/7350750903430104110,0,badcase,无相关标签或内容证据
38,7200979590600459306,check_techa,https://cn.noxinfluencer.com/tiktok/channel/7200979590600459306,-15,badcase,娱乐向内容与器材推广不匹配
39,6895021713609180165,MOSISO US,https://cn.noxinfluencer.com/tiktok/channel/6895021713609180165,0,badcase,无相关标签或内容证据
41,6801611431042712581,Ashley | Grace Captured Photo,https://cn.noxinfluencer.com/tiktok/channel/6801611431042712581,0,badcase,缺少摄影或器材标签与视频证据
42,7447763747902374954,Brayden Strickland,https://cn.noxinfluencer.com/tiktok/channel/7447763747902374954,0,badcase,无相关标签或内容证据
43,7378310703600075822,BEOENTSTUDIO,https://cn.noxinfluencer.com/tiktok/channel/7378310703600075822,0,badcase,无相关标签或内容证据
44,7440014787247670314,Visual Tweaks,https://cn.noxinfluencer.com/tiktok/channel/7440014787247670314,0,badcase,无相关标签或内容证据
45,7344994759813235755,Hugerock,https://cn.noxinfluencer.com/tiktok/channel/7344994759813235755,0,badcase,无相关标签或内容证据
47,6742662975683560454,📷Scott J. Waldron📷,https://cn.noxinfluencer.com/tiktok/channel/6742662975683560454,0,badcase,无相关标签或内容证据
48,7513495165161210926,labobo873,https://cn.noxinfluencer.com/tiktok/channel/7513495165161210926,0,badcase,无相关标签或内容证据
49,7527845574537135117,FSee,https://cn.noxinfluencer.com/tiktok/channel/7527845574537135117,0,badcase,无相关标签或内容证据
