rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,7114727217481139243,Iammjusticee,https://cn--xtb.noxinfluencer.com/tiktok/channel/7114727217481139243,0,badcase,无摄影相关证据
9,6989691645936731142,Brie,https://cn--xtb.noxinfluencer.com/tiktok/channel/6989691645936731142,0,badcase,无摄影相关证据
10,6810910230999942149,grizzlydowden,https://cn--xtb.noxinfluencer.com/tiktok/channel/6810910230999942149,0,badcase,弓箭特技与摄影器材推广无关
11,6780917647271805958,cookseymedia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6780917647271805958,-15,badcase,娱乐向内容为主，和器材推广错位
12,6743225719948002309,Jorge Criss,https://cn--xtb.noxinfluencer.com/tiktok/channel/6743225719948002309,0,badcase,无摄影相关证据
13,6722968148615709701,Kawway Junior,https://cn--xtb.noxinfluencer.com/tiktok/channel/6722968148615709701,0,badcase,无摄影相关证据
15,6679844979379225605,MartF(x)na AKA Echo 🔭,https://cn--xtb.noxinfluencer.com/tiktok/channel/6679844979379225605,0,badcase,游戏娱乐标签，和摄影器材推广不匹配
18,6949187175507510277,Jayden ☆,https://cn--xtb.noxinfluencer.com/tiktok/channel/6949187175507510277,0,badcase,无摄影相关证据
19,15574961,triana,https://cn--xtb.noxinfluencer.com/tiktok/channel/15574961,0,badcase,无摄影相关证据
24,7044275041000883205,Jbvisuals,https://cn--xtb.noxinfluencer.com/tiktok/channel/7044275041000883205,0,badcase,仅有泛视觉含义，缺少摄影器材证据
26,6761849710943077382,Shelley Harris,https://cn--xtb.noxinfluencer.com/tiktok/channel/6761849710943077382,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
27,7010887368409252869,Chris,https://cn--xtb.noxinfluencer.com/tiktok/channel/7010887368409252869,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
28,7181011350175974442,Eternal By Elliott,https://cn--xtb.noxinfluencer.com/tiktok/channel/7181011350175974442,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
29,6804130590990074886,DACIA,https://cn--xtb.noxinfluencer.com/tiktok/channel/6804130590990074886,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
30,7263103201578206251,Joey Jiem,https://cn--xtb.noxinfluencer.com/tiktok/channel/7263103201578206251,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
33,6736676178805081094,Alexz Roze,https://cn--xtb.noxinfluencer.com/tiktok/channel/6736676178805081094,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
35,7483744936780629038,kylee 📸🌞,https://cn--xtb.noxinfluencer.com/tiktok/channel/7483744936780629038,0,badcase,仅有摄影表情符号，缺少可验证相关标签
36,6748046654705976326,johnnie.izquierdo,https://cn--xtb.noxinfluencer.com/tiktok/channel/6748046654705976326,0,badcase,舞蹈娱乐向，与摄影器材推广目标不匹配
38,6780121850125108230,Gabriel Rosanio,https://cn--xtb.noxinfluencer.com/tiktok/channel/6780121850125108230,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
39,7054260171886822405,Drew Cobert,https://cn--xtb.noxinfluencer.com/tiktok/channel/7054260171886822405,0,badcase,桌面收纳/旅行向，和摄影器材推广关联弱
40,7479674266293634094,CypixVisuals,https://cn--xtb.noxinfluencer.com/tiktok/channel/7479674266293634094,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
41,7541084480875054135,Shahoug,https://cn--xtb.noxinfluencer.com/tiktok/channel/7541084480875054135,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
42,6766852769686815749,Tom Sochan,https://cn--xtb.noxinfluencer.com/tiktok/channel/6766852769686815749,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
44,7194441517603226625,The sufferer,https://cn--xtb.noxinfluencer.com/tiktok/channel/7194441517603226625,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
46,6737464115356861445,Mackenzie Cole,https://cn--xtb.noxinfluencer.com/tiktok/channel/6737464115356861445,0,badcase,无相关标签和标题，缺乏摄影器材推广证据
