rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,6827237472940049414,Yiyongtai,https://cn.noxinfluencer.com/tiktok/channel/6827237472940049414,0,badcase,婴童内容为主，和充电宝关联弱
11,7054809647362901039,ToyTokLabs,https://cn.noxinfluencer.com/tiktok/channel/7054809647362901039,5,badcase,ASMR+玩具为主，物理产品促销场景不合
15,7485393961310798890,Universe,https://cn.noxinfluencer.com/tiktok/channel/7485393961310798890,5,badcase,塔罗娱乐号，充电宝词命中但主题不匹配
22,7208540846726530091,Cat,https://cn.noxinfluencer.com/tiktok/channel/7208540846726530091,-15,badcase,卡通娱乐号，和充电宝无关
23,7444477157344789547,Daily Wow,https://cn.noxinfluencer.com/tiktok/channel/7444477157344789547,5,badcase,少儿动画号，充电宝不适合作为主投放
24,7268191096718394410,👑 WALI KING 👑,https://cn.noxinfluencer.com/tiktok/channel/7268191096718394410,0,badcase,泛娱乐号，缺少产品导向
26,7273922369533592618,Delilah,https://cn.noxinfluencer.com/tiktok/channel/7273922369533592618,0,badcase,宗教氛围号，缺少数码消费品信号
27,6571832780023463942,MKDailyDealz,https://cn.noxinfluencer.com/tiktok/channel/6571832780023463942,0,badcase,挑战/烘焙泛娱乐号，和充电宝无关
28,7310425618318689323,Jasper Ecomm,https://cn.noxinfluencer.com/tiktok/channel/7310425618318689323,0,badcase,无标签无视频，无法支撑相关性
31,7470044497372546094,neleus007,https://cn.noxinfluencer.com/tiktok/channel/7470044497372546094,0,badcase,无标签与视频信息，无法判断
32,11812010,Sophia68,https://cn.noxinfluencer.com/tiktok/channel/11812010,0,badcase,绿幕工具号，无充电宝主题信号
33,6900937326580974598,tonytechtok,https://cn.noxinfluencer.com/tiktok/channel/6900937326580974598,-5,badcase,娱乐向内容，不是数码产品推广场景
35,7278659529465070638,PisenOffical,https://cn.noxinfluencer.com/tiktok/channel/7278659529465070638,-15,badcase,宠物内容，和人用充电宝受众不匹配
36,7466903382941221934,American Hillbilly,https://cn.noxinfluencer.com/tiktok/channel/7466903382941221934,0,badcase,无标签信息，缺少相关性证据
39,7332239711506252846,aurasagrada,https://cn.noxinfluencer.com/tiktok/channel/7332239711506252846,-15,badcase,影视故事号，与充电宝推广不匹配
41,6838036522399319046,discovershops,https://cn.noxinfluencer.com/tiktok/channel/6838036522399319046,0,badcase,魔术表演号，缺少消费电子推广线索
42,7528289440533742647,Elodie,https://cn.noxinfluencer.com/tiktok/channel/7528289440533742647,0,badcase,无标签无视频信息
44,6817495245267043333,Benjamin Zuniga,https://cn.noxinfluencer.com/tiktok/channel/6817495245267043333,0,badcase,营销教程号，不是数码产品种草场景
45,6816843149085934598,Just Jim | Poppy | Gen❌,https://cn.noxinfluencer.com/tiktok/channel/6816843149085934598,0,badcase,家庭喜剧号，和充电宝推广不匹配
47,7133546263110239275,GREEN utilities shop,https://cn.noxinfluencer.com/tiktok/channel/7133546263110239275,0,badcase,纯搞笑标签，无充电宝信号
48,7275732,⛩️®️Sorrentino⛩️,https://cn.noxinfluencer.com/tiktok/channel/7275732,0,badcase,无标签无视频信息
49,7477652970326082606,DarwinRTX,https://cn.noxinfluencer.com/tiktok/channel/7477652970326082606,0,badcase,无标签无视频信息
53,7314128608539771946,BezosMax,https://cn.noxinfluencer.com/tiktok/channel/7314128608539771946,0,badcase,无相关标签或内容证据
55,7524027231427249207,Opee,https://cn.noxinfluencer.com/tiktok/channel/7524027231427249207,0,badcase,无相关标签或内容证据
58,7480950022071452714,Rained,https://cn.noxinfluencer.com/tiktok/channel/7480950022071452714,0,badcase,无相关标签或内容证据
59,7216274541550371886,tkshopuscc,https://cn.noxinfluencer.com/tiktok/channel/7216274541550371886,-15,badcase,故事儿童向，与充电宝推广不相符
60,7553098064891364407,rvctz918,https://cn.noxinfluencer.com/tiktok/channel/7553098064891364407,0,badcase,无相关标签或内容证据
61,7336555460940661802,🌟Hayla Home 🏠,https://cn.noxinfluencer.com/tiktok/channel/7336555460940661802,0,badcase,无相关标签或内容证据
63,6655495172782309381,GP Picks | UGC Creator,https://cn.noxinfluencer.com/tiktok/channel/6655495172782309381,0,badcase,滑板运动向，相关证据太弱
66,7553250370416510007,cehgk114,https://cn.noxinfluencer.com/tiktok/channel/7553250370416510007,0,badcase,无相关标签或内容证据
67,7570795647156487223,expressdealsshop,https://cn.noxinfluencer.com/tiktok/channel/7570795647156487223,0,badcase,无相关标签或内容证据
70,7337704272752772139,hogh4597sg7,https://cn.noxinfluencer.com/tiktok/channel/7337704272752772139,5,badcase,虽有充电宝词，但娱乐内容强冲突
71,7317454385306666030,𝓡𝓸𝔁𝔂 & 𝓐𝓷𝓭𝔂❤️,https://cn.noxinfluencer.com/tiktok/channel/7317454385306666030,0,badcase,无相关标签或内容证据
73,7469642072881792046,Cute girl 💕💕,https://cn.noxinfluencer.com/tiktok/channel/7469642072881792046,0,badcase,无相关标签或内容证据
75,6996705744595862534,Shine,https://cn.noxinfluencer.com/tiktok/channel/6996705744595862534,-15,badcase,娱乐剧情向，带货场景不匹配
76,7447326017309754410,ruine46735,https://cn.noxinfluencer.com/tiktok/channel/7447326017309754410,0,badcase,无标签无内容证据
79,7319782188739888171,misskuyy8,https://cn.noxinfluencer.com/tiktok/channel/7319782188739888171,0,badcase,无标签无内容证据
83,7106350454797419566,mimo mo,https://cn.noxinfluencer.com/tiktok/channel/7106350454797419566,0,badcase,无标签无内容证据
87,7378332620306301995,hfjsj35256,https://cn.noxinfluencer.com/tiktok/channel/7378332620306301995,-13,badcase,娱乐导向明显，不适合推充电宝
88,7319753036354962478,Simon,https://cn.noxinfluencer.com/tiktok/channel/7319753036354962478,0,badcase,无标签无内容证据
89,7352273755090256938,bravens shop,https://cn.noxinfluencer.com/tiktok/channel/7352273755090256938,0,badcase,无标签无内容证据
90,6767084859585545222,futvollo,https://cn.noxinfluencer.com/tiktok/channel/6767084859585545222,-15,badcase,宠物娱乐内容，与人用充电宝不符
91,15047729,Womp womp womp,https://cn.noxinfluencer.com/tiktok/channel/15047729,0,badcase,无标签无内容证据
92,7168372724997751854,genxjames79,https://cn.noxinfluencer.com/tiktok/channel/7168372724997751854,0,badcase,无标签无内容证据
93,7146718370967077930,Mind Blowers,https://cn.noxinfluencer.com/tiktok/channel/7146718370967077930,0,badcase,无标签无内容证据
94,7303554295890658350,roshopfinds,https://cn.noxinfluencer.com/tiktok/channel/7303554295890658350,0,badcase,无标签无内容证据
95,7446639043557934122,Fast Finds,https://cn.noxinfluencer.com/tiktok/channel/7446639043557934122,0,badcase,无标签无内容证据
100,6731010242437596166,Dylanbamwham,https://cn.noxinfluencer.com/tiktok/channel/6731010242437596166,0,badcase,无标签无内容证据
101,6974271374974616581,Sixthgu.USA,https://cn.noxinfluencer.com/tiktok/channel/6974271374974616581,0,badcase,无标签无内容证据，难判断为充电宝相关创作者
102,6754136976410952709,Paul Roth,https://cn.noxinfluencer.com/tiktok/channel/6754136976410952709,-12,badcase,工地/施工ASMR，属于强格式错配，不适合做充电宝投放
104,7415588600493311022,Miguel Li,https://cn.noxinfluencer.com/tiktok/channel/7415588600493311022,0,badcase,无标签无内容证据，相关性不足
105,7252972047206171691,Health Palace,https://cn.noxinfluencer.com/tiktok/channel/7252972047206171691,0,badcase,健身/武术内容，和充电宝推广关联弱
106,7480094567115752490,👱‍♂️Bob's Select Shop,https://cn.noxinfluencer.com/tiktok/channel/7480094567115752490,0,badcase,无标签无内容证据，难判断
107,7341628202828432426,nerdyshops,https://cn.noxinfluencer.com/tiktok/channel/7341628202828432426,0,badcase,无标签无内容证据，难判断
108,7107490903569237035,Avis,https://cn.noxinfluencer.com/tiktok/channel/7107490903569237035,0,badcase,偏二次元周边/包袋，和充电宝推广关联弱
111,6734824120112481286,Alex Busel,https://cn.noxinfluencer.com/tiktok/channel/6734824120112481286,0,badcase,游戏娱乐为主，shop 词太泛，充电宝投放证据弱
113,6630111891124994053,🇵🇷👑saucy_jenny👑🇵🇷,https://cn.noxinfluencer.com/tiktok/channel/6630111891124994053,0,badcase,无标签无内容证据，相关性不足
114,6600118960288055302,thunder_mari262,https://cn.noxinfluencer.com/tiktok/channel/6600118960288055302,0,badcase,宗教内容为主，和充电宝推广场景不匹配
116,7470525663872779307,lepoja,https://cn.noxinfluencer.com/tiktok/channel/7470525663872779307,0,badcase,无标签无内容证据，相关性不足
117,6805803076895114245,Windbreaker,https://cn.noxinfluencer.com/tiktok/channel/6805803076895114245,0,badcase,宗教/情感内容为主，不适合充电宝投放
120,7260796191194891310,atoma.shop,https://cn.noxinfluencer.com/tiktok/channel/7260796191194891310,0,badcase,无标签无内容证据，相关性不足
121,167972683761008640,Tori Meigh🌷,https://cn.noxinfluencer.com/tiktok/channel/167972683761008640,0,badcase,无标签无内容证据，相关性不足
123,6807302147051766789,TikShopNDealz,https://cn.noxinfluencer.com/tiktok/channel/6807302147051766789,0,badcase,娱乐剪辑/梗图向，和充电宝推广不匹配
124,7165687629845136427,Leakzz,https://cn.noxinfluencer.com/tiktok/channel/7165687629845136427,0,badcase,无标签无内容证据，相关性不足
125,6736658720295879685,KeganMcKenna,https://cn.noxinfluencer.com/tiktok/channel/6736658720295879685,0,badcase,健身娱乐向，与充电宝投放关联弱
126,7308017980344271915,Gggoge,https://cn.noxinfluencer.com/tiktok/channel/7308017980344271915,0,badcase,无标签无内容，缺少 power bank 推广依据
127,7482825999234090030,funny cat,https://cn.noxinfluencer.com/tiktok/channel/7482825999234090030,0,badcase,宠物娱乐向，与充电宝投放不匹配
128,6937436307270583301,YuniHector🫧🤍🇨🇺,https://cn.noxinfluencer.com/tiktok/channel/6937436307270583301,0,badcase,美妆时尚向，和充电宝目标人群不相关
129,7093875216217392170,On The Radar,https://cn.noxinfluencer.com/tiktok/channel/7093875216217392170,0,badcase,健康营养向，和充电宝关联很弱
130,7541643756613764109,Manusa,https://cn.noxinfluencer.com/tiktok/channel/7541643756613764109,0,badcase,无标签无内容，无法判断
