rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,6827237472940049414,Yiyongtai,https://cn--xtb.noxinfluencer.com/tiktok/channel/6827237472940049414,0,badcase,婴童内容与充电宝推广无关
10,7054809647362901039,ToyTokLabs,https://cn--xtb.noxinfluencer.com/tiktok/channel/7054809647362901039,5,badcase,ASMR玩具号，格式不适合充电宝带货
14,7208540846726530091,Cat,https://cn--xtb.noxinfluencer.com/tiktok/channel/7208540846726530091,-10,badcase,纯动画娱乐，和充电宝推广无关
15,7268191096718394410,👑 WALI KING 👑,https://cn--xtb.noxinfluencer.com/tiktok/channel/7268191096718394410,-10,badcase,泛娱乐号，和充电宝推广无关
18,6571832780023463942,MKDailyDealz,https://cn--xtb.noxinfluencer.com/tiktok/channel/6571832780023463942,0,badcase,挑战热梗内容与充电宝无关
19,7273922369533592618,Delilah,https://cn--xtb.noxinfluencer.com/tiktok/channel/7273922369533592618,0,badcase,宗教内容与充电宝推广无关
20,7106350454797419566,mimo mo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7106350454797419566,0,badcase,泛互动内容，与充电宝无关
21,6900937326580974598,tonytechtok,https://cn--xtb.noxinfluencer.com/tiktok/channel/6900937326580974598,-5,badcase,娱乐号，缺少数码产品场景
22,11812010,Sophia68,https://cn--xtb.noxinfluencer.com/tiktok/channel/11812010,0,badcase,绿幕号无产品场景，相关度低
23,7470044497372546094,neleus007,https://cn--xtb.noxinfluencer.com/tiktok/channel/7470044497372546094,0,badcase,无标签无内容证据，无法判断适配
25,7278659529465070638,PisenOffical,https://cn--xtb.noxinfluencer.com/tiktok/channel/7278659529465070638,0,badcase,宠物内容与充电宝推广无关
26,7002589492197196805,JoJo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7002589492197196805,0,badcase,耳机壳配件为主，与充电宝促销不相关
27,7466903382941221934,American Hillbilly,https://cn--xtb.noxinfluencer.com/tiktok/channel/7466903382941221934,0,badcase,无可用内容信号
29,6937436307270583301,YuniHector🫧🤍🇨🇺,https://cn--xtb.noxinfluencer.com/tiktok/channel/6937436307270583301,0,badcase,美妆为主，与充电宝无关
30,6817495245267043333,Benjamin Zuniga,https://cn--xtb.noxinfluencer.com/tiktok/channel/6817495245267043333,0,badcase,商业泛内容，缺少充电宝场景或产品信号
31,7528289440533742647,Elodie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7528289440533742647,0,badcase,无可用内容信号
33,7485393961310798890,Universe,https://cn--xtb.noxinfluencer.com/tiktok/channel/7485393961310798890,5,badcase,占卜娱乐为主，power bank 仅弱露出
