rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,7234685955753018414,Delaney Bader,https://cn.noxinfluencer.com/tiktok/channel/7234685955753018414,0,badcase,无标签无内容，缺少相关性证据
7,6776342146234139654,iamlexxlovelyy,https://cn.noxinfluencer.com/tiktok/channel/6776342146234139654,-15,badcase,娱乐舞蹈向，和健身器材推广场景不匹配
10,7000091584018859014,Coach Mandy-CPT BCS WFS CGFI🌻,https://cn.noxinfluencer.com/tiktok/channel/7000091584018859014,0,badcase,仅见名称无标签内容，证据不足
14,7061787527088751662,Dawn Dooley 💫,https://cn.noxinfluencer.com/tiktok/channel/7061787527088751662,0,badcase,无标签无内容，证据不足
17,7266471440001336366,matthewjenks6,https://cn.noxinfluencer.com/tiktok/channel/7266471440001336366,0,badcase,仅有单一无关标签，缺少相关性
18,7321540776861041710,The Kneehaber,https://cn.noxinfluencer.com/tiktok/channel/7321540776861041710,0,badcase,无标签无内容，缺少相关性证据
19,6984726712446075910,Geraldine,https://cn.noxinfluencer.com/tiktok/channel/6984726712446075910,-10,badcase,玩具内容，和阻力带推广明显不相关
23,6837170391283975174,Yoseiris Nuñez,https://cn.noxinfluencer.com/tiktok/channel/6837170391283975174,0,badcase,无标签无内容，缺少相关性证据
25,7423598942741742635,DELETED,https://cn.noxinfluencer.com/tiktok/channel/7423598942741742635,0,badcase,已删除账号，无法判断相关性
27,7345862134191883310,,https://cn.noxinfluencer.com/tiktok/channel/7345862134191883310,0,badcase,无标签无内容，无法判断相关性
29,259425546831351808,Tiny Tina,https://cn.noxinfluencer.com/tiktok/channel/259425546831351808,0,badcase,无标签无内容，无法判断相关性
30,7456995809178993710,mymy012341,https://cn.noxinfluencer.com/tiktok/channel/7456995809178993710,0,badcase,无标签无内容，无法判断相关性
33,7051282989082264582,Victoria R | Wife | 40 sumthin,https://cn.noxinfluencer.com/tiktok/channel/7051282989082264582,0,badcase,无标签无内容，无法判断相关性
35,6814697140763198470,Angela K,https://cn.noxinfluencer.com/tiktok/channel/6814697140763198470,0,badcase,无标签无内容，无法判断相关性
37,6633071586616918022,🐓☕️Sarah☕️🐥,https://cn.noxinfluencer.com/tiktok/channel/6633071586616918022,0,badcase,无标签无内容，无法判断相关性
38,7319830601835381806,vcxz,https://cn.noxinfluencer.com/tiktok/channel/7319830601835381806,-5,badcase,纯搞笑内容，缺少健身器材场景
39,6810932770191229957,Khadka Ko Chori❤️,https://cn.noxinfluencer.com/tiktok/channel/6810932770191229957,0,badcase,无标签无内容，无法判断相关性
40,7042826700925649926,Kat | My Housewife Era,https://cn.noxinfluencer.com/tiktok/channel/7042826700925649926,0,badcase,无标签无内容，无法判断相关性
42,6917031090323817478,Teresa Neace,https://cn.noxinfluencer.com/tiktok/channel/6917031090323817478,-10,badcase,母婴频道，和成人阻力带受众不符
46,7379133511591429162,Alynas Aesthetic,https://cn.noxinfluencer.com/tiktok/channel/7379133511591429162,0,badcase,无标签无内容，无法判断相关性
47,7159935891473286187,vibinwithmonica,https://cn.noxinfluencer.com/tiktok/channel/7159935891473286187,0,badcase,无标签无内容，无法判断相关性
53,6823340528781198341,made by emma k,https://cn.noxinfluencer.com/tiktok/channel/6823340528781198341,0,badcase,贴纸店铺，和阻力带品类及受众都不匹配
54,6977049512154366981,🌿 Lyric Lover 🌙,https://cn.noxinfluencer.com/tiktok/channel/6977049512154366981,0,badcase,无标签无内容证据，难判断为健身器材受众
61,7400668013610222634,Vanessa Stevens,https://cn.noxinfluencer.com/tiktok/channel/7400668013610222634,0,badcase,无标签无内容证据，难支撑投放
66,7491165238160049194,YiJia Sports,https://cn.noxinfluencer.com/tiktok/channel/7491165238160049194,0,badcase,无标签无内容证据，难判断受众
67,6797828010889413638,Brittany Daigrepont,https://cn.noxinfluencer.com/tiktok/channel/6797828010889413638,0,badcase,无标签无内容证据，难判断受众
70,7491658568903853099,JILIDAKE,https://cn.noxinfluencer.com/tiktok/channel/7491658568903853099,0,badcase,无标签无内容证据，难判断受众
77,7467949258769269802,Natalie 🦋,https://cn.noxinfluencer.com/tiktok/channel/7467949258769269802,0,badcase,无标签无内容证据，缺乏推广阻力带的相关性
118,6984230198426289158,Battle Bunker,https://cn.noxinfluencer.com/tiktok/channel/6984230198426289158,0,badcase,标签缺失，相关性无法成立
123,7512079579638170655,PerChoi Fitness,https://cn.noxinfluencer.com/tiktok/channel/7512079579638170655,0,badcase,标签缺失，相关性无法成立
133,6973639052118164486,SOULAIRA,https://cn.noxinfluencer.com/tiktok/channel/6973639052118164486,-8,badcase,twerk/娱乐导向，和器械推广不匹配
136,7488175679847547946,palhealthtip,https://cn.noxinfluencer.com/tiktok/channel/7488175679847547946,0,badcase,无标签与视频证据
145,7091370762964091947,Nick Nilsson,https://cn.noxinfluencer.com/tiktok/channel/7091370762964091947,0,badcase,无标签证据
153,7487451812304438315,healtoyezpd,https://cn.noxinfluencer.com/tiktok/channel/7487451812304438315,0,badcase,无有效标签或内容证据，相关性不足。
160,7521782203833353247,Artem | Fitness Coach,https://cn.noxinfluencer.com/tiktok/channel/7521782203833353247,0,badcase,缺少标签与内容证据，相关性很弱。
163,7485389627693040682,taichinili,https://cn.noxinfluencer.com/tiktok/channel/7485389627693040682,0,badcase,无有效标签或视频，难支撑投放判断。
182,6805552442782434309,Rhythm,https://cn.noxinfluencer.com/tiktok/channel/6805552442782434309,-10,badcase,娱乐舞蹈向，和阻力带推广场景不匹配
183,6908521562979566597,headovrhill,https://cn.noxinfluencer.com/tiktok/channel/6908521562979566597,0,badcase,旅行生活类，缺少健身或器材推广信号
185,6653188659494780934,bec4u2nv,https://cn.noxinfluencer.com/tiktok/channel/6653188659494780934,-15,badcase,猫牵引/娱乐内容，和人用阻力带明显不符
187,7238095286337340459,MGDCASE,https://cn.noxinfluencer.com/tiktok/channel/7238095286337340459,0,badcase,手机配件类，和阻力带品类无关
206,7010448956296791045,Nikki,https://cn.noxinfluencer.com/tiktok/channel/7010448956296791045,0,badcase,宗教家庭号，与弹力带推广无关
207,6817165003234411526,Tracey Ferrin,https://cn.noxinfluencer.com/tiktok/channel/6817165003234411526,0,badcase,疾病科普向，缺少训练器械场景
210,6795989618648630277,Dennis Johnson,https://cn.noxinfluencer.com/tiktok/channel/6795989618648630277,0,badcase,无标签无内容信号，无法判断
218,7583972527103116343,heei_w_e_n_d_y,https://cn.noxinfluencer.com/tiktok/channel/7583972527103116343,0,badcase,无标签无内容信号，无法判断
229,6907702171668857861,EmilyEisenach,https://cn.noxinfluencer.com/tiktok/channel/6907702171668857861,0,badcase,母婴穿搭号，缺少训练器材证据
232,7514289069758039083,Aimia,https://cn.noxinfluencer.com/tiktok/channel/7514289069758039083,0,badcase,无标签无内容，缺少健身证据
233,7190925905512891434,oldheadhc,https://cn.noxinfluencer.com/tiktok/channel/7190925905512891434,-15,badcase,音乐娱乐号，与运动产品推广不相干
234,7494349394515510303,JenJen,https://cn.noxinfluencer.com/tiktok/channel/7494349394515510303,0,badcase,美妆购物号，和健身器材类目不匹配
236,6802009696574096390,GiaShopBestie🕊️,https://cn.noxinfluencer.com/tiktok/channel/6802009696574096390,0,badcase,购物美妆号，和运动器材关联弱
237,7397952439984522283,getawaysnatches,https://cn.noxinfluencer.com/tiktok/channel/7397952439984522283,0,badcase,无标签且无内容，证据不足
240,7179700607947473966,Steff’s 🫜 Clean Living Market,https://cn.noxinfluencer.com/tiktok/channel/7179700607947473966,0,badcase,生活方式/食品号，和健身器材不相关
250,7047879887429321775,The Godfrey Method,https://cn.noxinfluencer.com/tiktok/channel/7047879887429321775,0,badcase,舞蹈娱乐号，和阻力带推广不匹配
