rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,6776342146234139654,iamlexxlovelyy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6776342146234139654,-15,badcase,娱乐舞蹈号，和健身器械推广明显不符
7,7234685955753018414,Delaney Bader,https://cn--xtb.noxinfluencer.com/tiktok/channel/7234685955753018414,0,badcase,无标签无内容，缺少相关性证据
8,6815726224506422278,MilSpouse 🇺🇸 Queen,https://cn--xtb.noxinfluencer.com/tiktok/channel/6815726224506422278,0,badcase,穿搭/泳装内容，和阻力带推广关联很弱
10,7000091584018859014,Coach Mandy-CPT BCS WFS CGFI🌻,https://cn--xtb.noxinfluencer.com/tiktok/channel/7000091584018859014,0,badcase,无可用标签和视频信息
11,7396069851901494314,shoedad23,https://cn--xtb.noxinfluencer.com/tiktok/channel/7396069851901494314,0,badcase,杂类内容，缺少健身或器械相关信号
15,7345862134191883310,,https://cn--xtb.noxinfluencer.com/tiktok/channel/7345862134191883310,0,badcase,无标签无内容，无法判断
16,7266471440001336366,matthewjenks6,https://cn--xtb.noxinfluencer.com/tiktok/channel/7266471440001336366,0,badcase,仅有杂项标签，和产品无关
17,7321540776861041710,The Kneehaber,https://cn--xtb.noxinfluencer.com/tiktok/channel/7321540776861041710,0,badcase,无内容信号，相关性不足
18,6918401631194366981,thelifeofshamekalovett,https://cn--xtb.noxinfluencer.com/tiktok/channel/6918401631194366981,0,badcase,生活方式/美妆/书籍内容，和阻力带不匹配
19,7372848256013534226,skincare,https://cn--xtb.noxinfluencer.com/tiktok/channel/7372848256013534226,0,badcase,泛推广号但品类匹配度低
20,6900523971013690370,😜ДОБРОКОТ 😜,https://cn--xtb.noxinfluencer.com/tiktok/channel/6900523971013690370,0,badcase,标签内容不可用，缺少相关性
21,7061787527088751662,Dawn Dooley 💫,https://cn--xtb.noxinfluencer.com/tiktok/channel/7061787527088751662,0,badcase,无标签无内容
22,7554218541084738573,user7041961383347,https://cn--xtb.noxinfluencer.com/tiktok/channel/7554218541084738573,0,badcase,无标签无内容
23,7562975658877125687,midnightsteals,https://cn--xtb.noxinfluencer.com/tiktok/channel/7562975658877125687,0,badcase,无内容证据，相关性不足
25,259425546831351808,Tiny Tina,https://cn--xtb.noxinfluencer.com/tiktok/channel/259425546831351808,0,badcase,无标签无内容
26,6984726712446075910,Geraldine,https://cn--xtb.noxinfluencer.com/tiktok/channel/6984726712446075910,-15,badcase,玩具/水枪内容与人用阻力带受众不符
27,6618941265474846726,Amber | Fitness 💋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6618941265474846726,0,badcase,无标签和视频证据，难以支持阻力带推广
28,6671774520652595205,Ally,https://cn--xtb.noxinfluencer.com/tiktok/channel/6671774520652595205,0,badcase,无标签和视频证据，难以支持阻力带推广
30,6837170391283975174,Yoseiris Nuñez,https://cn--xtb.noxinfluencer.com/tiktok/channel/6837170391283975174,0,badcase,无标签和视频证据，难以支持阻力带推广
31,199861641264459776,MEL,https://cn--xtb.noxinfluencer.com/tiktok/channel/199861641264459776,0,badcase,无标签和视频证据，难以支持阻力带推广
32,7354982598680871979,bliss.komorebi,https://cn--xtb.noxinfluencer.com/tiktok/channel/7354982598680871979,0,badcase,无标签和视频证据，难以支持阻力带推广
33,7559548189729981495,emotionalsuport,https://cn--xtb.noxinfluencer.com/tiktok/channel/7559548189729981495,-15,badcase,宗教内容与健身器材推广场景明显不符
34,7423598942741742635,DELETED,https://cn--xtb.noxinfluencer.com/tiktok/channel/7423598942741742635,0,badcase,无标签和视频证据，难以支持阻力带推广
35,73601469760876544,adonis.bernardq,https://cn--xtb.noxinfluencer.com/tiktok/channel/73601469760876544,0,badcase,仅有剪辑工具标签，与阻力带推广无关
37,6982734277768119302,Brooke Daniels,https://cn--xtb.noxinfluencer.com/tiktok/channel/6982734277768119302,0,badcase,无标签和视频证据，难以支持阻力带推广
38,7485212588165039150,rebirth951,https://cn--xtb.noxinfluencer.com/tiktok/channel/7485212588165039150,0,badcase,无标签和视频证据，难以支持阻力带推广
41,731473,msajkdadh25,https://cn--xtb.noxinfluencer.com/tiktok/channel/731473,0,badcase,无标签和视频证据，难以支持阻力带推广
42,7051282989082264582,Victoria R | Wife | 40 sumthin,https://cn--xtb.noxinfluencer.com/tiktok/channel/7051282989082264582,0,badcase,无标签和视频证据，难以支持阻力带推广
43,7456995809178993710,mymy012341,https://cn--xtb.noxinfluencer.com/tiktok/channel/7456995809178993710,0,badcase,无标签和视频证据，难以支持阻力带推广
44,6633071586616918022,🐓☕️Sarah☕️🐥,https://cn--xtb.noxinfluencer.com/tiktok/channel/6633071586616918022,0,badcase,无标签和视频证据，难以支持阻力带推广
46,6810932770191229957,Khadka Ko Chori❤️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6810932770191229957,0,badcase,无标签和视频证据，难以支持阻力带推广
47,7042826700925649926,Kat | My Housewife Era,https://cn--xtb.noxinfluencer.com/tiktok/channel/7042826700925649926,0,badcase,无标签和视频证据，难以支持阻力带推广
50,6814697140763198470,Angela K,https://cn--xtb.noxinfluencer.com/tiktok/channel/6814697140763198470,0,badcase,无标签和视频证据，难以支持阻力带推广
55,7379133511591429162,Alynas Aesthetic,https://cn--xtb.noxinfluencer.com/tiktok/channel/7379133511591429162,0,badcase,无标签无内容线索，相关性不足
57,6917031090323817478,Teresa Neace,https://cn--xtb.noxinfluencer.com/tiktok/channel/6917031090323817478,0,badcase,母婴向人群，和成人健身器材匹配弱
60,7159935891473286187,vibinwithmonica,https://cn--xtb.noxinfluencer.com/tiktok/channel/7159935891473286187,0,badcase,无标签无内容，难判断为相关频道
61,6977049512154366981,🌿 Lyric Lover 🌙,https://cn--xtb.noxinfluencer.com/tiktok/channel/6977049512154366981,0,badcase,无标签无内容，难判断为相关频道
63,7319830601835381806,vcxz,https://cn--xtb.noxinfluencer.com/tiktok/channel/7319830601835381806,0,badcase,纯娱乐向，缺少产品推广相关性
66,7400668013610222634,Vanessa Stevens,https://cn--xtb.noxinfluencer.com/tiktok/channel/7400668013610222634,0,badcase,无标签无内容，相关证据不足
68,6797828010889413638,Brittany Daigrepont,https://cn--xtb.noxinfluencer.com/tiktok/channel/6797828010889413638,0,badcase,无标签无内容，相关证据不足
69,7467949258769269802,Natalie 🦋,https://cn--xtb.noxinfluencer.com/tiktok/channel/7467949258769269802,0,badcase,无标签无内容，相关证据不足
70,7491658568903853099,JILIDAKE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7491658568903853099,0,badcase,无标签无内容，相关证据不足
81,100813868431536128,izarfvprrs,https://cn--xtb.noxinfluencer.com/tiktok/channel/100813868431536128,0,badcase,无标签无内容线索，相关性不足
82,119745569878638592,Melody Rae Kandil,https://cn--xtb.noxinfluencer.com/tiktok/channel/119745569878638592,-5,badcase,舞蹈娱乐向，和阻力带推广不匹配
84,18978012,Gavin Cocca,https://cn--xtb.noxinfluencer.com/tiktok/channel/18978012,0,badcase,无标签无内容线索，相关性不足
86,208120895486296064,Gwen,https://cn--xtb.noxinfluencer.com/tiktok/channel/208120895486296064,0,badcase,无标签无内容线索，相关性不足
92,6488447077574509577,Jet Suit,https://cn--xtb.noxinfluencer.com/tiktok/channel/6488447077574509577,0,badcase,无标签无内容线索，相关性不足
93,6523410720096206857,🇵🇸 ✝️ JBS-Tiktok Dad,https://cn--xtb.noxinfluencer.com/tiktok/channel/6523410720096206857,0,badcase,偏信息教育且缺少器材场景，不够相关
95,6532015704051286018,Gen❌ Marnie,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532015704051286018,0,badcase,无标签无内容线索，相关性不足
103,6595351352297455621,MzzHoneyVanilla_lives,https://cn--xtb.noxinfluencer.com/tiktok/channel/6595351352297455621,0,badcase,无标签无视频证据，相关性无法判断
105,6619890259353714694,Resilient_01,https://cn--xtb.noxinfluencer.com/tiktok/channel/6619890259353714694,0,badcase,无标签和视频证据
106,6627098501241765893,DINELOOKS DELIGHT,https://cn--xtb.noxinfluencer.com/tiktok/channel/6627098501241765893,0,badcase,无标签和视频证据
110,6653188659494780934,bec4u2nv,https://cn--xtb.noxinfluencer.com/tiktok/channel/6653188659494780934,-15,badcase,宠物/娱乐内容为主，与人用阻力带不匹配
111,6664403933345808389,Kenzie 🫶🏻,https://cn--xtb.noxinfluencer.com/tiktok/channel/6664403933345808389,0,badcase,无标签无视频证据
113,6671804224994590726,Hafdraugr,https://cn--xtb.noxinfluencer.com/tiktok/channel/6671804224994590726,0,badcase,无标签无视频证据
125,6722776713283322885,BDanberry,https://cn--xtb.noxinfluencer.com/tiktok/channel/6722776713283322885,0,badcase,无标签无视频证据
126,6726721577461957637,Matthew Maloney,https://cn--xtb.noxinfluencer.com/tiktok/channel/6726721577461957637,0,badcase,ACL康复医疗号，和阻力带促销场景不匹配
128,6730809760357450758,Buckleband,https://cn--xtb.noxinfluencer.com/tiktok/channel/6730809760357450758,0,badcase,无标签无内容证据，无法判断相关性
130,6732953155149415429,KNKMiami,https://cn--xtb.noxinfluencer.com/tiktok/channel/6732953155149415429,0,badcase,无有效标签与内容信号
131,6733481568210011142,AGOGIE,https://cn--xtb.noxinfluencer.com/tiktok/channel/6733481568210011142,0,badcase,无标签无内容证据，无法支持相关判断
132,6734078845945758726,manavmoves_,https://cn--xtb.noxinfluencer.com/tiktok/channel/6734078845945758726,0,badcase,娱乐向账号，和产品推广场景不匹配
135,6741404936199980037,Josh Thomas,https://cn--xtb.noxinfluencer.com/tiktok/channel/6741404936199980037,0,badcase,无标签无内容证据
139,6744029869967721478,Tre Fit,https://cn--xtb.noxinfluencer.com/tiktok/channel/6744029869967721478,0,badcase,无标签无内容证据
140,6745335318482404358,Brett,https://cn--xtb.noxinfluencer.com/tiktok/channel/6745335318482404358,-10,badcase,娱乐舞蹈号，和阻力带促销不相符
141,6745456927008965637,mypoeticsol,https://cn--xtb.noxinfluencer.com/tiktok/channel/6745456927008965637,0,badcase,无标签无内容证据
144,6747720145395385350,Airrosti,https://cn--xtb.noxinfluencer.com/tiktok/channel/6747720145395385350,0,badcase,无标签无内容证据
145,6747834953133720581,Jason W,https://cn--xtb.noxinfluencer.com/tiktok/channel/6747834953133720581,0,badcase,无标签无内容证据
146,6748270173772432389,💪 HoekedOnPhonics,https://cn--xtb.noxinfluencer.com/tiktok/channel/6748270173772432389,0,badcase,无标签无内容证据
148,6751055177883698181,QuickBand,https://cn--xtb.noxinfluencer.com/tiktok/channel/6751055177883698181,0,badcase,无标签无内容证据
150,6754680360875197446,Becca🩷TTS🩷Athleisure🩷Life,https://cn--xtb.noxinfluencer.com/tiktok/channel/6754680360875197446,0,badcase,母婴生活向，缺少阻力带相关证据
151,6755126417623008262,Angela ☀️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6755126417623008262,0,badcase,无相关健身或产品信号
