rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,7466554637626377247,MeganLovesSakura,https://cn.noxinfluencer.com/tiktok/channel/7466554637626377247,0,badcase,无相关标签或内容，缺乏泳背心推广证据
6,7254996114373526570,Sophisticata - Professional,https://cn.noxinfluencer.com/tiktok/channel/7254996114373526570,0,badcase,无相关标签或内容
8,7481201544048133166,ellisreed5,https://cn.noxinfluencer.com/tiktok/channel/7481201544048133166,0,badcase,无相关标签或内容
13,7386381612387025963,Rumor has it,https://cn.noxinfluencer.com/tiktok/channel/7386381612387025963,-15,badcase,宠物向内容，非人用泳背心受众
17,7188638406054282282,Dante,https://cn.noxinfluencer.com/tiktok/channel/7188638406054282282,0,badcase,无明显相关标签或内容
19,7108029952239813678,rescuedogluna,https://cn.noxinfluencer.com/tiktok/channel/7108029952239813678,-10,badcase,疑似宠物救助频道，非人用泳背心受众
24,6980064067163718661,DOGGY•U,https://cn.noxinfluencer.com/tiktok/channel/6980064067163718661,-15,badcase,宠物训练账号，属于排除受众
26,6732254113767228422,Rutvi Patel,https://cn.noxinfluencer.com/tiktok/channel/6732254113767228422,0,badcase,地域标签，无商品或水上装备相关信号
28,6961789325525468165,Rina,https://cn.noxinfluencer.com/tiktok/channel/6961789325525468165,0,badcase,无标签无视频，缺少任何推广相关信号
30,7583171016562639927,FireFox Den,https://cn.noxinfluencer.com/tiktok/channel/7583171016562639927,0,badcase,无标签无视频，缺少任何推广相关信号
31,7202154457692390442,Kuoser Official,https://cn.noxinfluencer.com/tiktok/channel/7202154457692390442,0,badcase,无标签无视频，无法确认与人用 swim vest 相关
33,7369178683607188523,The Otto Show,https://cn.noxinfluencer.com/tiktok/channel/7369178683607188523,-10,badcase,娱乐向 show 形态，缺少商品推广场景
37,7481196503793861674,ZoeyJade,https://cn.noxinfluencer.com/tiktok/channel/7481196503793861674,0,badcase,无标签无视频，缺少任何推广相关信号
38,7247898411461444651,snicksnack28,https://cn.noxinfluencer.com/tiktok/channel/7247898411461444651,-10,badcase,喜剧娱乐内容为主，不适合物理产品推广
40,7022049823177327621,josiahramirez,https://cn.noxinfluencer.com/tiktok/channel/7022049823177327621,0,badcase,美妆单品向账号，与 swim vest 购买场景偏远
42,105978189688045569,sbv.shelby,https://cn.noxinfluencer.com/tiktok/channel/105978189688045569,0,badcase,无标签无视频，缺少任何推广相关信号
45,108878732177612800,RedandGolden,https://cn.noxinfluencer.com/tiktok/channel/108878732177612800,0,badcase,无标签无视频，缺少任何推广相关信号
46,108952986340524032,🖤ĂBǏ🖤,https://cn.noxinfluencer.com/tiktok/channel/108952986340524032,0,badcase,无标签无视频，缺少任何推广相关信号
48,121506223564193792,KimmyLud,https://cn.noxinfluencer.com/tiktok/channel/121506223564193792,-10,badcase,狗狗向娱乐内容，对人用 swim vest 属互斥
49,121897252503052288,Tavman,https://cn.noxinfluencer.com/tiktok/channel/121897252503052288,0,badcase,无标签无视频，缺少任何推广相关信号
50,123408874920964096,Kiana Champion,https://cn.noxinfluencer.com/tiktok/channel/123408874920964096,-10,badcase,story/comedy/dance 为主，娱乐形态与产品推广不匹配
51,124530919457067008,Shayna King,https://cn.noxinfluencer.com/tiktok/channel/124530919457067008,0,badcase,无标签和视频证据，相关性不足
53,136038455012257792,I AM OSKAR,https://cn.noxinfluencer.com/tiktok/channel/136038455012257792,0,badcase,无标签和视频证据，相关性不足
