rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,6833652383734711302,KDub,https://cn--xtb.noxinfluencer.com/tiktok/channel/6833652383734711302,2,badcase,母婴娱乐号，只有弱母婴线索，和泳背心不够相关
3,6816753753149457413,Sheena Nelson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6816753753149457413,0,badcase,无游泳、水上或产品证据，相关性不足
4,6807171401227142149,shdhgv1,https://cn--xtb.noxinfluencer.com/tiktok/channel/6807171401227142149,0,badcase,无游泳、水上或产品证据，相关性不足
8,7427497486499284014,NatPrep | Keller | LAC,https://cn--xtb.noxinfluencer.com/tiktok/channel/7427497486499284014,0,badcase,教育/备考类账号，与泳背心投放不相关
10,6777983576493442054,k.breezy___,https://cn--xtb.noxinfluencer.com/tiktok/channel/6777983576493442054,0,badcase,无游泳或产品场景证据，相关性不足
11,309614384761507840,A&L Safety Supply,https://cn--xtb.noxinfluencer.com/tiktok/channel/309614384761507840,-10,badcase,工地安防场景，和泳背心受众不匹配
13,7254996114373526570,Sophisticata - Professional,https://cn--xtb.noxinfluencer.com/tiktok/channel/7254996114373526570,0,badcase,无可识别品类或水上场景，相关性不足
17,7466554637626377247,MeganLovesSakura,https://cn--xtb.noxinfluencer.com/tiktok/channel/7466554637626377247,0,badcase,无游泳或产品场景证据，相关性不足
18,7481201544048133166,ellisreed5,https://cn--xtb.noxinfluencer.com/tiktok/channel/7481201544048133166,0,badcase,无游泳或产品场景证据，相关性不足
22,1733583,Francheska,https://cn--xtb.noxinfluencer.com/tiktok/channel/1733583,0,badcase,节日礼品号，与泳背心投放无直接关联
23,6791009584247079942,Kristen 🫶💕,https://cn--xtb.noxinfluencer.com/tiktok/channel/6791009584247079942,0,badcase,时尚礼品号，与泳背心投放无直接关联
26,7188638406054282282,Dante,https://cn--xtb.noxinfluencer.com/tiktok/channel/7188638406054282282,0,badcase,无标签无内容信号，难判断为泳背心推广号
28,7353303660804015146,Paddle Pals,https://cn--xtb.noxinfluencer.com/tiktok/channel/7353303660804015146,0,badcase,无标签无内容信号，相关度不足
30,7386381612387025963,Rumor has it,https://cn--xtb.noxinfluencer.com/tiktok/channel/7386381612387025963,-15,badcase,宠物犬内容，与人用泳背心互斥
32,7583171016562639927,FireFox Den,https://cn--xtb.noxinfluencer.com/tiktok/channel/7583171016562639927,0,badcase,无标签无内容信号，相关度不足
34,7108029952239813678,rescuedogluna,https://cn--xtb.noxinfluencer.com/tiktok/channel/7108029952239813678,0,badcase,无标签无内容信号，相关度不足
35,7481196503793861674,ZoeyJade,https://cn--xtb.noxinfluencer.com/tiktok/channel/7481196503793861674,0,badcase,无标签无内容信号，相关度不足
39,6732254113767228422,Rutvi Patel,https://cn--xtb.noxinfluencer.com/tiktok/channel/6732254113767228422,0,badcase,无标签无内容信号，相关度不足
43,6961789325525468165,Rina,https://cn--xtb.noxinfluencer.com/tiktok/channel/6961789325525468165,0,badcase,无标签无内容信号，相关度不足
44,6980064067163718661,DOGGY•U,https://cn--xtb.noxinfluencer.com/tiktok/channel/6980064067163718661,-15,badcase,宠物狗内容，与人用泳背心互斥
46,7022049823177327621,josiahramirez,https://cn--xtb.noxinfluencer.com/tiktok/channel/7022049823177327621,0,badcase,美妆睫毛号，与泳背心品类不相关
47,7202154457692390442,Kuoser Official,https://cn--xtb.noxinfluencer.com/tiktok/channel/7202154457692390442,0,badcase,疑似宠物品牌，但无泳背心相关证据
48,7247898411461444651,snicksnack28,https://cn--xtb.noxinfluencer.com/tiktok/channel/7247898411461444651,0,badcase,娱乐向内容，与实体产品推广不匹配
50,7369178683607188523,The Otto Show,https://cn--xtb.noxinfluencer.com/tiktok/channel/7369178683607188523,0,badcase,无标签无内容信号，相关度不足
54,6672483541018936325,breehoneycutt,https://cn--xtb.noxinfluencer.com/tiktok/channel/6672483541018936325,0,badcase,娱乐向，和泳背心推广不匹配
55,6705745274284999686,English Bulldog,https://cn--xtb.noxinfluencer.com/tiktok/channel/6705745274284999686,-15,badcase,犬类账号，和人用泳背心互斥
60,6811297671724188677,kikiblev 📱,https://cn--xtb.noxinfluencer.com/tiktok/channel/6811297671724188677,0,badcase,西部穿搭号，和泳背心无关
61,6819375834945045509,lorecepero,https://cn--xtb.noxinfluencer.com/tiktok/channel/6819375834945045509,0,badcase,环氧/车库内容，类目偏离明显
69,7036435623813432325,Zulekha Williams,https://cn--xtb.noxinfluencer.com/tiktok/channel/7036435623813432325,0,badcase,议题偏自闭症科普，类目不相关
71,7091060425571386410,ITAALE,https://cn--xtb.noxinfluencer.com/tiktok/channel/7091060425571386410,0,badcase,无标签无内容，无法判断相关性
72,7111561266590499886,Knucklehead,https://cn--xtb.noxinfluencer.com/tiktok/channel/7111561266590499886,-15,badcase,犬类账号，和人用泳背心互斥
73,7328395019098047530,Alissa (Алиса) Cane Corso,https://cn--xtb.noxinfluencer.com/tiktok/channel/7328395019098047530,-15,badcase,犬种账号，和人用泳背心互斥
76,7481944514455847978,elaraquinn4,https://cn--xtb.noxinfluencer.com/tiktok/channel/7481944514455847978,0,badcase,无标签、无视频证据，和人用泳衣背心关联很弱
77,7494995530625188894,ItsFurrito,https://cn--xtb.noxinfluencer.com/tiktok/channel/7494995530625188894,0,badcase,无标签、无视频证据，和人用泳衣背心关联很弱
78,7538775444406191118,Budget PVCFun,https://cn--xtb.noxinfluencer.com/tiktok/channel/7538775444406191118,0,badcase,无标签、无视频证据，和人用泳衣背心关联很弱
79,85353381732503552,Lisa Summers | Things to Do,https://cn--xtb.noxinfluencer.com/tiktok/channel/85353381732503552,0,badcase,本地生活号，和泳具推广关联不足
80,312533655418081280,Thepups,https://cn--xtb.noxinfluencer.com/tiktok/channel/312533655418081280,-15,badcase,宠物狗内容，和人用游泳背心人群互斥
82,6532037609202417666,Chelsea | Dog & Toddler Mom,https://cn--xtb.noxinfluencer.com/tiktok/channel/6532037609202417666,-15,badcase,纯狗向内容，和人用泳具互斥
83,6545236872423374854,Sayuma&Samyun mom💕,https://cn--xtb.noxinfluencer.com/tiktok/channel/6545236872423374854,0,badcase,无关的泛娱乐/音乐日常账号
84,6550690583973729280,Goma_kc,https://cn--xtb.noxinfluencer.com/tiktok/channel/6550690583973729280,0,badcase,无标签无内容证据
87,6592414414372585477,💫🦋bibhu_mom🦋💫,https://cn--xtb.noxinfluencer.com/tiktok/channel/6592414414372585477,0,badcase,孕产健康号，和泳具场景不够直接
90,6714890255550153734,Melissa,https://cn--xtb.noxinfluencer.com/tiktok/channel/6714890255550153734,0,badcase,无标签无内容证据
92,6733314917296915461,ahbb040,https://cn--xtb.noxinfluencer.com/tiktok/channel/6733314917296915461,0,badcase,无标签无内容证据
100,6785375264513475585,HELEN NEOPRENE,https://cn--xtb.noxinfluencer.com/tiktok/channel/6785375264513475585,0,badcase,无标签无内容证据
103,6791592869234033670,DESERAEKAY,https://cn--xtb.noxinfluencer.com/tiktok/channel/6791592869234033670,0,badcase,时尚健身向，缺少泳具/亲子证据
105,6803115047994737669,Courtney🛍️Real Life Comfort,https://cn--xtb.noxinfluencer.com/tiktok/channel/6803115047994737669,0,badcase,无标签和视频证据，相关性不足
106,6805189157120721926,Jessica Sobko,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805189157120721926,0,badcase,无标签和视频证据，相关性不足
109,6813085916312273926,zazarenae💋,https://cn--xtb.noxinfluencer.com/tiktok/channel/6813085916312273926,0,badcase,时尚带货感有，但和泳具不相关
110,6813086948153852934,Stevie Nutter,https://cn--xtb.noxinfluencer.com/tiktok/channel/6813086948153852934,0,badcase,无有效标签或视频，相关性弱
111,6816471222282175494,travelhacksfamily,https://cn--xtb.noxinfluencer.com/tiktok/channel/6816471222282175494,0,badcase,家庭旅行向证据不足
112,6817624105274688518,Atticus Lawyer Coaching,https://cn--xtb.noxinfluencer.com/tiktok/channel/6817624105274688518,0,badcase,律师培训号，与泳具无关
113,6837938914176615429,"Saved By A Rescue CPDT-KA, FDM",https://cn--xtb.noxinfluencer.com/tiktok/channel/6837938914176615429,-15,badcase,宠物犬向，与人用泳具互斥
119,6900022506988798981,Sara | CPAP Hype Girl 💛,https://cn--xtb.noxinfluencer.com/tiktok/channel/6900022506988798981,0,badcase,CPAP 设备向，与泳具无关
120,6909525891492889606,cltbucketlist,https://cn--xtb.noxinfluencer.com/tiktok/channel/6909525891492889606,0,badcase,本地美食号，与泳具无关
121,6912910124416287750,Willow,https://cn--xtb.noxinfluencer.com/tiktok/channel/6912910124416287750,-15,badcase,犬训账号，与人用泳具互斥
122,6913654408866432005,Mariah•Cali,https://cn--xtb.noxinfluencer.com/tiktok/channel/6913654408866432005,-15,badcase,宠物用品号，与人用泳具互斥
124,6938841835461739525,Toretto the Bully-Cangris son,https://cn--xtb.noxinfluencer.com/tiktok/channel/6938841835461739525,-15,badcase,宠物犬内容，与人用泳具互斥
128,6969358839179494406,Happy Puppy Mia,https://cn--xtb.noxinfluencer.com/tiktok/channel/6969358839179494406,-10,badcase,明显宠物向，和人用泳衣背心属于互斥场景
129,7054693599489672198,Randy,https://cn--xtb.noxinfluencer.com/tiktok/channel/7054693599489672198,0,badcase,无标签无内容，无法判断相关性
132,7097207172052616234,FlounderCat,https://cn--xtb.noxinfluencer.com/tiktok/channel/7097207172052616234,-15,badcase,猫宠物内容，和人用泳衣背心互斥
133,7129579330871624747,itsjorden_,https://cn--xtb.noxinfluencer.com/tiktok/channel/7129579330871624747,0,badcase,美食教程账号，与泳衣背心缺少直接消费场景
