rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
72,7562202548443448375,Mr Ali,https://cn.noxinfluencer.com/tiktok/channel/7562202548443448375,10,badcase,魔术娱乐为主，科技词仅弱相关，不适合推 tech
84,6996688380268905478,Abdirahman Bashe,https://cn.noxinfluencer.com/tiktok/channel/6996688380268905478,8,badcase,故事/叙事内容为主，科技仅弱挂钩
92,7563340678627345421,@usaclips543,https://cn.noxinfluencer.com/tiktok/channel/7563340678627345421,8,badcase,魔术/热点内容为主，科技推广匹配差
114,7297009874022745134,ShockForce,https://cn.noxinfluencer.com/tiktok/channel/7297009874022745134,10,badcase,prank+shoes+tech 偏娱乐噱头，不适合科技产品推广
124,6726053400150541317,gavin,https://cn.noxinfluencer.com/tiktok/channel/6726053400150541317,10,badcase,ASMR 形式与科技产品推广强不匹配，且偏 custom keyboard 音效
159,6807149037692978181,Techish,https://cn.noxinfluencer.com/tiktok/channel/6807149037692978181,8,badcase,ASMR格式与科技带货明显不匹配，优先排除
197,6684611819518297094,Vlad Vaida,https://cn.noxinfluencer.com/tiktok/channel/6684611819518297094,0,badcase,无tech相关标签，内容也不指向科技产品推广
200,6616681730772516870,xlptrades,https://cn.noxinfluencer.com/tiktok/channel/6616681730772516870,0,badcase,无tech相关标签，内容也不指向科技产品推广
201,7595804875175707703,Funnnyky,https://cn.noxinfluencer.com/tiktok/channel/7595804875175707703,10,badcase,偏流量娱乐，tech 仅标签命中，缺少产品推广语境
208,7570400827405796407,funny,https://cn.noxinfluencer.com/tiktok/channel/7570400827405796407,10,badcase,娱乐短视频为主，偏离科技产品推广场景
216,7547690404847109134,USA Funny,https://cn.noxinfluencer.com/tiktok/channel/7547690404847109134,10,badcase,偏流量娱乐，tech 仅标签命中，缺少产品推广语境
232,6659790466340454406,kaitlynd!,https://cn.noxinfluencer.com/tiktok/channel/6659790466340454406,0,badcase,娱乐与社会话题为主，和科技产品推广无关
237,7127325382835848238,Ninjas Are Butterflies,https://cn.noxinfluencer.com/tiktok/channel/7127325382835848238,-10,badcase,播客喜剧内容，和科技产品推广场景不匹配
