rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7068088929706492934,Pepa Zhang,https://cn--xtb.noxinfluencer.com/tiktok/channel/7068088929706492934,0,badcase,标签与 tech 关联弱，缺少科技受众证据
7,6788812283432059910,Maverick Maltin | AI & ChatGPT,https://cn--xtb.noxinfluencer.com/tiktok/channel/6788812283432059910,0,badcase,无可用标签与视频证据，难判定为科技相关
12,7059093595190985775,tashatalksai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7059093595190985775,0,badcase,缺少标签与内容证据，科技相关性不足
13,6591600111029567494,Spencer,https://cn--xtb.noxinfluencer.com/tiktok/channel/6591600111029567494,0,badcase,时尚向标签，和 tech 目标受众不匹配
15,7502060893326361630,LoveOrLie,https://cn--xtb.noxinfluencer.com/tiktok/channel/7502060893326361630,0,badcase,无标签无视频证据，无法支撑 tech 推广
29,6761211465384248326,Discount Soldier Boy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6761211465384248326,0,badcase,标签偏娱乐杂项，与 tech 无关
33,7293540309391885355,andrewships,https://cn--xtb.noxinfluencer.com/tiktok/channel/7293540309391885355,0,badcase,无标签与视频证据，难判 tech 相关
34,6839011172614194182,Braydon Carter,https://cn--xtb.noxinfluencer.com/tiktok/channel/6839011172614194182,0,badcase,无标签与视频证据，难判 tech 相关
35,6952971951804040197,GT,https://cn--xtb.noxinfluencer.com/tiktok/channel/6952971951804040197,0,badcase,户外攀登垂类，与 tech 无关
36,6722216650961748998,Nicholas Thompson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6722216650961748998,0,badcase,无标签与视频证据，难判 tech 相关
37,6916940321302856710,Jonathan Acuña - Doctor AI,https://cn--xtb.noxinfluencer.com/tiktok/channel/6916940321302856710,0,badcase,仅名称像 AI，缺少标签/视频证据
42,7045095555980379183,danielwads,https://cn--xtb.noxinfluencer.com/tiktok/channel/7045095555980379183,0,badcase,NFT/BAYC 方向，与 tech 关键词弱相关
43,7355655347414369323,Kam | Cybersecurity,https://cn--xtb.noxinfluencer.com/tiktok/channel/7355655347414369323,0,badcase,仅名称像 cybersecurity，缺少标签证据
50,7544422601025864759,Ai Robot__,https://cn--xtb.noxinfluencer.com/tiktok/channel/7544422601025864759,0,badcase,仅名称像机器人账号，缺少标签/视频证据
53,7257639467988304938,Daily Ai,https://cn--xtb.noxinfluencer.com/tiktok/channel/7257639467988304938,0,badcase,答题娱乐向，缺少科技推广证据
57,7505910459833713706,Thaddeus Demeke | AI Workflows,https://cn--xtb.noxinfluencer.com/tiktok/channel/7505910459833713706,0,badcase,无标签和视频证据，科技相关性不足
59,7014906040273781765,Mike,https://cn--xtb.noxinfluencer.com/tiktok/channel/7014906040273781765,0,badcase,无科技相关信号
60,7180336335672099845,Prada,https://cn--xtb.noxinfluencer.com/tiktok/channel/7180336335672099845,0,badcase,无科技相关信号
63,7443849243918074922,Seggy Said,https://cn--xtb.noxinfluencer.com/tiktok/channel/7443849243918074922,0,badcase,无科技相关信号
65,6772567797455209478,Kurt and Dylan,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772567797455209478,-15,badcase,纯娱乐内容，科技推广不匹配
66,6883180192371229702,Michele Lea Biaso,https://cn--xtb.noxinfluencer.com/tiktok/channel/6883180192371229702,0,badcase,健康/心理向，科技相关性弱
73,6935447334876759042,นายอาร์ม,https://cn--xtb.noxinfluencer.com/tiktok/channel/6935447334876759042,0,badcase,无科技相关信号
