rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7217449542114395178,Morgan 🗝️,https://cn.noxinfluencer.com/tiktok/channel/7217449542114395178,0,badcase,时尚服饰类，和跑步机推广不相关
3,7366263258095354922,Manna Flow 🪽,https://cn.noxinfluencer.com/tiktok/channel/7366263258095354922,0,badcase,手电与美妆为主，缺少运动器材受众
4,6739879186918704134,griselda,https://cn.noxinfluencer.com/tiktok/channel/6739879186918704134,0,badcase,无标签无内容证据
5,6751076338523784197,Annie Tran,https://cn.noxinfluencer.com/tiktok/channel/6751076338523784197,0,badcase,教育/婚礼/家庭向，和跑步机推广不匹配
6,6669521921396539398,Keshorna Shantell,https://cn.noxinfluencer.com/tiktok/channel/6669521921396539398,0,badcase,地产/金融/批发为主，和跑步机受众不符
8,6645992989259071494,Kaylin Ricci,https://cn.noxinfluencer.com/tiktok/channel/6645992989259071494,0,badcase,无标签无内容证据
36,6725267084962628614,Dimi,https://cn.noxinfluencer.com/tiktok/channel/6725267084962628614,-15,badcase,娱乐影视向，和跑步机推广不匹配
40,6767486255666119686,cleolonglegs,https://cn.noxinfluencer.com/tiktok/channel/6767486255666119686,-15,badcase,宠物向，和人用跑步机受众不符
41,6619727687664975878,Cheddar,https://cn.noxinfluencer.com/tiktok/channel/6619727687664975878,0,badcase,新闻资讯型，跑步机购买相关性低
50,6712505721622610949,Dan Sur,https://cn.noxinfluencer.com/tiktok/channel/6712505721622610949,0,badcase,娱乐向内容为主，和跑步机受众不匹配
51,7167059837670589483,The Motherhood Journey,https://cn.noxinfluencer.com/tiktok/channel/7167059837670589483,0,badcase,母婴生活号，缺少跑步机/健身相关信号
55,6797982798247969797,ATHENA PARIS,https://cn.noxinfluencer.com/tiktok/channel/6797982798247969797,-5,badcase,娱乐向，跑步机不构成有效投放场景
57,6558572374652190726,dad,https://cn.noxinfluencer.com/tiktok/channel/6558572374652190726,8,badcase,跑步机特技/挑战向，商品促销适配差
59,6891749366475473925,Sammy Jo,https://cn.noxinfluencer.com/tiktok/channel/6891749366475473925,8,badcase,时尚娱乐向，跑步机多半是泛提
60,6545583978890400783,Sekeithia,https://cn.noxinfluencer.com/tiktok/channel/6545583978890400783,2,badcase,泛生活晨间内容，缺少健身器材信号
62,7362622889823093803,Jewelz 💎🎶,https://cn.noxinfluencer.com/tiktok/channel/7362622889823093803,0,badcase,励志杂谈，和跑步机投放关联弱
66,6745559817971500037,Better You Better Society,https://cn.noxinfluencer.com/tiktok/channel/6745559817971500037,0,badcase,自我提升号，和跑步机产品投放关联弱
69,2981829,stephaniee,https://cn.noxinfluencer.com/tiktok/channel/2981829,0,badcase,纯娱乐/日常，和跑步机关联弱
73,6934124877185352709,ALLIE B 🦋🕺🏻🪩,https://cn.noxinfluencer.com/tiktok/channel/6934124877185352709,8,badcase,娱乐音乐向，跑步机只是表演元素
75,6818002673023878149,carolinemooore,https://cn.noxinfluencer.com/tiktok/channel/6818002673023878149,0,badcase,时尚娱乐混合号，与跑步机投放不匹配
76,6905099076481074182,Ana Luisa,https://cn.noxinfluencer.com/tiktok/channel/6905099076481074182,-15,badcase,纯娱乐喜剧号，不适合跑步机推广
79,7320358461086598186,Matt Barnes,https://cn.noxinfluencer.com/tiktok/channel/7320358461086598186,0,badcase,篮球体育号，和跑步机推广关联弱
88,7026330807824581678,Erin Confortini,https://cn.noxinfluencer.com/tiktok/channel/7026330807824581678,0,badcase,财经号，与跑步机受众不匹配
93,6972309212811723782,CrystaldPistol,https://cn.noxinfluencer.com/tiktok/channel/6972309212811723782,0,badcase,体育娱乐/混剪向，不是跑步机推广场景
98,7138422503707264042,Summer FPV,https://cn.noxinfluencer.com/tiktok/channel/7138422503707264042,-10,badcase,吃播娱乐号，和跑步机推广不匹配
105,7427532434595742763,SADAQAT,https://cn.noxinfluencer.com/tiktok/channel/7427532434595742763,0,badcase,无有效标签和内容信号，无法判断为跑步机相关
109,7384907851984487466,liv,https://cn.noxinfluencer.com/tiktok/channel/7384907851984487466,0,badcase,缺少可用于跑步机推广的任何内容信号
